epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.1953125,,2.216763496398926,,
0,62,,,,,,,0.18129999935626984,2.2799510955810547
0,62,,,0.15028125047683716,,3.2932193279266357,,,
1,99,,,,0.26171875,,2.0079751014709473,,
1,125,,,,,,,0.2475000023841858,2.165102958679199
1,125,,,0.23624999821186066,,2.049790620803833,,,
2,149,,,,0.265625,,1.9356436729431152,,
2,188,,,,,,,0.2985999882221222,1.9475849866867065
2,188,,,0.2918437421321869,,1.8997341394424438,,,
3,199,,,,0.32421875,,1.7657246589660645,,
3,249,,,,0.35546875,,1.75676691532135,,
3,251,,,,,,,0.34540000557899475,1.8631832599639893
3,251,,,0.3373437523841858,,1.793433427810669,,,
4,299,,,,0.376953125,,1.6717028617858887,,
4,314,,,,,,,0.4032999873161316,1.6200324296951294
4,314,,,0.37549999356269836,,1.6938483715057373,,,
5,349,,,,0.423828125,,1.5664036273956299,,
5,377,,,,,,,0.4392000138759613,1.5479018688201904
5,377,,,0.40549999475479126,,1.617095708847046,,,
6,399,,,,0.435546875,,1.5255928039550781,,
6,440,,,,,,,0.45969998836517334,1.5431702136993408
6,440,,,0.43415623903274536,,1.5434784889221191,,,
7,449,,,,0.453125,,1.486558198928833,,
7,499,,,,0.4453125,,1.4710931777954102,,
7,503,,,,,,,0.4871000051498413,1.4327659606933594
7,503,,,0.46440625190734863,,1.4667917490005493,,,
8,549,,,,0.458984375,,1.4735536575317383,,
8,566,,,,,,,0.5184000134468079,1.353562593460083
8,566,,,0.488218754529953,,1.4076921939849854,,,
9,599,,,,0.5078125,,1.3339622020721436,,
9,629,,,,,,,0.5577999949455261,1.2345681190490723
9,629,,,0.5115000009536743,,1.3449491262435913,,,
10,649,,,,0.50390625,,1.3179035186767578,,
10,692,,,,,,,0.5692999958992004,1.2612909078598022
10,692,,,0.5307812690734863,,1.3025305271148682,,,
11,699,,,,0.5703125,,1.2608572244644165,,
11,749,,,,0.546875,,1.264120101928711,,
11,755,,,,,,,0.5619000196456909,1.3768908977508545
11,755,,,0.5487499833106995,,1.25127375125885,,,
12,799,,,,0.5234375,,1.2720625400543213,,
12,818,,,,,,,0.5719000101089478,1.2920668125152588
12,818,,,0.5668437480926514,,1.2062586545944214,,,
13,849,,,,0.595703125,,1.1500208377838135,,
13,881,,,,,,,0.6137999892234802,1.1743793487548828
13,881,,,0.5775312781333923,,1.1729319095611572,,,
14,899,,,,0.603515625,,1.15336012840271,,
14,944,,,,,,,0.6248999834060669,1.1837373971939087
14,944,,,0.5953750014305115,,1.1304737329483032,,,
15,949,,,,0.646484375,,1.0636017322540283,,
15,999,,,,0.658203125,,1.0165472030639648,,
15,1007,,,,,,,0.6366999745368958,1.1573505401611328
15,1007,,,0.610281229019165,,1.0963422060012817,,,
16,1049,,,,0.638671875,,1.0173060894012451,,
16,1070,,,,,,,0.6414999961853027,1.0973643064498901
16,1070,,,0.6139687299728394,,1.0774096250534058,,,
17,1099,,,,0.619140625,,1.0941239595413208,,
17,1133,,,,,,,0.6421999931335449,0.9988881945610046
17,1133,,,0.6237187385559082,,1.0489189624786377,,,
18,1149,,,,0.626953125,,1.055837869644165,,
18,1196,,,,,,,0.6430000066757202,1.0643396377563477
18,1196,,,0.6360312700271606,,1.0150141716003418,,,
19,1199,,,,0.658203125,,0.983005166053772,,
19,1249,,,,0.642578125,,0.9973177313804626,,
19,1259,,,,,,,0.6783000230789185,0.9103526473045349
19,1259,,,0.6427500247955322,,0.9995524287223816,,,
20,1299,,,,0.681640625,,0.9378805756568909,,
20,1322,,,,,,,0.6635000109672546,0.9669272303581238
20,1322,,,0.6501874923706055,,0.9763847589492798,,,
21,1349,,,,0.671875,,0.8749646544456482,,
21,1385,,,,,,,0.692799985408783,0.9121829271316528
21,1385,,,0.6559374928474426,,0.9586746096611023,,,
22,1399,,,,0.697265625,,0.8849573135375977,,
22,1448,,,,,,,0.6996999979019165,0.852785050868988
22,1448,,,0.6697499752044678,,0.9282407760620117,,,
23,1449,,,,0.701171875,,0.8577793836593628,,
23,1499,,,,0.673828125,,0.9459643363952637,,
23,1511,,,,,,,0.6933000087738037,0.896216630935669
23,1511,,,0.6703749895095825,,0.920248806476593,,,
24,1549,,,,0.6796875,,0.8786693811416626,,
24,1574,,,,,,,0.6912999749183655,0.936867892742157
24,1574,,,0.6772500276565552,,0.9020172953605652,,,
25,1599,,,,0.669921875,,0.9295545816421509,,
25,1637,,,,,,,0.703000009059906,0.928546667098999
25,1637,,,0.6847187280654907,,0.8851739764213562,,,
26,1649,,,,0.708984375,,0.8120226860046387,,
26,1699,,,,0.666015625,,0.9313082695007324,,
26,1700,,,,,,,0.7268000245094299,0.797147274017334
26,1700,,,0.6890312433242798,,0.8775359988212585,,,
27,1749,,,,0.67578125,,0.9121445417404175,,
27,1763,,,,,,,0.7269999980926514,0.7798933386802673
27,1763,,,0.6950312256813049,,0.8597078919410706,,,
28,1799,,,,0.6875,,0.8869024515151978,,
28,1826,,,,,,,0.730400025844574,0.7922118902206421
28,1826,,,0.6988124847412109,,0.8470287322998047,,,
29,1849,,,,0.69140625,,0.850517749786377,,
29,1889,,,,,,,0.7373999953269958,0.7721124291419983
29,1889,,,0.7029374837875366,,0.8358795642852783,,,
30,1899,,,,0.720703125,,0.7773624658584595,,
30,1949,,,,0.7265625,,0.7989944219589233,,
30,1952,,,,,,,0.7124999761581421,0.9001511931419373
30,1952,,,0.7079062461853027,,0.8205255270004272,,,
31,1999,,,,0.7421875,,0.731931209564209,,
31,2015,,,,,,,0.7317000031471252,0.8041319251060486
31,2015,,,0.7119687795639038,,0.8082730174064636,,,
32,2049,,,,0.712890625,,0.8119921684265137,,
32,2078,,,,,,,0.7317000031471252,0.8151978254318237
32,2078,,,0.7177187204360962,,0.7954964637756348,,,
33,2099,,,,0.734375,,0.7585369348526001,,
33,2141,,,,,,,0.7588000297546387,0.6953392028808594
33,2141,,,0.719406247138977,,0.7878007888793945,,,
34,2149,,,,0.697265625,,0.806372344493866,,
34,2199,,,,0.732421875,,0.7575807571411133,,
34,2204,,,,,,,0.7459999918937683,0.7606391310691833
34,2204,,,0.7205312252044678,,0.779166042804718,,,
35,2249,,,,0.716796875,,0.7784320116043091,,
35,2267,,,,,,,0.7443000078201294,0.7916045188903809
35,2267,,,0.7282187342643738,,0.7684058547019958,,,
36,2299,,,,0.732421875,,0.7288233637809753,,
36,2330,,,,,,,0.7184000015258789,0.9014888405799866
36,2330,,,0.7290937304496765,,0.7546075582504272,,,
37,2349,,,,0.72265625,,0.738771378993988,,
37,2393,,,,,,,0.7312999963760376,1.0040123462677002
37,2393,,,0.7320312261581421,,0.7572047710418701,,,
38,2399,,,,0.708984375,,0.795305609703064,,
38,2449,,,,0.73828125,,0.7128487229347229,,
38,2456,,,,,,,0.7469000220298767,0.7717540264129639
38,2456,,,0.7330937385559082,,0.7515493035316467,,,
39,2499,,,,0.728515625,,0.7313594818115234,,
39,2519,,,,,,,0.7516999840736389,0.7668718695640564
39,2519,,,0.7353125214576721,,0.7369547486305237,,,
40,2549,,,,0.740234375,,0.6568419337272644,,
40,2582,,,,,,,0.7698000073432922,0.6838402152061462
40,2582,,,0.7399374842643738,,0.7251887917518616,,,
41,2599,,,,0.74609375,,0.755240797996521,,
41,2645,,,,,,,0.7626000046730042,0.7036328911781311
41,2645,,,0.7457500100135803,,0.7128888964653015,,,
42,2649,,,,0.765625,,0.6786176562309265,,
42,2699,,,,0.716796875,,0.7993841767311096,,
42,2708,,,,,,,0.769599974155426,0.7003050446510315
42,2708,,,0.7493125200271606,,0.7077118158340454,,,
43,2749,,,,0.748046875,,0.6942481994628906,,
43,2771,,,,,,,0.7488999962806702,0.7341068387031555
43,2771,,,0.7514687776565552,,0.7015738487243652,,,
44,2799,,,,0.74609375,,0.7655211091041565,,
44,2834,,,,,,,0.7364000082015991,0.8077200055122375
44,2834,,,0.7557187676429749,,0.6903185844421387,,,
45,2849,,,,0.765625,,0.7133662700653076,,
45,2897,,,,,,,0.7756999731063843,0.6618043184280396
45,2897,,,0.7570000290870667,,0.6866480708122253,,,
46,2899,,,,0.724609375,,0.7588711380958557,,
46,2949,,,,0.759765625,,0.6610817313194275,,
46,2960,,,,,,,0.7695000171661377,0.6860179305076599
46,2960,,,0.7549062371253967,,0.6840436458587646,,,
47,2999,,,,0.775390625,,0.6629799604415894,,
47,3023,,,,,,,0.7545999884605408,0.8297160267829895
47,3023,,,0.7630000114440918,,0.6677634716033936,,,
48,3049,,,,0.779296875,,0.6553598642349243,,
48,3086,,,,,,,0.7800999879837036,0.6506115794181824
48,3086,,,0.7611874938011169,,0.6680516004562378,,,
49,3099,,,,0.75,,0.7477172017097473,,
49,3149,,,,0.79296875,,0.6354703903198242,,
49,3149,,,,,,,0.7753999829292297,0.6966490149497986
49,3149,,,0.765749990940094,,0.6636777520179749,,,
50,3199,,,,0.759765625,,0.7272362112998962,,
50,3212,,,,,,,0.7717999815940857,0.6950876116752625
50,3212,,,0.7676249742507935,,0.6531467437744141,,,
51,3249,,,,0.783203125,,0.6137048006057739,,
51,3275,,,,,,,0.7791000008583069,0.6643952131271362
51,3275,,,0.7683125138282776,,0.6525850892066956,,,
52,3299,,,,0.7734375,,0.6225570440292358,,
52,3338,,,,,,,0.7630000114440918,0.7126454710960388
52,3338,,,0.7745312452316284,,0.633797287940979,,,
53,3349,,,,0.76953125,,0.6446429491043091,,
53,3399,,,,0.796875,,0.5993138551712036,,
53,3401,,,,,,,0.7831000089645386,0.6606049537658691
53,3401,,,0.777093768119812,,0.6284369826316833,,,
54,3449,,,,0.7734375,,0.6535202860832214,,
54,3464,,,,,,,0.7872999906539917,0.6411791443824768
54,3464,,,0.777718722820282,,0.6278170943260193,,,
55,3499,,,,0.7890625,,0.6042612195014954,,
55,3527,,,,,,,0.7860999703407288,0.6574971675872803
55,3527,,,0.7738749980926514,,0.6250044107437134,,,
56,3549,,,,0.810546875,,0.5520598292350769,,
56,3590,,,,,,,0.7897999882698059,0.6341953277587891
56,3590,,,0.7824687361717224,,0.6127784252166748,,,
57,3599,,,,0.810546875,,0.5782948136329651,,
57,3649,,,,0.77734375,,0.6049109101295471,,
57,3653,,,,,,,0.7918999791145325,0.6310190558433533
57,3653,,,0.7809374928474426,,0.6135761141777039,,,
58,3699,,,,0.783203125,,0.627372682094574,,
58,3716,,,,,,,0.7552000284194946,0.7345168590545654
58,3716,,,0.7829687595367432,,0.604400098323822,,,
59,3749,,,,0.791015625,,0.5635408163070679,,
59,3779,,,,,,,0.7638999819755554,0.727239191532135
59,3779,,,0.7901562452316284,,0.5948538184165955,,,
60,3799,,,,0.828125,,0.5114145278930664,,
60,3842,,,,,,,0.8184000253677368,0.5559234619140625
60,3842,,,0.8115624785423279,,0.5350193977355957,,,
61,3849,,,,0.8203125,,0.5006022453308105,,
61,3899,,,,0.79296875,,0.565848708152771,,
61,3905,,,,,,,0.8202000260353088,0.5491607785224915
61,3905,,,0.8158749938011169,,0.5108227729797363,,,
62,3949,,,,0.828125,,0.4452519416809082,,
62,3968,,,,,,,0.8202000260353088,0.5573397278785706
62,3968,,,0.8255000114440918,,0.49566948413848877,,,
63,3999,,,,0.865234375,,0.392126202583313,,
63,4031,,,,,,,0.819599986076355,0.565269410610199
63,4031,,,0.8284375071525574,,0.48372137546539307,,,
64,4049,,,,0.80859375,,0.4966133236885071,,
64,4094,,,,,,,0.8223999738693237,0.5526629090309143
64,4094,,,0.8284687399864197,,0.4820447564125061,,,
65,4099,,,,0.83984375,,0.4691067337989807,,
65,4149,,,,0.826171875,,0.49594882130622864,,
