epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.240234375,,2.0473194122314453,,
0,70,,,,,,,0.30959999561309814,3.1333725452423096
0,70,,,0.20163889229297638,,2.6917724609375,,,
1,99,,,,0.296875,,1.8683267831802368,,
1,141,,,,,,,0.39160001277923584,2.059387445449829
1,141,,,0.3053055703639984,,1.8581572771072388,,,
2,149,,,,0.322265625,,1.8548035621643066,,
2,199,,,,0.390625,,1.6875715255737305,,
2,212,,,,,,,0.4221999943256378,1.5962245464324951
2,212,,,0.3472500145435333,,1.742454171180725,,,
3,249,,,,0.365234375,,1.7563903331756592,,
3,283,,,,,,,0.42340001463890076,1.5670883655548096
3,283,,,0.37636110186576843,,1.6637744903564453,,,
4,299,,,,0.412109375,,1.5478107929229736,,
4,349,,,,0.4453125,,1.4651991128921509,,
4,354,,,,,,,0.3961000144481659,4.654042720794678
4,354,,,0.4110833406448364,,1.5764492750167847,,,
5,399,,,,0.46875,,1.5146055221557617,,
5,425,,,,,,,0.5242000222206116,1.4830758571624756
5,425,,,0.4331388771533966,,1.523156762123108,,,
6,449,,,,0.4609375,,1.4082173109054565,,
6,496,,,,,,,0.5295000076293945,1.460181713104248
6,496,,,0.4679722189903259,,1.4295684099197388,,,
7,499,,,,0.509765625,,1.35145902633667,,
7,549,,,,0.50390625,,1.3246924877166748,,
7,567,,,,,,,0.5789999961853027,1.2057019472122192
7,567,,,0.5026666522026062,,1.3602303266525269,,,
8,599,,,,0.51953125,,1.3546842336654663,,
8,638,,,,,,,0.5911999940872192,1.2181905508041382
8,638,,,0.5268611311912537,,1.3013159036636353,,,
9,649,,,,0.53515625,,1.2519049644470215,,
9,699,,,,0.54296875,,1.2465872764587402,,
9,709,,,,,,,0.5817000269889832,1.3342833518981934
9,709,,,0.5461111068725586,,1.2460678815841675,,,
10,749,,,,0.576171875,,1.162332534790039,,
10,780,,,,,,,0.6284000277519226,1.0782150030136108
10,780,,,0.5619166493415833,,1.2060786485671997,,,
11,799,,,,0.548828125,,1.18295156955719,,
11,849,,,,0.583984375,,1.173301339149475,,
11,851,,,,,,,0.6395999789237976,1.017438530921936
11,851,,,0.5762777924537659,,1.1785776615142822,,,
12,899,,,,0.6171875,,1.087597370147705,,
12,922,,,,,,,0.6486999988555908,1.0617073774337769
12,922,,,0.5921944379806519,,1.1286026239395142,,,
13,949,,,,0.580078125,,1.1246321201324463,,
13,993,,,,,,,0.6732000112533569,0.9517643451690674
13,993,,,0.6029722094535828,,1.1064234972000122,,,
14,999,,,,0.63671875,,1.0631605386734009,,
14,1049,,,,0.630859375,,1.0221641063690186,,
14,1064,,,,,,,0.7063999772071838,0.8553286194801331
14,1064,,,0.6139722466468811,,1.0733153820037842,,,
15,1099,,,,0.607421875,,1.135866403579712,,
15,1135,,,,,,,0.6589999794960022,0.9898937344551086
15,1135,,,0.6175833344459534,,1.055290699005127,,,
16,1149,,,,0.62109375,,1.045548439025879,,
16,1199,,,,0.654296875,,1.0011488199234009,,
16,1206,,,,,,,0.7064999938011169,0.846552848815918
16,1206,,,0.6283055543899536,,1.0300365686416626,,,
17,1249,,,,0.611328125,,1.0445384979248047,,
17,1277,,,,,,,0.6976000070571899,0.8750231266021729
17,1277,,,0.6388888955116272,,1.0115997791290283,,,
18,1299,,,,0.6328125,,1.0112731456756592,,
18,1348,,,,,,,0.7074000239372253,0.8572674989700317
18,1348,,,0.6454444527626038,,0.9848518967628479,,,
19,1349,,,,0.6171875,,1.0384693145751953,,
19,1399,,,,0.68359375,,0.8761889934539795,,
19,1419,,,,,,,0.7322999835014343,0.8211914896965027
19,1419,,,0.6538611054420471,,0.9657210111618042,,,
20,1449,,,,0.646484375,,0.9906654953956604,,
20,1490,,,,,,,0.6877999901771545,0.9187713861465454
20,1490,,,0.6591944694519043,,0.9542076587677002,,,
21,1499,,,,0.6484375,,0.9286319017410278,,
21,1549,,,,0.654296875,,0.966706395149231,,
21,1561,,,,,,,0.7074000239372253,0.84987473487854
21,1561,,,0.6642500162124634,,0.9360081553459167,,,
22,1599,,,,0.642578125,,0.9431307315826416,,
22,1632,,,,,,,0.7534000277519226,0.7141391634941101
22,1632,,,0.6700833439826965,,0.9263806343078613,,,
23,1649,,,,0.705078125,,0.8504205942153931,,
23,1699,,,,0.685546875,,0.8707021474838257,,
23,1703,,,,,,,0.7102000117301941,0.8502640724182129
23,1703,,,0.6763055324554443,,0.9086942672729492,,,
24,1749,,,,0.69140625,,0.8318392038345337,,
24,1774,,,,,,,0.7226999998092651,0.8201348781585693
24,1774,,,0.6810833215713501,,0.893126904964447,,,
25,1799,,,,0.68359375,,0.8726471066474915,,
25,1845,,,,,,,0.7318000197410583,0.7967050075531006
25,1845,,,0.6870277523994446,,0.876496434211731,,,
26,1849,,,,0.703125,,0.8239359259605408,,
26,1899,,,,0.689453125,,0.9004912376403809,,
26,1916,,,,,,,0.745199978351593,0.7540224194526672
26,1916,,,0.6909444332122803,,0.8669103980064392,,,
27,1949,,,,0.701171875,,0.8548527956008911,,
27,1987,,,,,,,0.7610999941825867,0.6795774698257446
27,1987,,,0.6963611245155334,,0.8553337454795837,,,
28,1999,,,,0.69140625,,0.8575944900512695,,
28,2049,,,,0.693359375,,0.8692917823791504,,
28,2058,,,,,,,0.7602999806404114,0.7002241015434265
28,2058,,,0.7009721994400024,,0.8440744876861572,,,
29,2099,,,,0.65625,,0.9674533009529114,,
29,2129,,,,,,,0.7263000011444092,0.8082430958747864
29,2129,,,0.7011666893959045,,0.8376122713088989,,,
30,2149,,,,0.732421875,,0.7223817110061646,,
30,2199,,,,0.716796875,,0.7897927761077881,,
30,2200,,,,,,,0.7470999956130981,0.7585065960884094
30,2200,,,0.7081111073493958,,0.8143740296363831,,,
31,2249,,,,0.70703125,,0.7821239233016968,,
31,2271,,,,,,,0.7540000081062317,0.730049192905426
31,2271,,,0.7119722366333008,,0.8100583553314209,,,
32,2299,,,,0.705078125,,0.7754473686218262,,
32,2342,,,,,,,0.7680000066757202,0.6735903024673462
32,2342,,,0.7143333554267883,,0.7972666025161743,,,
33,2349,,,,0.7265625,,0.7884036302566528,,
33,2399,,,,0.693359375,,0.8323813080787659,,
33,2413,,,,,,,0.7717999815940857,0.6840341091156006
33,2413,,,0.7194166779518127,,0.7901898622512817,,,
34,2449,,,,0.732421875,,0.7618352174758911,,
34,2484,,,,,,,0.7635999917984009,0.6965926289558411
34,2484,,,0.7236388921737671,,0.7775563597679138,,,
35,2499,,,,0.732421875,,0.744835376739502,,
35,2549,,,,0.716796875,,0.751865029335022,,
35,2555,,,,,,,0.7799999713897705,0.6550919413566589
35,2555,,,0.7273333072662354,,0.7702917456626892,,,
36,2599,,,,0.767578125,,0.6844358444213867,,
36,2626,,,,,,,0.7770000100135803,0.6566019058227539
36,2626,,,0.7308889031410217,,0.7578291893005371,,,
37,2649,,,,0.765625,,0.6785867214202881,,
37,2697,,,,,,,0.7786999940872192,0.6552454829216003
37,2697,,,0.7349166870117188,,0.7500093579292297,,,
38,2699,,,,0.73046875,,0.7404466271400452,,
38,2749,,,,0.73046875,,0.7276519536972046,,
38,2768,,,,,,,0.7547000050544739,0.7378385066986084
38,2768,,,0.7363333106040955,,0.7365620136260986,,,
39,2799,,,,0.701171875,,0.806599497795105,,
39,2839,,,,,,,0.7892000079154968,0.6366874575614929
39,2839,,,0.7317500114440918,,0.7443452477455139,,,
40,2849,,,,0.71875,,0.8274965286254883,,
40,2899,,,,0.740234375,,0.719700038433075,,
40,2910,,,,,,,0.7768999934196472,0.6603268980979919
40,2910,,,0.7406666874885559,,0.7250767946243286,,,
41,2949,,,,0.7109375,,0.8098310828208923,,
41,2981,,,,,,,0.7867000102996826,0.627892017364502
41,2981,,,0.7403333187103271,,0.7201181054115295,,,
42,2999,,,,0.7421875,,0.7438955307006836,,
42,3049,,,,0.76953125,,0.7103418111801147,,
42,3052,,,,,,,0.777999997138977,0.6684135794639587
42,3052,,,0.7476111054420471,,0.7182601690292358,,,
43,3099,,,,0.748046875,,0.7274821996688843,,
43,3123,,,,,,,0.7872999906539917,0.6349667310714722
43,3123,,,0.7484166622161865,,0.7011057138442993,,,
44,3149,,,,0.75390625,,0.6930583715438843,,
44,3194,,,,,,,0.7906000018119812,0.6252859234809875
44,3194,,,0.7505000233650208,,0.6981251239776611,,,
45,3199,,,,0.75,,0.6857821941375732,,
45,3249,,,,0.759765625,,0.6877375841140747,,
45,3265,,,,,,,0.7990000247955322,0.614425778388977
45,3265,,,0.7524166703224182,,0.6912998557090759,,,
46,3299,,,,0.744140625,,0.6785693764686584,,
46,3336,,,,,,,0.7990999817848206,0.6128102540969849
46,3336,,,0.75727778673172,,0.6824296712875366,,,
47,3349,,,,0.7734375,,0.6997772455215454,,
47,3399,,,,0.767578125,,0.6435014009475708,,
47,3407,,,,,,,0.7821000218391418,0.6593377590179443
47,3407,,,0.7579444646835327,,0.6775225400924683,,,
48,3449,,,,0.736328125,,0.7246389389038086,,
48,3478,,,,,,,0.808899998664856,0.580766499042511
48,3478,,,0.7615277767181396,,0.6657074093818665,,,
49,3499,,,,0.775390625,,0.6134852170944214,,
49,3549,,,,0.800000011920929,,0.6467482447624207,,
49,3549,,,,,,,0.7973999977111816,0.6018891334533691
49,3549,,,0.7638888955116272,,0.6647427678108215,,,
50,3599,,,,0.736328125,,0.7123764157295227,,
50,3620,,,,,,,0.7949000000953674,0.6270883083343506
50,3620,,,0.7669166922569275,,0.6570361852645874,,,
51,3649,,,,0.787109375,,0.6453664302825928,,
51,3691,,,,,,,0.7656999826431274,0.7274036407470703
51,3691,,,0.7686389088630676,,0.6504501104354858,,,
52,3699,,,,0.75390625,,0.6414923667907715,,
52,3749,,,,0.75390625,,0.628032386302948,,
52,3762,,,,,,,0.7921000123023987,0.6488061547279358
52,3762,,,0.7695555686950684,,0.6453866958618164,,,
53,3799,,,,0.763671875,,0.6793678998947144,,
53,3833,,,,,,,0.803600013256073,0.5996478199958801
53,3833,,,0.7695833444595337,,0.6455636024475098,,,
54,3849,,,,0.763671875,,0.6727838516235352,,
54,3899,,,,0.76171875,,0.6794506311416626,,
54,3904,,,,,,,0.8009999990463257,0.5968080759048462
54,3904,,,0.7709444165229797,,0.6430291533470154,,,
55,3949,,,,0.783203125,,0.6216570138931274,,
55,3975,,,,,,,0.8015000224113464,0.6219687461853027
55,3975,,,0.7747777700424194,,0.6278583407402039,,,
56,3999,,,,0.80859375,,0.5457147359848022,,
56,4046,,,,,,,0.796500027179718,0.6298127174377441
56,4046,,,0.7801111340522766,,0.6279579401016235,,,
57,4049,,,,0.7734375,,0.6053901314735413,,
57,4099,,,,0.763671875,,0.6349271535873413,,
57,4117,,,,,,,0.7886000275611877,0.6520622968673706
57,4117,,,0.7773333191871643,,0.6196472644805908,,,
58,4149,,,,0.791015625,,0.5912437438964844,,
58,4188,,,,,,,0.7964000105857849,0.6360369324684143
