sample_id,label,score,rank,method
1760,6,1.2958717346191406,0,intrinsic_dimensionality_twonn
11280,0,1.3019170761108398,1,intrinsic_dimensionality_twonn
30727,6,1.329206109046936,2,intrinsic_dimensionality_twonn
31904,0,1.3295366764068604,3,intrinsic_dimensionality_twonn
33063,1,1.3706319332122803,4,intrinsic_dimensionality_twonn
34612,6,1.375612497329712,5,intrinsic_dimensionality_twonn
38227,6,1.402294397354126,6,intrinsic_dimensionality_twonn
34430,6,1.4349744319915771,7,intrinsic_dimensionality_twonn
16222,4,1.4451849460601807,8,intrinsic_dimensionality_twonn
16434,4,1.4951772689819336,9,intrinsic_dimensionality_twonn
40273,6,1.4993810653686523,10,intrinsic_dimensionality_twonn
6747,6,1.5130994319915771,11,intrinsic_dimensionality_twonn
9753,6,1.5583932399749756,12,intrinsic_dimensionality_twonn
12071,1,1.5849560499191284,13,intrinsic_dimensionality_twonn
30390,6,1.5898016691207886,14,intrinsic_dimensionality_twonn
29893,0,1.6057498455047607,15,intrinsic_dimensionality_twonn
28432,6,1.628891944885254,16,intrinsic_dimensionality_twonn
9543,6,1.6356837749481201,17,intrinsic_dimensionality_twonn
14249,1,1.649305820465088,18,intrinsic_dimensionality_twonn
39912,1,1.6640713214874268,19,intrinsic_dimensionality_twonn
48612,1,1.672431468963623,20,intrinsic_dimensionality_twonn
8825,1,1.6764129400253296,21,intrinsic_dimensionality_twonn
25935,6,1.6806724071502686,22,intrinsic_dimensionality_twonn
11333,3,1.695505142211914,23,intrinsic_dimensionality_twonn
40169,8,1.6960598230361938,24,intrinsic_dimensionality_twonn
22284,4,1.7238984107971191,25,intrinsic_dimensionality_twonn
38572,6,1.7379145622253418,26,intrinsic_dimensionality_twonn
15688,8,1.741411566734314,27,intrinsic_dimensionality_twonn
12824,6,1.7633250951766968,28,intrinsic_dimensionality_twonn
23762,6,1.7635325193405151,29,intrinsic_dimensionality_twonn
43862,6,1.7665808200836182,30,intrinsic_dimensionality_twonn
44446,4,1.771820068359375,31,intrinsic_dimensionality_twonn
18336,6,1.7770276069641113,32,intrinsic_dimensionality_twonn
22940,6,1.787861943244934,33,intrinsic_dimensionality_twonn
2955,6,1.791114091873169,34,intrinsic_dimensionality_twonn
33366,6,1.7959030866622925,35,intrinsic_dimensionality_twonn
807,6,1.7975754737854004,36,intrinsic_dimensionality_twonn
18931,4,1.8031493425369263,37,intrinsic_dimensionality_twonn
31601,6,1.8054826259613037,38,intrinsic_dimensionality_twonn
17603,6,1.8081904649734497,39,intrinsic_dimensionality_twonn
14305,4,1.8144325017929077,40,intrinsic_dimensionality_twonn
22479,1,1.8178209066390991,41,intrinsic_dimensionality_twonn
19897,4,1.822159767150879,42,intrinsic_dimensionality_twonn
21284,2,1.825650930404663,43,intrinsic_dimensionality_twonn
11429,6,1.826658844947815,44,intrinsic_dimensionality_twonn
24667,3,1.829667329788208,45,intrinsic_dimensionality_twonn
25806,4,1.8407045602798462,46,intrinsic_dimensionality_twonn
3797,4,1.8454138040542603,47,intrinsic_dimensionality_twonn
1269,4,1.8529736995697021,48,intrinsic_dimensionality_twonn
48023,4,1.8546499013900757,49,intrinsic_dimensionality_twonn
23257,6,1.855391502380371,50,intrinsic_dimensionality_twonn
29680,6,1.8578200340270996,51,intrinsic_dimensionality_twonn
1876,6,1.8602936267852783,52,intrinsic_dimensionality_twonn
13143,6,1.8603535890579224,53,intrinsic_dimensionality_twonn
27803,6,1.8609715700149536,54,intrinsic_dimensionality_twonn
9980,6,1.866531491279602,55,intrinsic_dimensionality_twonn
37479,6,1.878306269645691,56,intrinsic_dimensionality_twonn
41374,6,1.8810311555862427,57,intrinsic_dimensionality_twonn
10273,6,1.8856546878814697,58,intrinsic_dimensionality_twonn
24282,6,1.887752652168274,59,intrinsic_dimensionality_twonn
29958,6,1.8894448280334473,60,intrinsic_dimensionality_twonn
42516,4,1.8917711973190308,61,intrinsic_dimensionality_twonn
27767,6,1.8936848640441895,62,intrinsic_dimensionality_twonn
20830,6,1.894071340560913,63,intrinsic_dimensionality_twonn
2033,2,1.9027302265167236,64,intrinsic_dimensionality_twonn
39847,2,1.9048441648483276,65,intrinsic_dimensionality_twonn
13847,6,1.9061692953109741,66,intrinsic_dimensionality_twonn
41260,6,1.9177218675613403,67,intrinsic_dimensionality_twonn
11817,1,1.9275559186935425,68,intrinsic_dimensionality_twonn
34604,4,1.9310654401779175,69,intrinsic_dimensionality_twonn
12635,6,1.9318255186080933,70,intrinsic_dimensionality_twonn
48889,4,1.9323281049728394,71,intrinsic_dimensionality_twonn
6510,6,1.9353278875350952,72,intrinsic_dimensionality_twonn
38365,2,1.9374827146530151,73,intrinsic_dimensionality_twonn
20027,6,1.9416790008544922,74,intrinsic_dimensionality_twonn
3976,6,1.943260669708252,75,intrinsic_dimensionality_twonn
14501,1,1.943968653678894,76,intrinsic_dimensionality_twonn
40959,6,1.944712519645691,77,intrinsic_dimensionality_twonn
13239,1,1.9457460641860962,78,intrinsic_dimensionality_twonn
21270,1,1.9479539394378662,79,intrinsic_dimensionality_twonn
8122,3,1.9525023698806763,80,intrinsic_dimensionality_twonn
4904,6,1.955204725265503,81,intrinsic_dimensionality_twonn
13647,1,1.971628189086914,82,intrinsic_dimensionality_twonn
44872,6,1.9740411043167114,83,intrinsic_dimensionality_twonn
37097,6,1.9743186235427856,84,intrinsic_dimensionality_twonn
5834,1,1.9761091470718384,85,intrinsic_dimensionality_twonn
