epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.216796875,,2.1870012283325195,,
0,78,,,,,,,0.23409999907016754,6.525434494018555
0,78,,,0.19325000047683716,,2.673475503921509,,,
1,99,,,,0.296875,,1.939208984375,,
1,149,,,,0.359375,,1.670816421508789,,
1,157,,,,,,,0.2581000030040741,3.8925793170928955
1,157,,,0.31027498841285706,,1.882204532623291,,,
2,199,,,,0.35546875,,1.7457655668258667,,
2,236,,,,,,,0.4277999997138977,1.9621763229370117
2,236,,,0.3788500130176544,,1.7106566429138184,,,
3,249,,,,0.3984375,,1.62386155128479,,
3,299,,,,0.451171875,,1.4974188804626465,,
3,315,,,,,,,0.39980000257492065,2.48846435546875
3,315,,,0.42054998874664307,,1.5796985626220703,,,
4,349,,,,0.439453125,,1.5134263038635254,,
4,394,,,,,,,0.47049999237060547,1.9856810569763184
4,394,,,0.4550749957561493,,1.498831033706665,,,
5,399,,,,0.44140625,,1.4907974004745483,,
5,449,,,,0.4765625,,1.4771907329559326,,
5,473,,,,,,,0.48500001430511475,3.5419223308563232
5,473,,,0.4855250120162964,,1.427518606185913,,,
6,499,,,,0.55859375,,1.28493332862854,,
6,549,,,,0.509765625,,1.3234076499938965,,
6,552,,,,,,,0.5519000291824341,1.6229900121688843
6,552,,,0.5199499726295471,,1.345065951347351,,,
7,599,,,,0.564453125,,1.2508978843688965,,
7,631,,,,,,,0.2502000033855438,23.34944725036621
7,631,,,0.546750009059906,,1.2641215324401855,,,
8,649,,,,0.482421875,,1.464514136314392,,
8,699,,,,0.54296875,,1.248573899269104,,
8,710,,,,,,,0.5400000214576721,1.7846025228500366
8,710,,,0.5148249864578247,,1.350921869277954,,,
9,749,,,,0.58984375,,1.1674286127090454,,
9,789,,,,,,,0.5669999718666077,1.3104040622711182
9,789,,,0.5706499814987183,,1.1974256038665771,,,
10,799,,,,0.578125,,1.2315871715545654,,
10,849,,,,0.56640625,,1.1465368270874023,,
10,868,,,,,,,0.6119999885559082,1.2866113185882568
10,868,,,0.5899249911308289,,1.1483409404754639,,,
11,899,,,,0.6328125,,1.0513019561767578,,
11,947,,,,,,,0.6189000010490417,1.1831440925598145
11,947,,,0.604200005531311,,1.1045414209365845,,,
12,949,,,,0.58984375,,1.2230044603347778,,
12,999,,,,0.669921875,,0.9905688762664795,,
12,1026,,,,,,,0.6140999794006348,1.1346752643585205
12,1026,,,0.6203749775886536,,1.0726720094680786,,,
13,1049,,,,0.64453125,,1.032198190689087,,
13,1099,,,,0.623046875,,1.0653493404388428,,
13,1105,,,,,,,0.6563000082969666,1.0134204626083374
13,1105,,,0.6312249898910522,,1.0348680019378662,,,
14,1149,,,,0.634765625,,1.0111089944839478,,
14,1184,,,,,,,0.6536999940872192,1.066102147102356
14,1184,,,0.6427500247955322,,1.0051918029785156,,,
15,1199,,,,0.697265625,,0.9160537719726562,,
15,1249,,,,0.69140625,,0.8888645172119141,,
15,1263,,,,,,,0.6590999960899353,1.0220979452133179
15,1263,,,0.6537749767303467,,0.9842891693115234,,,
16,1299,,,,0.673828125,,0.9248968362808228,,
16,1342,,,,,,,0.6855000257492065,0.9353773593902588
16,1342,,,0.6629499793052673,,0.9553638696670532,,,
17,1349,,,,0.6328125,,0.9669744968414307,,
17,1399,,,,0.669921875,,0.9348834753036499,,
17,1421,,,,,,,0.6717000007629395,0.9548999071121216
17,1421,,,0.6712750196456909,,0.9192721843719482,,,
18,1449,,,,0.671875,,0.9747323989868164,,
18,1499,,,,0.6796875,,0.8862355351448059,,
18,1500,,,,,,,0.6736999750137329,0.9803073406219482
18,1500,,,0.670074999332428,,0.9239181876182556,,,
19,1549,,,,0.666015625,,0.9151846170425415,,
19,1579,,,,,,,0.6725999712944031,0.969291090965271
19,1579,,,0.6799499988555908,,0.9016659259796143,,,
20,1599,,,,0.66015625,,0.9091752767562866,,
20,1649,,,,0.693359375,,0.8930131196975708,,
20,1658,,,,,,,0.6876999735832214,1.01833176612854
20,1658,,,0.6867250204086304,,0.8838405013084412,,,
21,1699,,,,0.7265625,,0.786435067653656,,
21,1737,,,,,,,0.6323000192642212,1.1149680614471436
21,1737,,,0.6913999915122986,,0.8652294874191284,,,
22,1749,,,,0.689453125,,0.8719531297683716,,
22,1799,,,,0.720703125,,0.816617488861084,,
22,1816,,,,,,,0.6959999799728394,0.989493191242218
22,1816,,,0.696025013923645,,0.8540512919425964,,,
23,1849,,,,0.73046875,,0.8049337863922119,,
23,1895,,,,,,,0.7166000008583069,0.8628526329994202
23,1895,,,0.7035250067710876,,0.8371137976646423,,,
24,1899,,,,0.705078125,,0.8530998229980469,,
24,1949,,,,0.712890625,,0.8060765266418457,,
24,1974,,,,,,,0.6940000057220459,0.9149364233016968
24,1974,,,0.710099995136261,,0.8198258876800537,,,
25,1999,,,,0.7109375,,0.8248720169067383,,
25,2049,,,,0.763671875,,0.683335542678833,,
25,2053,,,,,,,0.7283999919891357,0.8010928630828857
25,2053,,,0.7141000032424927,,0.8078886270523071,,,
26,2099,,,,0.7265625,,0.8079922199249268,,
26,2132,,,,,,,0.6948999762535095,0.935254693031311
26,2132,,,0.716575026512146,,0.7956212759017944,,,
27,2149,,,,0.720703125,,0.8104950785636902,,
27,2199,,,,0.736328125,,0.7507230043411255,,
27,2211,,,,,,,0.6256999969482422,1.159226894378662
27,2211,,,0.7196999788284302,,0.7888340353965759,,,
28,2249,,,,0.7421875,,0.7056320905685425,,
28,2290,,,,,,,0.6776000261306763,0.978408694267273
28,2290,,,0.7213500142097473,,0.7851993441581726,,,
29,2299,,,,0.671875,,0.895751953125,,
29,2349,,,,0.705078125,,0.8173211812973022,,
29,2369,,,,,,,0.7211999893188477,0.8427345752716064
29,2369,,,0.7224249839782715,,0.7869500517845154,,,
30,2399,,,,0.763671875,,0.713233470916748,,
30,2448,,,,,,,0.6152999997138977,1.465084195137024
30,2448,,,0.7311000227928162,,0.7613434195518494,,,
31,2449,,,,0.669921875,,0.9699448347091675,,
31,2499,,,,0.716796875,,0.8097519278526306,,
31,2527,,,,,,,0.7526999711990356,0.7219135165214539
31,2527,,,0.7227749824523926,,0.7800648808479309,,,
32,2549,,,,0.751953125,,0.702823281288147,,
32,2599,,,,0.748046875,,0.7038954496383667,,
32,2606,,,,,,,0.7609000205993652,0.7681406140327454
32,2606,,,0.7425500154495239,,0.7295153737068176,,,
33,2649,,,,0.736328125,,0.742864191532135,,
33,2685,,,,,,,0.7261000275611877,0.8236801624298096
33,2685,,,0.7420499920845032,,0.7246704697608948,,,
34,2699,,,,0.765625,,0.6665447950363159,,
34,2749,,,,0.76171875,,0.6601772308349609,,
34,2764,,,,,,,0.7651000022888184,0.6912988424301147
34,2764,,,0.7471250295639038,,0.7190218567848206,,,
35,2799,,,,0.740234375,,0.6814644932746887,,
35,2843,,,,,,,0.7290999889373779,0.8506335020065308
35,2843,,,0.750249981880188,,0.7037336826324463,,,
36,2849,,,,0.744140625,,0.691184401512146,,
36,2899,,,,0.73828125,,0.7503759264945984,,
36,2922,,,,,,,0.7211999893188477,0.8244158029556274
36,2922,,,0.7492499947547913,,0.7052821516990662,,,
37,2949,,,,0.75,,0.7218133807182312,,
37,2999,,,,0.744140625,,0.7040599584579468,,
37,3001,,,,,,,0.7756999731063843,0.6666443347930908
37,3001,,,0.7548499703407288,,0.6932020783424377,,,
38,3049,,,,0.755859375,,0.6884884834289551,,
38,3080,,,,,,,0.7666000127792358,0.7021922469139099
38,3080,,,0.7528749704360962,,0.6935680508613586,,,
39,3099,,,,0.7578125,,0.7518781423568726,,
39,3149,,,,0.751953125,,0.6949597597122192,,
39,3159,,,,,,,0.741100013256073,0.7837413549423218
39,3159,,,0.762274980545044,,0.671220064163208,,,
40,3199,,,,0.751953125,,0.6948492527008057,,
40,3238,,,,,,,0.7781000137329102,0.6594093441963196
40,3238,,,0.7643499970436096,,0.6676194071769714,,,
41,3249,,,,0.7421875,,0.7089831829071045,,
41,3299,,,,0.7734375,,0.6900843381881714,,
41,3317,,,,,,,0.7739999890327454,0.6844119429588318
41,3317,,,0.7671499848365784,,0.6566181778907776,,,
42,3349,,,,0.76953125,,0.6043184995651245,,
42,3396,,,,,,,0.7508000135421753,0.7709591388702393
42,3396,,,0.7680249810218811,,0.6516862511634827,,,
43,3399,,,,0.7109375,,0.776558518409729,,
43,3449,,,,0.783203125,,0.6054395437240601,,
43,3475,,,,,,,0.7610999941825867,0.7700199484825134
43,3475,,,0.7697749733924866,,0.6483785510063171,,,
44,3499,,,,0.763671875,,0.6725460886955261,,
44,3549,,,,0.775390625,,0.6261762976646423,,
44,3554,,,,,,,0.7818999886512756,0.665732741355896
44,3554,,,0.7724999785423279,,0.6457434892654419,,,
45,3599,,,,0.748046875,,0.7229845523834229,,
45,3633,,,,,,,0.7753999829292297,0.6782830357551575
45,3633,,,0.7771499752998352,,0.6317599415779114,,,
46,3649,,,,0.791015625,,0.5695945024490356,,
46,3699,,,,0.7734375,,0.6218112111091614,,
46,3712,,,,,,,0.7742000222206116,0.6797129511833191
46,3712,,,0.7776250243186951,,0.6278595328330994,,,
47,3749,,,,0.75390625,,0.5933473706245422,,
47,3791,,,,,,,0.7806000113487244,0.6667793393135071
47,3791,,,0.7758499979972839,,0.6258435249328613,,,
48,3799,,,,0.779296875,,0.6370888948440552,,
48,3849,,,,0.775390625,,0.615613579750061,,
48,3870,,,,,,,0.7850000262260437,0.6491923332214355
48,3870,,,0.7835000157356262,,0.6133166551589966,,,
49,3899,,,,0.763671875,,0.6818665266036987,,
49,3949,,,,0.796875,,0.5583908557891846,,
49,3949,,,,,,,0.784500002861023,0.633975625038147
49,3949,,,0.7806749939918518,,0.6106744408607483,,,
50,3999,,,,0.755859375,,0.660491943359375,,
50,4028,,,,,,,0.7803999781608582,0.6376527547836304
50,4028,,,0.7859500050544739,,0.6088805794715881,,,
51,4049,,,,0.767578125,,0.6144177913665771,,
51,4099,,,,0.7734375,,0.6353904008865356,,
51,4107,,,,,,,0.7850000262260437,0.6531622409820557
51,4107,,,0.789775013923645,,0.5993947386741638,,,
