epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,23,,,,,,,0.10689999908208847,1011.68017578125
0,23,,,0.20024999976158142,,4.339568138122559,,,
1,47,,,,,,,0.14569999277591705,2.751732349395752
1,47,,,0.25041666626930237,,2.2517282962799072,,,
2,49,,,,0.3046875,,2.0568408966064453,,
2,71,,,,,,,0.17980000376701355,2.458115816116333
2,71,,,0.2956666648387909,,1.9695212841033936,,,
3,95,,,,,,,0.18880000710487366,4.1663970947265625
3,95,,,0.32749998569488525,,1.8470882177352905,,,
4,99,,,,0.32421875,,1.8900682926177979,,
4,119,,,,,,,0.20679999887943268,2.173971176147461
4,119,,,0.3397499918937683,,1.794854998588562,,,
5,143,,,,,,,0.21729999780654907,4.474205017089844
5,143,,,0.35899999737739563,,1.7385996580123901,,,
6,149,,,,0.41796875,,1.669994592666626,,
6,167,,,,,,,0.2542000114917755,2.0612218379974365
6,167,,,0.3804999887943268,,1.680859088897705,,,
7,191,,,,,,,0.2847999930381775,1.9198722839355469
7,191,,,0.3974166810512543,,1.618410348892212,,,
8,199,,,,0.42578125,,1.4984897375106812,,
8,215,,,,,,,0.26930001378059387,1.9216283559799194
8,215,,,0.4153333306312561,,1.5711091756820679,,,
9,239,,,,,,,0.27399998903274536,2.108255386352539
9,239,,,0.42408332228660583,,1.5431513786315918,,,
10,249,,,,0.435546875,,1.6002399921417236,,
10,263,,,,,,,0.28780001401901245,1.887519121170044
10,263,,,0.43174999952316284,,1.5457042455673218,,,
11,287,,,,,,,0.29440000653266907,2.6984167098999023
11,287,,,0.44491666555404663,,1.5129854679107666,,,
12,299,,,,0.46875,,1.5135154724121094,,
12,311,,,,,,,0.2946999967098236,1.907595157623291
12,311,,,0.4494999945163727,,1.489646315574646,,,
13,335,,,,,,,0.31220000982284546,2.3279645442962646
13,335,,,0.45758333802223206,,1.4754666090011597,,,
14,349,,,,0.46875,,1.423319697380066,,
14,359,,,,,,,0.34549999237060547,1.7694562673568726
14,359,,,0.47058331966400146,,1.450160026550293,,,
15,383,,,,,,,0.33719998598098755,1.8070836067199707
15,383,,,0.4819999933242798,,1.4192090034484863,,,
16,399,,,,0.486328125,,1.3965234756469727,,
16,407,,,,,,,0.36000001430511475,1.755657434463501
16,407,,,0.4880000054836273,,1.4011764526367188,,,
17,431,,,,,,,0.3292999863624573,1.9460030794143677
17,431,,,0.4933333396911621,,1.3802094459533691,,,
18,449,,,,0.50390625,,1.3146424293518066,,
18,455,,,,,,,0.3714999854564667,1.915665626525879
18,455,,,0.5044166445732117,,1.3556418418884277,,,
19,479,,,,,,,0.3869999945163727,1.7404118776321411
19,479,,,0.5084166526794434,,1.3498375415802002,,,
20,499,,,,0.529296875,,1.2923786640167236,,
20,503,,,,,,,0.39590001106262207,1.6436192989349365
20,503,,,0.5211666822433472,,1.3083839416503906,,,
21,527,,,,,,,0.39980000257492065,1.648734211921692
21,527,,,0.5304999947547913,,1.303097128868103,,,
22,549,,,,0.48828125,,1.3452160358428955,,
22,551,,,,,,,0.41190001368522644,1.5963424444198608
22,551,,,0.5351666808128357,,1.2843599319458008,,,
23,575,,,,,,,0.43650001287460327,1.6446595191955566
23,575,,,0.5397499799728394,,1.265758752822876,,,
24,599,,,,0.5446428656578064,,1.2912750244140625,,
24,599,,,,,,,0.4390000104904175,1.558610200881958
24,599,,,0.5509166717529297,,1.2447742223739624,,,
25,623,,,,,,,0.45260000228881836,1.6198718547821045
25,623,,,0.5613333582878113,,1.2157715559005737,,,
26,647,,,,,,,0.4717000126838684,1.4685205221176147
26,647,,,0.5575000047683716,,1.2078485488891602,,,
27,649,,,,0.5859375,,1.159855604171753,,
27,671,,,,,,,0.4458000063896179,1.6042760610580444
