epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,7,,,,,,,0.0966000035405159,nan
0,7,,,0.19075000286102295,,7.769632339477539,,,
1,15,,,,,,,0.10109999775886536,inf
1,15,,,0.28075000643730164,,2.4473137855529785,,,
2,23,,,,,,,0.07490000128746033,nan
2,23,,,0.41200000047683716,,1.8621960878372192,,,
3,31,,,,,,,0.10610000044107437,1446.7032470703125
3,31,,,0.31049999594688416,,2.773254632949829,,,
4,39,,,,,,,0.17180000245571136,146.58299255371094
4,39,,,0.3504999876022339,,2.426967144012451,,,
5,47,,,,,,,0.1720999926328659,19.340574264526367
5,47,,,0.4189999997615814,,1.9314912557601929,,,
6,49,,,,0.46875,,1.7400153875350952,,
6,55,,,,,,,0.2087000012397766,4.710042476654053
6,55,,,0.47725000977516174,,1.6416199207305908,,,
7,63,,,,,,,0.23919999599456787,3.4820151329040527
7,63,,,0.546999990940094,,1.451759934425354,,,
8,71,,,,,,,0.25780001282691956,2.8982510566711426
8,71,,,0.5745000243186951,,1.4527455568313599,,,
9,79,,,,,,,0.25999999046325684,2.9108989238739014
9,79,,,0.6082500219345093,,1.2334842681884766,,,
10,87,,,,,,,0.272599995136261,2.715818405151367
10,87,,,0.6320000290870667,,1.1863737106323242,,,
11,95,,,,,,,0.2903999984264374,2.555189609527588
11,95,,,0.6552500128746033,,1.087801456451416,,,
12,99,,,,0.705078125,,0.9189918041229248,,
12,103,,,,,,,0.29899999499320984,2.577205181121826
12,103,,,0.6899999976158142,,1.0164010524749756,,,
13,111,,,,,,,0.32420000433921814,2.3912642002105713
13,111,,,0.7132499814033508,,0.8709108829498291,,,
14,119,,,,,,,0.3312999904155731,2.571828842163086
14,119,,,0.7447500228881836,,0.8200176954269409,,,
15,127,,,,,,,0.3409000039100647,2.5834155082702637
15,127,,,0.7649999856948853,,0.7586348652839661,,,
16,135,,,,,,,0.33739998936653137,2.622129201889038
16,135,,,0.7807499766349792,,0.6838587522506714,,,
17,143,,,,,,,0.3720000088214874,2.4066145420074463
17,143,,,0.7900000214576721,,0.6682350635528564,,,
18,149,,,,0.837890625,,0.5141943097114563,,
18,151,,,,,,,0.3677000105381012,2.543626308441162
18,151,,,0.8240000009536743,,0.5665607452392578,,,
19,159,,,,,,,0.3776000142097473,2.487933397293091
