epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.24609375,,2.0093631744384766,,
0,62,,,,,,,0.21660000085830688,2.3778371810913086
0,62,,,0.19609375298023224,,2.9195191860198975,,,
1,99,,,,0.29296875,,1.858083724975586,,
1,125,,,,,,,0.2994999885559082,1.9843716621398926
1,125,,,0.28978124260902405,,1.8773791790008545,,,
2,149,,,,0.341796875,,1.7505165338516235,,
2,188,,,,,,,0.3427000045776367,1.908839464187622
2,188,,,0.3386875092983246,,1.746343970298767,,,
3,199,,,,0.345703125,,1.7087626457214355,,
3,249,,,,0.419921875,,1.5899876356124878,,
3,251,,,,,,,0.37869998812675476,1.794494867324829
3,251,,,0.38446876406669617,,1.6454840898513794,,,
4,299,,,,0.427734375,,1.5126125812530518,,
4,314,,,,,,,0.4472000002861023,1.5226078033447266
4,314,,,0.42678123712539673,,1.547714114189148,,,
5,349,,,,0.4296875,,1.4705932140350342,,
5,377,,,,,,,0.49480000138282776,1.4256243705749512
5,377,,,0.4651562571525574,,1.4547797441482544,,,
6,399,,,,0.52734375,,1.3465629816055298,,
6,440,,,,,,,0.5080000162124634,1.3669586181640625
6,440,,,0.49709373712539673,,1.383051872253418,,,
7,449,,,,0.515625,,1.3619346618652344,,
7,499,,,,0.572265625,,1.221540093421936,,
7,503,,,,,,,0.4878000020980835,1.5562254190444946
7,503,,,0.5267500281333923,,1.316650390625,,,
8,549,,,,0.58984375,,1.1904860734939575,,
8,566,,,,,,,0.564300000667572,1.2644423246383667
8,566,,,0.5482500195503235,,1.2626241445541382,,,
9,599,,,,0.603515625,,1.1864477396011353,,
9,629,,,,,,,0.5590999722480774,1.2511498928070068
9,629,,,0.5736874938011169,,1.2038841247558594,,,
10,649,,,,0.546875,,1.2476083040237427,,
10,692,,,,,,,0.5993000268936157,1.1580513715744019
10,692,,,0.5857187509536743,,1.1535975933074951,,,
11,699,,,,0.544921875,,1.2265141010284424,,
11,749,,,,0.6015625,,1.1331517696380615,,
11,755,,,,,,,0.6200000047683716,1.079371690750122
11,755,,,0.6029687523841858,,1.1217710971832275,,,
12,799,,,,0.619140625,,1.0485994815826416,,
12,818,,,,,,,0.6244999766349792,1.0604708194732666
12,818,,,0.6162187457084656,,1.0852458477020264,,,
13,849,,,,0.6328125,,1.027286171913147,,
13,881,,,,,,,0.5764999985694885,1.2664101123809814
13,881,,,0.6268437504768372,,1.0577127933502197,,,
14,899,,,,0.634765625,,1.031407356262207,,
14,944,,,,,,,0.6486999988555908,0.9846803545951843
14,944,,,0.6389687657356262,,1.0247511863708496,,,
15,949,,,,0.6640625,,0.9544777274131775,,
15,999,,,,0.662109375,,0.9560664892196655,,
15,1007,,,,,,,0.6302000284194946,1.0731767416000366
15,1007,,,0.6458125114440918,,1.0051308870315552,,,
16,1049,,,,0.654296875,,0.9642848968505859,,
16,1070,,,,,,,0.6438000202178955,1.0684821605682373
16,1070,,,0.6589687466621399,,0.9671003222465515,,,
17,1099,,,,0.666015625,,0.8854732513427734,,
17,1133,,,,,,,0.6650999784469604,0.9586241245269775
17,1133,,,0.6653125286102295,,0.9490034580230713,,,
18,1149,,,,0.662109375,,0.9551630020141602,,
18,1196,,,,,,,0.6635000109672546,0.9828067421913147
18,1196,,,0.6732187271118164,,0.9304139614105225,,,
19,1199,,,,0.662109375,,0.9696258306503296,,
19,1249,,,,0.720703125,,0.8406065702438354,,
19,1259,,,,,,,0.682699978351593,0.9286981225013733
19,1259,,,0.6777499914169312,,0.9135182499885559,,,
20,1299,,,,0.677734375,,0.9257429838180542,,
20,1322,,,,,,,0.6861000061035156,0.9170328974723816
20,1322,,,0.6825000047683716,,0.901637852191925,,,
21,1349,,,,0.681640625,,0.8863146305084229,,
21,1385,,,,,,,0.6825000047683716,0.9086096882820129
21,1385,,,0.6929374933242798,,0.876452624797821,,,
22,1399,,,,0.6953125,,0.8868412375450134,,
22,1448,,,,,,,0.692799985408783,0.8981541991233826
22,1448,,,0.7009687423706055,,0.8574140667915344,,,
23,1449,,,,0.67578125,,0.878543496131897,,
23,1499,,,,0.6953125,,0.8313100337982178,,
23,1511,,,,,,,0.6930000185966492,0.8994501829147339
23,1511,,,0.7029062509536743,,0.8457561135292053,,,
24,1549,,,,0.6953125,,0.8579995632171631,,
24,1574,,,,,,,0.7078999876976013,0.8513535857200623
24,1574,,,0.7101874947547913,,0.8297610878944397,,,
25,1599,,,,0.72265625,,0.7724782228469849,,
