epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,23,,,,,,,0.1354999989271164,93.67256164550781
0,23,,,0.21799999475479126,,4.037269115447998,,,
1,47,,,,,,,0.1964000016450882,3.1434860229492188
1,47,,,0.30558332800865173,,2.0316267013549805,,,
2,49,,,,0.400390625,,1.760552167892456,,
2,71,,,,,,,0.21240000426769257,4.072074890136719
2,71,,,0.36283332109451294,,1.7829973697662354,,,
3,95,,,,,,,0.24269999563694,2.5166780948638916
3,95,,,0.3840833306312561,,1.6342169046401978,,,
4,99,,,,0.375,,1.8697073459625244,,
4,119,,,,,,,0.26249998807907104,3.030047655105591
4,119,,,0.4151666760444641,,1.5775245428085327,,,
5,143,,,,,,,0.28619998693466187,2.4981448650360107
5,143,,,0.437416672706604,,1.4834625720977783,,,
6,149,,,,0.51953125,,1.320601463317871,,
6,167,,,,,,,0.29409998655319214,2.3850271701812744
6,167,,,0.4661666750907898,,1.4345937967300415,,,
7,191,,,,,,,0.3046000003814697,2.261587619781494
7,191,,,0.47458332777023315,,1.3958019018173218,,,
8,199,,,,0.501953125,,1.4508305788040161,,
8,215,,,,,,,0.1679999977350235,5.598808765411377
8,215,,,0.49158334732055664,,1.3626596927642822,,,
9,239,,,,,,,0.2506999969482422,2.998891830444336
9,239,,,0.42649999260902405,,1.6040517091751099,,,
10,249,,,,0.482421875,,1.3218457698822021,,
10,263,,,,,,,0.28369998931884766,2.8256585597991943
10,263,,,0.47699999809265137,,1.5078285932540894,,,
11,287,,,,,,,0.31279999017715454,2.178379774093628
11,287,,,0.49775001406669617,,1.4088126420974731,,,
12,299,,,,0.482421875,,1.3464847803115845,,
12,311,,,,,,,0.3361999988555908,2.1072447299957275
12,311,,,0.5067499876022339,,1.3792381286621094,,,
13,335,,,,,,,0.33180001378059387,2.273909091949463
13,335,,,0.5305833220481873,,1.323703408241272,,,
14,349,,,,0.51171875,,1.2773454189300537,,
14,359,,,,,,,0.290800005197525,2.647930145263672
14,359,,,0.5414166450500488,,1.285044550895691,,,
15,383,,,,,,,0.3610999882221222,2.171924352645874
15,383,,,0.5458333492279053,,1.2900840044021606,,,
16,399,,,,0.56640625,,1.205817461013794,,
16,407,,,,,,,0.3596000075340271,2.239513397216797
16,407,,,0.562250018119812,,1.217483639717102,,,
17,431,,,,,,,0.3605000078678131,2.110659122467041
17,431,,,0.5718333125114441,,1.2095283269882202,,,
18,449,,,,0.609375,,1.0939302444458008,,
18,455,,,,,,,0.35409998893737793,2.2599174976348877
18,455,,,0.5830000042915344,,1.1799943447113037,,,
19,479,,,,,,,0.3709999918937683,2.134873390197754
19,479,,,0.5843333601951599,,1.1657265424728394,,,
20,499,,,,0.630859375,,1.126694917678833,,
20,503,,,,,,,0.3968999981880188,2.000314235687256
20,503,,,0.5961666703224182,,1.137717604637146,,,
21,527,,,,,,,0.3903999924659729,2.230167865753174
21,527,,,0.6026666760444641,,1.1045691967010498,,,
22,549,,,,0.5703125,,1.1455188989639282,,
22,551,,,,,,,0.41179999709129333,2.044516086578369
22,551,,,0.6107500195503235,,1.090181589126587,,,
23,575,,,,,,,0.40779998898506165,2.070936918258667
23,575,,,0.621833324432373,,1.078610897064209,,,
24,599,,,,0.598214328289032,,1.057738184928894,,
24,599,,,,,,,0.4293999969959259,1.848792552947998
24,599,,,0.628333330154419,,1.0726507902145386,,,
25,623,,,,,,,0.4336000084877014,2.0119783878326416
25,623,,,0.6362500190734863,,1.0204166173934937,,,
26,647,,,,,,,0.4375,2.097825050354004
26,647,,,0.6426666378974915,,1.0080921649932861,,,
27,649,,,,0.654296875,,0.9671217203140259,,
27,671,,,,,,,0.4343000054359436,2.0308337211608887
27,671,,,0.6493333578109741,,0.9871810078620911,,,
28,695,,,,,,,0.44940000772476196,2.0507686138153076
28,695,,,0.6600000262260437,,0.9728001952171326,,,
29,699,,,,0.64453125,,0.9898461103439331,,
29,719,,,,,,,0.4690000116825104,1.751143217086792
29,719,,,0.6623333096504211,,0.9698878526687622,,,
30,743,,,,,,,0.48330000042915344,1.6790908575057983
30,743,,,0.6740000247955322,,0.9387757778167725,,,
31,749,,,,0.673828125,,0.9362471103668213,,
31,767,,,,,,,0.484499990940094,1.6561716794967651
31,767,,,0.6825000047683716,,0.9117400646209717,,,
32,791,,,,,,,0.47940000891685486,1.7073646783828735
32,791,,,0.687333345413208,,0.8834807872772217,,,
33,799,,,,0.7109375,,0.7946801781654358,,
33,815,,,,,,,0.48420000076293945,1.7835568189620972
33,815,,,0.6984999775886536,,0.8690959215164185,,,
34,839,,,,,,,0.4894999861717224,1.7478091716766357
34,839,,,0.700083315372467,,0.8630883693695068,,,
35,849,,,,0.732421875,,0.8136868476867676,,
35,863,,,,,,,0.5149000287055969,1.4675365686416626
35,863,,,0.7018333077430725,,0.8519781827926636,,,
36,887,,,,,,,0.5170999765396118,1.5561461448669434
36,887,,,0.7055000066757202,,0.8334112763404846,,,
37,899,,,,0.716796875,,0.8142538070678711,,
37,911,,,,,,,0.5048999786376953,1.5167649984359741
37,911,,,0.7116666436195374,,0.8279536962509155,,,
38,935,,,,,,,0.4738999903202057,1.9682685136795044
38,935,,,0.7127500176429749,,0.8396106958389282,,,
39,949,,,,0.7109375,,0.8643161058425903,,
39,959,,,,,,,0.5127000212669373,1.5801061391830444
39,959,,,0.7127500176429749,,0.8418741226196289,,,
40,983,,,,,,,0.5105000138282776,2.0203733444213867
40,983,,,0.7051666378974915,,0.8460057973861694,,,
41,999,,,,0.6953125,,0.850147008895874,,
41,1007,,,,,,,0.5177000164985657,1.543789029121399
41,1007,,,0.7168333530426025,,0.7997094988822937,,,
42,1031,,,,,,,0.5404000282287598,1.470535397529602
42,1031,,,0.7297499775886536,,0.7832634449005127,,,
43,1049,,,,0.7265625,,0.7804648876190186,,
43,1055,,,,,,,0.4934000074863434,1.884705662727356
43,1055,,,0.7254166603088379,,0.7858321666717529,,,
44,1079,,,,,,,0.5238999724388123,1.5996953248977661
44,1079,,,0.7304166555404663,,0.778566300868988,,,
45,1099,,,,0.732421875,,0.7330873012542725,,
45,1103,,,,,,,0.5536999702453613,1.518602967262268
45,1103,,,0.7395833134651184,,0.7535810470581055,,,
46,1127,,,,,,,0.535099983215332,1.5696359872817993
46,1127,,,0.7475833296775818,,0.7304979562759399,,,
47,1149,,,,0.775390625,,0.6823816299438477,,
47,1151,,,,,,,0.5526999831199646,1.4827899932861328
47,1151,,,0.7557500004768372,,0.7115670442581177,,,
48,1175,,,,,,,0.545799970626831,1.4741792678833008
48,1175,,,0.7510833144187927,,0.7182793617248535,,,
49,1199,,,,0.7723214626312256,,0.688568651676178,,
49,1199,,,,,,,0.5335000157356262,1.572512149810791
49,1199,,,0.7510833144187927,,0.7090641260147095,,,
50,1223,,,,,,,0.5619999766349792,1.381666660308838
50,1223,,,0.7600833177566528,,0.6873347163200378,,,
51,1247,,,,,,,0.5530999898910522,1.4527931213378906
51,1247,,,0.7568333148956299,,0.6991267204284668,,,
52,1249,,,,0.7578125,,0.6257482767105103,,
52,1271,,,,,,,0.5708000063896179,1.4011892080307007
52,1271,,,0.7611666917800903,,0.681397557258606,,,
53,1295,,,,,,,0.5609999895095825,1.5164077281951904
53,1295,,,0.768916666507721,,0.665967583656311,,,
54,1299,,,,0.779296875,,0.6008069515228271,,
54,1319,,,,,,,0.5698000192642212,1.4272010326385498
