epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.2578125,,1.9995613098144531,,
0,78,,,,,,,0.27619999647140503,3.6934757232666016
0,78,,,0.23755000531673431,,2.5212080478668213,,,
1,99,,,,0.294921875,,1.8885173797607422,,
1,149,,,,0.37109375,,1.8885297775268555,,
1,157,,,,,,,0.25780001282691956,88.10894775390625
1,157,,,0.3349500000476837,,1.8337527513504028,,,
2,199,,,,0.361328125,,1.7968151569366455,,
2,236,,,,,,,0.43149998784065247,1.7272800207138062
2,236,,,0.37290000915527344,,1.731238842010498,,,
3,249,,,,0.43359375,,1.6006972789764404,,
3,299,,,,0.4296875,,1.5267269611358643,,
3,315,,,,,,,0.4251999855041504,2.6503329277038574
3,315,,,0.4239250123500824,,1.5685914754867554,,,
4,349,,,,0.51171875,,1.3732295036315918,,
4,394,,,,,,,0.3817000091075897,1.7867523431777954
4,394,,,0.4595000147819519,,1.4935650825500488,,,
5,399,,,,0.48046875,,1.368220567703247,,
5,449,,,,0.48828125,,1.368760585784912,,
5,473,,,,,,,0.5310999751091003,1.5761992931365967
5,473,,,0.4957750141620636,,1.3929640054702759,,,
6,499,,,,0.486328125,,1.475258231163025,,
6,549,,,,0.55859375,,1.2510828971862793,,
6,552,,,,,,,0.5598000288009644,1.5257798433303833
6,552,,,0.5240749716758728,,1.3417587280273438,,,
7,599,,,,0.568359375,,1.197258710861206,,
7,631,,,,,,,0.36880001425743103,2.3467509746551514
7,631,,,0.5486500263214111,,1.2635245323181152,,,
8,649,,,,0.548828125,,1.246389627456665,,
8,699,,,,0.609375,,1.1654531955718994,,
8,710,,,,,,,0.5633999705314636,1.42985999584198
8,710,,,0.556725025177002,,1.2423601150512695,,,
9,749,,,,0.63671875,,1.0771336555480957,,
9,789,,,,,,,0.6258000135421753,1.075164794921875
9,789,,,0.5899749994277954,,1.150824785232544,,,
10,799,,,,0.578125,,1.1795287132263184,,
10,849,,,,0.59765625,,1.1254866123199463,,
10,868,,,,,,,0.527400016784668,1.863645076751709
10,868,,,0.6085000038146973,,1.1071876287460327,,,
11,899,,,,0.625,,1.064485788345337,,
11,947,,,,,,,0.5144000053405762,3.8125882148742676
11,947,,,0.614799976348877,,1.0817244052886963,,,
12,949,,,,0.576171875,,1.1977583169937134,,
12,999,,,,0.625,,1.0430691242218018,,
12,1026,,,,,,,0.5760999917984009,1.6734429597854614
12,1026,,,0.6220999956130981,,1.0603079795837402,,,
13,1049,,,,0.623046875,,1.033576488494873,,
13,1099,,,,0.658203125,,0.9797018766403198,,
13,1105,,,,,,,0.6575999855995178,1.097276210784912
13,1105,,,0.6329500079154968,,1.0289441347122192,,,
14,1149,,,,0.654296875,,0.9736408591270447,,
14,1184,,,,,,,0.6218000054359436,1.1896653175354004
14,1184,,,0.6497499942779541,,0.988985538482666,,,
15,1199,,,,0.63671875,,0.9940834045410156,,
15,1249,,,,0.642578125,,0.9963164925575256,,
15,1263,,,,,,,0.6438999772071838,1.2086683511734009
15,1263,,,0.6590499877929688,,0.9612622261047363,,,
16,1299,,,,0.6640625,,0.9287182092666626,,
16,1342,,,,,,,0.64410001039505,1.0394483804702759
16,1342,,,0.6654000282287598,,0.9419805407524109,,,
17,1349,,,,0.68359375,,0.9736878871917725,,
17,1399,,,,0.669921875,,0.869415283203125,,
17,1421,,,,,,,0.675000011920929,1.0143762826919556
17,1421,,,0.6780250072479248,,0.9090768694877625,,,
18,1449,,,,0.69140625,,0.8943997621536255,,
18,1499,,,,0.658203125,,0.9834476709365845,,
18,1500,,,,,,,0.708299994468689,0.9037594795227051
18,1500,,,0.6802250146865845,,0.9037842750549316,,,
19,1549,,,,0.6953125,,0.8884556889533997,,
19,1579,,,,,,,0.7171000242233276,0.8665680885314941
19,1579,,,0.689300000667572,,0.8772140741348267,,,
20,1599,,,,0.640625,,0.9555743932723999,,
20,1649,,,,0.671875,,0.8838220834732056,,
20,1658,,,,,,,0.6880000233650208,0.9345576167106628
20,1658,,,0.6958749890327454,,0.8596978783607483,,,
21,1699,,,,0.650390625,,0.9739720225334167,,
21,1737,,,,,,,0.5794000029563904,1.9892451763153076
21,1737,,,0.6972000002861023,,0.8551940321922302,,,
22,1749,,,,0.65625,,0.9725854992866516,,
22,1799,,,,0.734375,,0.7925522327423096,,
22,1816,,,,,,,0.7301999926567078,0.7896252274513245
22,1816,,,0.6867750287055969,,0.8845275640487671,,,
23,1849,,,,0.6953125,,0.858893632888794,,
23,1895,,,,,,,0.5026000142097473,1.8250447511672974
23,1895,,,0.7048500180244446,,0.8269428014755249,,,
24,1899,,,,0.650390625,,0.9468995332717896,,
24,1949,,,,0.669921875,,0.942815899848938,,
24,1974,,,,,,,0.7465000152587891,0.7437923550605774
24,1974,,,0.6986250281333923,,0.8528387546539307,,,
25,1999,,,,0.68359375,,0.8739906549453735,,
25,2049,,,,0.71875,,0.8198366165161133,,
25,2053,,,,,,,0.7574999928474426,0.727279007434845
25,2053,,,0.7161499857902527,,0.7995761036872864,,,
