epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.251953125,,2.010014533996582,,
0,70,,,,,,,0.2687999904155731,2.5016889572143555
0,70,,,0.19858333468437195,,2.6039671897888184,,,
1,99,,,,0.359375,,1.9069565534591675,,
1,141,,,,,,,0.37529999017715454,1.6872808933258057
1,141,,,0.33072221279144287,,1.8083187341690063,,,
2,149,,,,0.373046875,,1.6581618785858154,,
2,199,,,,0.390625,,1.5724050998687744,,
2,212,,,,,,,0.3935000002384186,2.0536458492279053
2,212,,,0.39149999618530273,,1.648794174194336,,,
3,249,,,,0.421875,,1.5596075057983398,,
3,283,,,,,,,0.4772999882698059,1.8050916194915771
3,283,,,0.4324444532394409,,1.5410844087600708,,,
4,299,,,,0.455078125,,1.485858678817749,,
4,349,,,,0.478515625,,1.3840503692626953,,
4,354,,,,,,,0.5321000218391418,1.2885853052139282
4,354,,,0.4717777669429779,,1.448551893234253,,,
5,399,,,,0.52734375,,1.3105638027191162,,
5,425,,,,,,,0.5710999965667725,1.204853892326355
5,425,,,0.5016388893127441,,1.3724552392959595,,,
6,449,,,,0.5703125,,1.2484536170959473,,
6,496,,,,,,,0.5957000255584717,1.160629153251648
6,496,,,0.535527765750885,,1.2905102968215942,,,
7,499,,,,0.533203125,,1.282057523727417,,
7,549,,,,0.541015625,,1.3306989669799805,,
7,567,,,,,,,0.6097999811172485,1.1308432817459106
7,567,,,0.5620555281639099,,1.2144641876220703,,,
8,599,,,,0.58984375,,1.1527700424194336,,
8,638,,,,,,,0.6097999811172485,1.2002657651901245
8,638,,,0.5825555324554443,,1.1672828197479248,,,
9,649,,,,0.548828125,,1.2195783853530884,,
9,699,,,,0.60546875,,1.093837857246399,,
9,709,,,,,,,0.6549999713897705,0.9881175756454468
9,709,,,0.6028611063957214,,1.115012526512146,,,
10,749,,,,0.63671875,,1.0729840993881226,,
10,780,,,,,,,0.6668999791145325,0.9573681354522705
10,780,,,0.613111138343811,,1.0836448669433594,,,
11,799,,,,0.6171875,,1.0877509117126465,,
