epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.365234375,,2.1367664337158203,,
0,87,,,,,,,0.3707999885082245,2.0445117950439453
0,87,,,0.30053332448005676,,2.159311532974243,,,
1,99,,,,0.431640625,,1.9545631408691406,,
1,149,,,,0.556640625,,1.688253402709961,,
1,175,,,,,,,0.5273000001907349,1.6160145998001099
1,175,,,0.5109999775886536,,1.787821888923645,,,
2,199,,,,0.681640625,,1.4088897705078125,,
2,249,,,,0.763671875,,1.1094574928283691,,
2,263,,,,,,,0.6970000267028809,1.1575802564620972
2,263,,,0.6785333156585693,,1.3030951023101807,,,
3,299,,,,0.8359375,,0.8594224452972412,,
3,349,,,,0.88671875,,0.6929024457931519,,
3,351,,,,,,,0.7483999729156494,0.8261793255805969
3,351,,,0.8224666714668274,,0.870731770992279,,,
4,399,,,,0.90234375,,0.5250041484832764,,
4,439,,,,,,,0.8198999762535095,0.6039589047431946
4,439,,,0.8978444337844849,,0.5679150819778442,,,
5,449,,,,0.943359375,,0.4210869073867798,,
5,499,,,,0.935546875,,0.3622986078262329,,
5,527,,,,,,,0.8828999996185303,0.4158465266227722
5,527,,,0.9352889060974121,,0.3865097165107727,,,
6,549,,,,0.9453125,,0.30472320318222046,,
6,599,,,,0.939453125,,0.30461642146110535,,
6,615,,,,,,,0.9143999814987183,0.3338172435760498
6,615,,,0.9494444727897644,,0.2848048508167267,,,
7,649,,,,0.947265625,,0.2560298442840576,,
7,699,,,,0.962890625,,0.17665772140026093,,
7,703,,,,,,,0.9404000043869019,0.26957905292510986
7,703,,,0.9567555785179138,,0.22468969225883484,,,
8,749,,,,0.962890625,,0.1847805380821228,,
8,791,,,,,,,0.9406999945640564,0.25577977299690247
8,791,,,0.9615333080291748,,0.18948328495025635,,,
9,799,,,,0.97265625,,0.1531088650226593,,
9,849,,,,0.962890625,,0.18584829568862915,,
9,879,,,,,,,0.9506000280380249,0.22403058409690857
9,879,,,0.96506667137146,,0.1631966233253479,,,
10,899,,,,0.958984375,,0.17340336740016937,,
10,949,,,,0.974609375,,0.13538199663162231,,
10,967,,,,,,,0.9627000093460083,0.1742532104253769
10,967,,,0.9682444334030151,,0.1453733742237091,,,
11,999,,,,0.974609375,,0.12074059247970581,,
11,1049,,,,0.96875,,0.12099988013505936,,
11,1055,,,,,,,0.9649999737739563,0.15412886440753937
11,1055,,,0.9705333113670349,,0.1314358115196228,,,
12,1099,,,,0.98046875,,0.10158589482307434,,
12,1143,,,,,,,0.9696000218391418,0.13944898545742035
12,1143,,,0.9725333452224731,,0.120707668364048,,,
13,1149,,,,0.962890625,,0.14594492316246033,,
13,1199,,,,0.974609375,,0.10280841588973999,,
13,1231,,,,,,,0.9675999879837036,0.14709365367889404
13,1231,,,0.9738666415214539,,0.11186426132917404,,,
14,1249,,,,0.970703125,,0.10582812130451202,,
14,1299,,,,0.974609375,,0.0899864137172699,,
14,1319,,,,,,,0.9541000127792358,0.18286393582820892
14,1319,,,0.9753777980804443,,0.10515715181827545,,,
15,1349,,,,0.970703125,,0.11310344189405441,,
15,1399,,,,0.96875,,0.10477066785097122,,
15,1407,,,,,,,0.9617000222206116,0.15563496947288513
15,1407,,,0.97688889503479,,0.0986764132976532,,,
16,1449,,,,0.974609375,,0.0985850915312767,,
16,1495,,,,,,,0.9643999934196472,0.1453220546245575
16,1495,,,0.9778888821601868,,0.09323140978813171,,,
17,1499,,,,0.98828125,,0.06317927688360214,,
17,1549,,,,0.986328125,,0.07568688690662384,,
17,1583,,,,,,,0.972599983215332,0.11365775018930435
17,1583,,,0.9787111282348633,,0.08869995921850204,,,
18,1599,,,,0.974609375,,0.09224134683609009,,
18,1649,,,,0.978515625,,0.07999420911073685,,
18,1671,,,,,,,0.9750999808311462,0.10778512060642242
18,1671,,,0.9798444509506226,,0.08448158204555511,,,
19,1699,,,,0.970703125,,0.10071802139282227,,
19,1749,,,,0.98046875,,0.0915813148021698,,
19,1759,,,,,,,0.9713000059127808,0.11852168291807175
19,1759,,,0.9810000061988831,,0.08110581338405609,,,
20,1799,,,,0.98828125,,0.08215133100748062,,
20,1847,,,,,,,0.9674000144004822,0.12087512016296387
20,1847,,,0.9811999797821045,,0.07772169262170792,,,
21,1849,,,,0.982421875,,0.07103380560874939,,
21,1899,,,,0.9765625,,0.07538246363401413,,
21,1935,,,,,,,0.9672999978065491,0.1255614310503006
21,1935,,,0.9824888706207275,,0.07489287853240967,,,
22,1949,,,,0.986328125,,0.06670070439577103,,
22,1999,,,,0.978515625,,0.07462456822395325,,
22,2023,,,,,,,0.9757000207901001,0.09890887141227722
22,2023,,,0.982355535030365,,0.07221728563308716,,,
23,2049,,,,0.98828125,,0.07607921957969666,,
23,2099,,,,0.982421875,,0.05805730074644089,,
23,2111,,,,,,,0.9760000109672546,0.09333008527755737
23,2111,,,0.9840888977050781,,0.0695759654045105,,,
24,2149,,,,0.986328125,,0.06601926684379578,,
24,2199,,,,0.9890350699424744,,0.050490278750658035,,
24,2199,,,,,,,0.973800003528595,0.10534018278121948
24,2199,,,0.984155535697937,,0.0671364814043045,,,
25,2249,,,,0.982421875,,0.07474160194396973,,
25,2287,,,,,,,0.9768000245094299,0.09144546836614609
25,2287,,,0.9845777750015259,,0.06532012671232224,,,
26,2299,,,,0.974609375,,0.07780002802610397,,
26,2349,,,,0.98046875,,0.06567726284265518,,
26,2375,,,,,,,0.9692999720573425,0.1124214455485344
26,2375,,,0.9848666787147522,,0.06342276185750961,,,
27,2399,,,,0.986328125,,0.06099001318216324,,
27,2449,,,,0.978515625,,0.059215791523456573,,
27,2463,,,,,,,0.9740999937057495,0.09891189634799957
27,2463,,,0.9857110977172852,,0.06180747598409653,,,
28,2499,,,,0.982421875,,0.05576210469007492,,
28,2549,,,,0.986328125,,0.07117051631212234,,
28,2551,,,,,,,0.9714999794960022,0.1001092717051506
28,2551,,,0.9865111112594604,,0.06053544208407402,,,
29,2599,,,,0.984375,,0.06583404541015625,,
29,2639,,,,,,,0.9778000116348267,0.08562701940536499
29,2639,,,0.9864222407341003,,0.059209998697042465,,,
30,2649,,,,0.98828125,,0.06108691170811653,,
30,2699,,,,0.978515625,,0.06900417804718018,,
30,2727,,,,,,,0.9776999950408936,0.08468477427959442
30,2727,,,0.9867777824401855,,0.0576656237244606,,,
31,2749,,,,0.9921875,,0.04237930104136467,,
31,2799,,,,0.98828125,,0.05598897859454155,,
31,2815,,,,,,,0.97079998254776,0.11088940501213074
31,2815,,,0.9868666529655457,,0.056825991719961166,,,
32,2849,,,,0.994140625,,0.03743236884474754,,
32,2899,,,,0.984375,,0.058443065732717514,,
32,2903,,,,,,,0.975600004196167,0.08646276593208313
32,2903,,,0.9870889186859131,,0.056174274533987045,,,
33,2949,,,,0.984375,,0.05174381285905838,,
33,2991,,,,,,,0.9799000024795532,0.07622503489255905
33,2991,,,0.987755537033081,,0.054991401731967926,,,
34,2999,,,,0.986328125,,0.05349235236644745,,
34,3049,,,,0.99609375,,0.041546229273080826,,
34,3079,,,,,,,0.9799000024795532,0.07947728037834167
34,3079,,,0.9879999756813049,,0.05395592376589775,,,
35,3099,,,,0.998046875,,0.033999253064394,,
35,3149,,,,0.99609375,,0.040840305387973785,,
35,3167,,,,,,,0.9793999791145325,0.07589535415172577
35,3167,,,0.9879778027534485,,0.05327194929122925,,,
36,3199,,,,0.986328125,,0.06353376060724258,,
36,3249,,,,0.98046875,,0.05804792791604996,,
36,3255,,,,,,,0.9807000160217285,0.07576259225606918
36,3255,,,0.9879555702209473,,0.05287555977702141,,,
37,3299,,,,0.9921875,,0.04929525405168533,,
37,3343,,,,,,,0.9787999987602234,0.07702228426933289
37,3343,,,0.9882888793945312,,0.052359890192747116,,,
38,3349,,,,0.982421875,,0.07085444033145905,,
38,3399,,,,0.990234375,,0.043890900909900665,,
38,3431,,,,,,,0.9782000184059143,0.07802216708660126
38,3431,,,0.9884889125823975,,0.051815375685691833,,,
39,3449,,,,0.994140625,,0.04093358665704727,,
39,3499,,,,0.9921875,,0.04742433503270149,,
