epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,29,,,,,,,0.09870000183582306,2.3222246170043945
0,29,,,0.2295999974012375,,2.103236675262451,,,
1,49,,,,0.32421875,,1.8826122283935547,,
1,59,,,,,,,0.15000000596046448,2.3107738494873047
1,59,,,0.27593332529067993,,1.9320073127746582,,,
2,89,,,,,,,0.19589999318122864,2.2524936199188232
2,89,,,0.35993334650993347,,1.7508494853973389,,,
3,99,,,,0.384765625,,1.603447437286377,,
3,119,,,,,,,0.26350000500679016,2.149862766265869
3,119,,,0.431466668844223,,1.5644510984420776,,,
4,149,,,,0.5723684430122375,,1.3618381023406982,,
4,149,,,,,,,0.33489999175071716,2.0278282165527344
4,149,,,0.5451333522796631,,1.4002686738967896,,,
5,179,,,,,,,0.36959999799728394,2.011962413787842
5,179,,,0.6460666656494141,,1.2534419298171997,,,
6,199,,,,0.71484375,,1.1033886671066284,,
6,209,,,,,,,0.4250999987125397,1.9007210731506348
6,209,,,0.7067333459854126,,1.1241873502731323,,,
7,239,,,,,,,0.39410001039505005,2.0388760566711426
7,239,,,0.7404666543006897,,1.011050820350647,,,
8,249,,,,0.7890625,,0.8857570290565491,,
8,269,,,,,,,0.5157999992370605,1.7903752326965332
8,269,,,0.7736666798591614,,0.9080904722213745,,,
9,299,,,,0.8355263471603394,,0.7162267565727234,,
9,299,,,,,,,0.5027999877929688,1.882564663887024
9,299,,,0.8038666844367981,,0.8102365136146545,,,
10,329,,,,,,,0.5234000086784363,1.8499234914779663
10,329,,,0.8296666741371155,,0.7196696996688843,,,
11,349,,,,0.84375,,0.6456766724586487,,
11,359,,,,,,,0.6233999729156494,1.6089355945587158
11,359,,,0.8530666828155518,,0.635537326335907,,,
12,389,,,,,,,0.6111000180244446,1.5643112659454346
12,389,,,0.8721333146095276,,0.5588646531105042,,,
13,399,,,,0.875,,0.5172369480133057,,
13,419,,,,,,,0.6726999878883362,1.4749491214752197
13,419,,,0.8875333070755005,,0.49535253643989563,,,
