epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.412109375,,2.106843948364258,,
0,87,,,,,,,0.39980000257492065,1.924210786819458
0,87,,,0.3107333481311798,,2.131004571914673,,,
1,99,,,,0.3828125,,1.8901824951171875,,
1,149,,,,0.60546875,,1.6193528175354004,,
1,175,,,,,,,0.5824999809265137,1.5142333507537842
1,175,,,0.5109778046607971,,1.7224249839782715,,,
2,199,,,,0.646484375,,1.3991737365722656,,
2,249,,,,0.7421875,,1.109504222869873,,
2,263,,,,,,,0.682200014591217,1.155158281326294
2,263,,,0.6954666376113892,,1.2946985960006714,,,
3,299,,,,0.810546875,,0.9388015270233154,,
3,349,,,,0.873046875,,0.736749529838562,,
3,351,,,,,,,0.7939000129699707,0.828362226486206
3,351,,,0.8283777832984924,,0.8937512040138245,,,
4,399,,,,0.884765625,,0.6182476878166199,,
4,439,,,,,,,0.9174000024795532,0.4822435677051544
4,439,,,0.8989333510398865,,0.6020072102546692,,,
5,449,,,,0.908203125,,0.47545960545539856,,
5,499,,,,0.9296875,,0.38095033168792725,,
5,527,,,,,,,0.9258000254631042,0.37833160161972046
5,527,,,0.9302444458007812,,0.41705039143562317,,,
6,549,,,,0.9296875,,0.3487536311149597,,
6,599,,,,0.9453125,,0.2991219758987427,,
6,615,,,,,,,0.9232000112533569,0.3382566571235657
6,615,,,0.9444888830184937,,0.30975645780563354,,,
7,649,,,,0.9296875,,0.3085463345050812,,
7,699,,,,0.955078125,,0.22686046361923218,,
7,703,,,,,,,0.9520000219345093,0.24505959451198578
7,703,,,0.953511118888855,,0.24520987272262573,,,
8,749,,,,0.953125,,0.1968744397163391,,
8,791,,,,,,,0.955299973487854,0.20295141637325287
8,791,,,0.9587110877037048,,0.20541976392269135,,,
9,799,,,,0.9609375,,0.20503872632980347,,
9,849,,,,0.970703125,,0.1442144811153412,,
9,879,,,,,,,0.9614999890327454,0.17453965544700623
9,879,,,0.9631111025810242,,0.17729593813419342,,,
10,899,,,,0.96875,,0.15365612506866455,,
10,949,,,,0.9765625,,0.11937298625707626,,
10,967,,,,,,,0.9646999835968018,0.16434530913829803
10,967,,,0.9661111235618591,,0.15658921003341675,,,
11,999,,,,0.96875,,0.1419457048177719,,
11,1049,,,,0.978515625,,0.13661015033721924,,
11,1055,,,,,,,0.9704999923706055,0.13464687764644623
11,1055,,,0.9685778021812439,,0.14006875455379486,,,
12,1099,,,,0.98046875,,0.11145052313804626,,
12,1143,,,,,,,0.9571999907493591,0.17869023978710175
12,1143,,,0.9710444211959839,,0.1288180947303772,,,
13,1149,,,,0.96484375,,0.14353929460048676,,
13,1199,,,,0.9765625,,0.12270054221153259,,
13,1231,,,,,,,0.9402999877929688,0.23313242197036743
13,1231,,,0.9726222157478333,,0.11882539093494415,,,
14,1249,,,,0.966796875,,0.11707539111375809,,
14,1299,,,,0.98828125,,0.0759674608707428,,
14,1319,,,,,,,0.9710999727249146,0.12264523655176163
14,1319,,,0.9748666882514954,,0.11010096222162247,,,
15,1349,,,,0.96875,,0.11086627840995789,,
15,1399,,,,0.974609375,,0.08855011314153671,,
15,1407,,,,,,,0.972599983215332,0.11358533054590225
15,1407,,,0.9764222502708435,,0.1030396893620491,,,
16,1449,,,,0.982421875,,0.0913446843624115,,
16,1495,,,,,,,0.9546999931335449,0.16475865244865417
16,1495,,,0.9766666889190674,,0.0971069261431694,,,
17,1499,,,,0.978515625,,0.0983339250087738,,
17,1549,,,,0.98828125,,0.07459699362516403,,
17,1583,,,,,,,0.9710999727249146,0.11199132353067398
17,1583,,,0.978422224521637,,0.09231328219175339,,,
18,1599,,,,0.974609375,,0.09671039879322052,,
18,1649,,,,0.97265625,,0.09940998256206512,,
18,1671,,,,,,,0.9711999893188477,0.11313202232122421
18,1671,,,0.9792444705963135,,0.08767098933458328,,,
19,1699,,,,0.98046875,,0.09198315441608429,,
19,1749,,,,0.984375,,0.07480216771364212,,
19,1759,,,,,,,0.9653000235557556,0.1305970847606659
19,1759,,,0.9800222516059875,,0.08330531418323517,,,
20,1799,,,,0.984375,,0.09449152648448944,,
20,1847,,,,,,,0.9692000150680542,0.11828753352165222
20,1847,,,0.9811333417892456,,0.07980998605489731,,,
21,1848,0.9688000082969666,0.11900052428245544,,,,,,
