epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.302734375,,2.124713897705078,,
0,78,,,,,,,0.37299999594688416,2.0100014209747314
0,78,,,0.287324994802475,,2.167097568511963,,,
1,99,,,,0.447265625,,1.9028759002685547,,
1,149,,,,0.5,,1.6682710647583008,,
1,157,,,,,,,0.47690001130104065,1.6392263174057007
1,157,,,0.43274998664855957,,1.8359249830245972,,,
2,199,,,,0.5625,,1.4927072525024414,,
2,236,,,,,,,0.6726999878883362,1.252415657043457
2,236,,,0.6093500256538391,,1.4496352672576904,,,
3,249,,,,0.73828125,,1.1624069213867188,,
3,299,,,,0.822265625,,0.9577746391296387,,
3,315,,,,,,,0.8012999892234802,0.9139176607131958
3,315,,,0.7902500033378601,,1.0666561126708984,,,
4,349,,,,0.849609375,,0.7845422029495239,,
4,394,,,,,,,0.798799991607666,0.753293514251709
4,394,,,0.8772749900817871,,0.748499870300293,,,
5,399,,,,0.90234375,,0.5980132818222046,,
5,449,,,,0.908203125,,0.49403440952301025,,
5,473,,,,,,,0.7315000295639038,0.8473119139671326
5,473,,,0.9176750183105469,,0.5140655040740967,,,
6,499,,,,0.939453125,,0.3788118064403534,,
6,549,,,,0.927734375,,0.3623533248901367,,
6,552,,,,,,,0.9355999827384949,0.34228789806365967
6,552,,,0.9340999722480774,,0.37434670329093933,,,
7,599,,,,0.943359375,,0.2866032123565674,,
7,631,,,,,,,0.9448999762535095,0.27923741936683655
7,631,,,0.9461249709129333,,0.28942227363586426,,,
8,649,,,,0.94921875,,0.21847927570343018,,
8,699,,,,0.95703125,,0.20514234900474548,,
8,710,,,,,,,0.8762999773025513,0.4181382358074188
8,710,,,0.9513750076293945,,0.2397124320268631,,,
9,749,,,,0.98046875,,0.1676633358001709,,
9,789,,,,,,,0.9089000225067139,0.33719736337661743
9,789,,,0.957099974155426,,0.20560391247272491,,,
10,799,,,,0.95703125,,0.17712825536727905,,
10,849,,,,0.966796875,,0.18044012784957886,,
10,868,,,,,,,0.9067999720573425,0.3169398307800293
10,868,,,0.9609000086784363,,0.1809721738100052,,,
11,899,,,,0.962890625,,0.152540385723114,,
11,947,,,,,,,0.819599986076355,0.5666254758834839
11,947,,,0.9643250107765198,,0.16165265440940857,,,
12,949,,,,0.95703125,,0.15029080212116241,,
12,999,,,,0.955078125,,0.16409078240394592,,
12,1026,,,,,,,0.909500002861023,0.31662505865097046
12,1026,,,0.9663249850273132,,0.1481851190328598,,,
13,1027,0.9118000268936157,0.2994401156902313,,,,,,
