epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.390625,,2.134103775024414,,
0,87,,,,,,,0.3806000053882599,1.9307788610458374
0,87,,,0.32964444160461426,,2.1426210403442383,,,
1,99,,,,0.408203125,,1.8619461059570312,,
1,149,,,,0.494140625,,1.649531364440918,,
1,175,,,,,,,0.5806999802589417,1.5150657892227173
1,175,,,0.5207333564758301,,1.720126748085022,,,
2,199,,,,0.666015625,,1.3913979530334473,,
2,249,,,,0.765625,,1.094456434249878,,
2,263,,,,,,,0.6880999803543091,1.1352193355560303
2,263,,,0.7209555506706238,,1.2721023559570312,,,
3,299,,,,0.84765625,,0.8723567724227905,,
3,349,,,,0.873046875,,0.6370977163314819,,
3,351,,,,,,,0.803600013256073,0.7999131083488464
3,351,,,0.8420000076293945,,0.8428234457969666,,,
4,399,,,,0.919921875,,0.5170542597770691,,
4,439,,,,,,,0.9096999764442444,0.48153558373451233
4,439,,,0.9061999917030334,,0.5575156211853027,,,
5,449,,,,0.9375,,0.4253237545490265,,
5,499,,,,0.94140625,,0.34701237082481384,,
5,527,,,,,,,0.9016000032424927,0.41630780696868896
5,527,,,0.9341333508491516,,0.387789785861969,,,
6,549,,,,0.953125,,0.3029747009277344,,
6,599,,,,0.93359375,,0.2746943235397339,,
6,615,,,,,,,0.948199987411499,0.25983983278274536
6,615,,,0.9475333094596863,,0.2870672345161438,,,
7,649,,,,0.9609375,,0.22641456127166748,,
7,699,,,,0.953125,,0.22153903543949127,,
7,703,,,,,,,0.9498999714851379,0.22560246288776398
7,703,,,0.9553999900817871,,0.22810699045658112,,,
8,749,,,,0.95703125,,0.19066393375396729,,
8,791,,,,,,,0.9532999992370605,0.20854657888412476
8,791,,,0.9611333608627319,,0.19051527976989746,,,
9,799,,,,0.96875,,0.15495605766773224,,
9,849,,,,0.95703125,,0.1903737485408783,,
9,879,,,,,,,0.9605000019073486,0.1735907942056656
9,879,,,0.964733362197876,,0.16469122469425201,,,
10,899,,,,0.96484375,,0.15228283405303955,,
10,949,,,,0.96875,,0.1369859278202057,,
