sample_id,label,score,rank,method
58147,1,1.3593083620071411,0,intrinsic_dimensionality_twonn
40134,8,1.421635389328003,1,intrinsic_dimensionality_twonn
32502,8,1.4330782890319824,2,intrinsic_dimensionality_twonn
937,4,1.4414453506469727,3,intrinsic_dimensionality_twonn
6817,4,1.4470698833465576,4,intrinsic_dimensionality_twonn
53346,4,1.4987152814865112,5,intrinsic_dimensionality_twonn
55317,1,1.500319242477417,6,intrinsic_dimensionality_twonn
48524,9,1.5099751949310303,7,intrinsic_dimensionality_twonn
18334,8,1.523163080215454,8,intrinsic_dimensionality_twonn
54094,1,1.5273938179016113,9,intrinsic_dimensionality_twonn
44997,8,1.5316352844238281,10,intrinsic_dimensionality_twonn
53420,8,1.531768798828125,11,intrinsic_dimensionality_twonn
21561,4,1.5376811027526855,12,intrinsic_dimensionality_twonn
20465,1,1.537955403327942,13,intrinsic_dimensionality_twonn
49869,8,1.538846731185913,14,intrinsic_dimensionality_twonn
7131,1,1.5417916774749756,15,intrinsic_dimensionality_twonn
41658,1,1.542077898979187,16,intrinsic_dimensionality_twonn
32807,1,1.5437569618225098,17,intrinsic_dimensionality_twonn
28350,1,1.5444509983062744,18,intrinsic_dimensionality_twonn
25769,6,1.549604892730713,19,intrinsic_dimensionality_twonn
20666,8,1.552186369895935,20,intrinsic_dimensionality_twonn
57498,6,1.556593656539917,21,intrinsic_dimensionality_twonn
30745,4,1.5581743717193604,22,intrinsic_dimensionality_twonn
31718,1,1.5641868114471436,23,intrinsic_dimensionality_twonn
5207,3,1.5708308219909668,24,intrinsic_dimensionality_twonn
44308,8,1.5738427639007568,25,intrinsic_dimensionality_twonn
21581,4,1.5781986713409424,26,intrinsic_dimensionality_twonn
41163,4,1.5800714492797852,27,intrinsic_dimensionality_twonn
11043,1,1.5893254280090332,28,intrinsic_dimensionality_twonn
21767,1,1.590440273284912,29,intrinsic_dimensionality_twonn
18629,8,1.5941475629806519,30,intrinsic_dimensionality_twonn
28995,3,1.5966644287109375,31,intrinsic_dimensionality_twonn
36278,6,1.5992951393127441,32,intrinsic_dimensionality_twonn
59522,4,1.6016846895217896,33,intrinsic_dimensionality_twonn
33959,8,1.6016989946365356,34,intrinsic_dimensionality_twonn
13378,8,1.6017539501190186,35,intrinsic_dimensionality_twonn
21696,6,1.6056675910949707,36,intrinsic_dimensionality_twonn
34133,4,1.609750509262085,37,intrinsic_dimensionality_twonn
58607,8,1.6147727966308594,38,intrinsic_dimensionality_twonn
51813,1,1.614841103553772,39,intrinsic_dimensionality_twonn
36264,1,1.6157327890396118,40,intrinsic_dimensionality_twonn
53830,6,1.6221739053726196,41,intrinsic_dimensionality_twonn
58860,8,1.6248934268951416,42,intrinsic_dimensionality_twonn
25174,3,1.625765085220337,43,intrinsic_dimensionality_twonn
20829,1,1.6262893676757812,44,intrinsic_dimensionality_twonn
53833,1,1.6268541812896729,45,intrinsic_dimensionality_twonn
55327,6,1.6278200149536133,46,intrinsic_dimensionality_twonn
29115,4,1.6279797554016113,47,intrinsic_dimensionality_twonn
35587,1,1.634385585784912,48,intrinsic_dimensionality_twonn
30711,1,1.6427147388458252,49,intrinsic_dimensionality_twonn
18711,8,1.6496179103851318,50,intrinsic_dimensionality_twonn
42700,6,1.65127432346344,51,intrinsic_dimensionality_twonn
58203,1,1.6550483703613281,52,intrinsic_dimensionality_twonn
21860,6,1.655110478401184,53,intrinsic_dimensionality_twonn
26603,6,1.6558380126953125,54,intrinsic_dimensionality_twonn
38146,8,1.6577696800231934,55,intrinsic_dimensionality_twonn
18807,4,1.658522129058838,56,intrinsic_dimensionality_twonn
18361,2,1.6601284742355347,57,intrinsic_dimensionality_twonn
56568,6,1.6625232696533203,58,intrinsic_dimensionality_twonn
57381,1,1.6627131700515747,59,intrinsic_dimensionality_twonn
2237,8,1.663098692893982,60,intrinsic_dimensionality_twonn
40315,1,1.6663117408752441,61,intrinsic_dimensionality_twonn
21575,1,1.6703901290893555,62,intrinsic_dimensionality_twonn
52819,1,1.670984148979187,63,intrinsic_dimensionality_twonn
42588,3,1.6727391481399536,64,intrinsic_dimensionality_twonn
23272,4,1.6728217601776123,65,intrinsic_dimensionality_twonn
3009,4,1.6729919910430908,66,intrinsic_dimensionality_twonn
37715,8,1.6740028858184814,67,intrinsic_dimensionality_twonn
41159,4,1.674253225326538,68,intrinsic_dimensionality_twonn
49972,1,1.674401044845581,69,intrinsic_dimensionality_twonn
43323,1,1.6746604442596436,70,intrinsic_dimensionality_twonn
973,6,1.6768674850463867,71,intrinsic_dimensionality_twonn
47861,8,1.6781094074249268,72,intrinsic_dimensionality_twonn
45385,1,1.6785516738891602,73,intrinsic_dimensionality_twonn
8760,1,1.678594946861267,74,intrinsic_dimensionality_twonn
4089,1,1.6791863441467285,75,intrinsic_dimensionality_twonn
13379,1,1.6797232627868652,76,intrinsic_dimensionality_twonn
38063,8,1.6800355911254883,77,intrinsic_dimensionality_twonn
45317,8,1.6814281940460205,78,intrinsic_dimensionality_twonn
1190,6,1.6874330043792725,79,intrinsic_dimensionality_twonn
21232,4,1.6882741451263428,80,intrinsic_dimensionality_twonn
1760,8,1.688871145248413,81,intrinsic_dimensionality_twonn
54495,8,1.68965482711792,82,intrinsic_dimensionality_twonn
53371,1,1.6897730827331543,83,intrinsic_dimensionality_twonn
41319,4,1.6904304027557373,84,intrinsic_dimensionality_twonn
56011,4,1.691706657409668,85,intrinsic_dimensionality_twonn
47993,1,1.691909670829773,86,intrinsic_dimensionality_twonn
32962,8,1.693791389465332,87,intrinsic_dimensionality_twonn
49603,1,1.6950544118881226,88,intrinsic_dimensionality_twonn
25143,8,1.698028802871704,89,intrinsic_dimensionality_twonn
2260,1,1.6988251209259033,90,intrinsic_dimensionality_twonn
19880,1,1.6997945308685303,91,intrinsic_dimensionality_twonn
27665,1,1.7001683712005615,92,intrinsic_dimensionality_twonn
47790,1,1.700286626815796,93,intrinsic_dimensionality_twonn
32000,8,1.703520655632019,94,intrinsic_dimensionality_twonn
3101,4,1.7037646770477295,95,intrinsic_dimensionality_twonn
36037,1,1.704594373703003,96,intrinsic_dimensionality_twonn
6789,6,1.706579327583313,97,intrinsic_dimensionality_twonn
37674,1,1.706639051437378,98,intrinsic_dimensionality_twonn
919,1,1.707224726676941,99,intrinsic_dimensionality_twonn
38892,3,1.7087922096252441,100,intrinsic_dimensionality_twonn
