epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.3671875,,2.0964279174804688,,
0,97,,,,,,,0.4090000092983246,1.8719347715377808
0,97,,,0.32128000259399414,,2.104539632797241,,,
1,99,,,,0.466796875,,1.8539848327636719,,
1,149,,,,0.60546875,,1.6028647422790527,,
1,195,,,,,,,0.6247000098228455,1.4027825593948364
1,195,,,0.5423600077629089,,1.6410412788391113,,,
2,199,,,,0.607421875,,1.4016401767730713,,
2,249,,,,0.75390625,,1.1070280075073242,,
2,293,,,,,,,0.7383000254631042,0.992636501789093
2,293,,,0.7374799847602844,,1.156064510345459,,,
3,299,,,,0.826171875,,0.9059984683990479,,
3,349,,,,0.87109375,,0.7009239196777344,,
3,391,,,,,,,0.800000011920929,0.7283769845962524
3,391,,,0.8666999936103821,,0.7434595227241516,,,
4,399,,,,0.92578125,,0.5334241390228271,,
4,449,,,,0.93359375,,0.4417605698108673,,
4,489,,,,,,,0.9103000164031982,0.4277563989162445
4,489,,,0.921999990940094,,0.4822428524494171,,,
5,499,,,,0.943359375,,0.36243319511413574,,
5,549,,,,0.953125,,0.3187554180622101,,
5,587,,,,,,,0.9319000244140625,0.33065229654312134
5,587,,,0.9432799816131592,,0.33212757110595703,,,
6,599,,,,0.94921875,,0.25827229022979736,,
6,649,,,,0.94921875,,0.2403571903705597,,
6,685,,,,,,,0.951200008392334,0.2355288565158844
6,685,,,0.9536600112915039,,0.24898004531860352,,,
7,699,,,,0.974609375,,0.18855121731758118,,
7,749,,,,0.96484375,,0.19190123677253723,,
7,783,,,,,,,0.95660001039505,0.21028871834278107
7,783,,,0.9604200124740601,,0.20129236578941345,,,
8,799,,,,0.962890625,,0.1824876070022583,,
8,849,,,,0.958984375,,0.19146914780139923,,
8,881,,,,,,,0.957099974155426,0.19086198508739471
8,881,,,0.9653199911117554,,0.16925007104873657,,,
9,899,,,,0.9765625,,0.15854090452194214,,
9,949,,,,0.970703125,,0.13092206418514252,,
9,979,,,,,,,0.9667999744415283,0.15459993481636047
9,979,,,0.9688400030136108,,0.14822106063365936,,,
10,999,,,,0.966796875,,0.14139589667320251,,
10,1049,,,,0.966796875,,0.15302661061286926,,
10,1077,,,,,,,0.9656999707221985,0.14367829263210297
10,1077,,,0.970740020275116,,0.13190780580043793,,,
11,1099,,,,0.962890625,,0.12912827730178833,,
11,1149,,,,0.9765625,,0.11925461888313293,,
11,1175,,,,,,,0.9627000093460083,0.15576493740081787
11,1175,,,0.9735000133514404,,0.11930099874734879,,,
12,1199,,,,0.966796875,,0.11503294110298157,,
12,1249,,,,0.955078125,,0.12798088788986206,,
12,1273,,,,,,,0.9585000276565552,0.16339297592639923
12,1273,,,0.9756399989128113,,0.1087246909737587,,,
13,1299,,,,0.98046875,,0.09127174317836761,,
13,1349,,,,0.990234375,,0.07027917355298996,,
13,1371,,,,,,,0.965499997138977,0.13791364431381226
13,1371,,,0.9769200086593628,,0.1008593812584877,,,
14,1399,,,,0.970703125,,0.1065208688378334,,
14,1449,,,,0.984375,,0.0754462480545044,,
14,1469,,,,,,,0.9714000225067139,0.11433547735214233
14,1469,,,0.9781799912452698,,0.09356456995010376,,,
15,1499,,,,0.97265625,,0.0973091721534729,,
15,1549,,,,0.98046875,,0.08680601418018341,,
15,1567,,,,,,,0.9316999912261963,0.2245631366968155
15,1567,,,0.980180025100708,,0.0879300981760025,,,
16,1599,,,,0.982421875,,0.07941720634698868,,
16,1649,,,,0.994140625,,0.05413532257080078,,
16,1665,,,,,,,0.9769999980926514,0.09561105072498322
16,1665,,,0.9809399843215942,,0.08318363130092621,,,
17,1699,,,,0.986328125,,0.07522828876972198,,
17,1749,,,,0.96875,,0.10927929729223251,,
17,1763,,,,,,,0.9743000268936157,0.10409211367368698
17,1763,,,0.9810000061988831,,0.07924853265285492,,,
18,1799,,,,0.9765625,,0.08179178088903427,,
18,1849,,,,0.986328125,,0.06411321461200714,,
18,1861,,,,,,,0.9557999968528748,0.15746548771858215
18,1861,,,0.982479989528656,,0.07479137927293777,,,
19,1899,,,,0.98828125,,0.06286919862031937,,
19,1949,,,,0.98828125,,0.04902484267950058,,
19,1959,,,,,,,0.9592999815940857,0.14705297350883484
19,1959,,,0.9832800030708313,,0.07146880030632019,,,
20,1999,,,,0.98046875,,0.07462827861309052,,
20,2049,,,,0.98046875,,0.08038648962974548,,
20,2057,,,,,,,0.9713000059127808,0.10613826662302017
20,2057,,,0.983680009841919,,0.06920690834522247,,,
21,2099,,,,0.984375,,0.07784982770681381,,
21,2149,,,,0.978515625,,0.09398769587278366,,
21,2155,,,,,,,0.9760000109672546,0.09156541526317596
21,2155,,,0.9847000241279602,,0.06627486646175385,,,
22,2156,0.9769999980926514,0.0876624658703804,,,,,,
