epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.39453125,,2.1247920989990234,,
0,97,,,,,,,0.40880000591278076,1.8790074586868286
0,97,,,0.3376399874687195,,2.119598865509033,,,
1,99,,,,0.44140625,,1.8528776168823242,,
1,149,,,,0.537109375,,1.6501555442810059,,
1,195,,,,,,,0.6092000007629395,1.4302064180374146
1,195,,,0.5584200024604797,,1.6459015607833862,,,
2,199,,,,0.654296875,,1.3811519145965576,,
2,249,,,,0.767578125,,1.1352441310882568,,
2,293,,,,,,,0.7894999980926514,0.9443995952606201
2,293,,,0.7648400068283081,,1.1373066902160645,,,
3,299,,,,0.865234375,,0.8630768060684204,,
3,349,,,,0.873046875,,0.7111338376998901,,
3,391,,,,,,,0.8507000207901001,0.6817365884780884
3,391,,,0.8729199767112732,,0.7105330228805542,,,
4,399,,,,0.919921875,,0.542579174041748,,
4,449,,,,0.931640625,,0.44572827219963074,,
4,489,,,,,,,0.9262999892234802,0.3937368094921112
4,489,,,0.9231200218200684,,0.45938777923583984,,,
5,499,,,,0.951171875,,0.3667547404766083,,
5,549,,,,0.943359375,,0.304320752620697,,
5,587,,,,,,,0.9449999928474426,0.281391978263855
5,587,,,0.9443399906158447,,0.3182818293571472,,,
6,599,,,,0.95703125,,0.2462763786315918,,
6,649,,,,0.966796875,,0.21798451244831085,,
6,685,,,,,,,0.9325000047683716,0.29081112146377563
6,685,,,0.9539999961853027,,0.2407052218914032,,,
7,699,,,,0.95703125,,0.20214268565177917,,
7,749,,,,0.96484375,,0.19025582075119019,,
7,783,,,,,,,0.9444000124931335,0.22583991289138794
7,783,,,0.9600399732589722,,0.19337980449199677,,,
8,799,,,,0.962890625,,0.18189647793769836,,
8,849,,,,0.966796875,,0.15162764489650726,,
8,881,,,,,,,0.9541000127792358,0.19148655235767365
8,881,,,0.9653400182723999,,0.16455793380737305,,,
9,899,,,,0.978515625,,0.1288001835346222,,
9,949,,,,0.9765625,,0.14011698961257935,,
9,979,,,,,,,0.9560999870300293,0.1802537888288498
9,979,,,0.9688400030136108,,0.1442287564277649,,,
10,999,,,,0.96875,,0.1341530680656433,,
10,1049,,,,0.96484375,,0.13599750399589539,,
10,1077,,,,,,,0.9678000211715698,0.13797590136528015
10,1077,,,0.9714599847793579,,0.12793760001659393,,,
11,1099,,,,0.970703125,,0.1366627812385559,,
11,1149,,,,0.97265625,,0.1168464720249176,,
11,1175,,,,,,,0.9257000088691711,0.2570350766181946
11,1175,,,0.9735000133514404,,0.11630513519048691,,,
12,1199,,,,0.98046875,,0.10051896423101425,,
12,1249,,,,0.982421875,,0.09138268232345581,,
12,1273,,,,,,,0.9696000218391418,0.11896033585071564
12,1273,,,0.9763000011444092,,0.10609257966279984,,,
13,1299,,,,0.986328125,,0.06908988952636719,,
13,1349,,,,0.962890625,,0.1181805208325386,,
13,1371,,,,,,,0.9592000246047974,0.1518012136220932
13,1371,,,0.9769999980926514,,0.09915581345558167,,,
14,1399,,,,0.97265625,,0.08813045918941498,,
14,1449,,,,0.978515625,,0.08220948278903961,,
14,1469,,,,,,,0.972599983215332,0.10786175727844238
14,1469,,,0.9787399768829346,,0.09223999083042145,,,
15,1499,,,,0.96875,,0.10288967937231064,,
15,1549,,,,0.97265625,,0.09144891798496246,,
15,1567,,,,,,,0.9746999740600586,0.10109221935272217
15,1567,,,0.9795600175857544,,0.08658058941364288,,,
16,1599,,,,0.984375,,0.07961039245128632,,
16,1649,,,,0.982421875,,0.07528454065322876,,
16,1665,,,,,,,0.9685999751091003,0.11681168526411057
16,1665,,,0.98089998960495,,0.08149447292089462,,,
17,1699,,,,0.986328125,,0.06290291994810104,,
17,1749,,,,0.982421875,,0.0722404420375824,,
17,1763,,,,,,,0.961899995803833,0.14116749167442322
17,1763,,,0.9820600152015686,,0.07786212861537933,,,
18,1799,,,,0.986328125,,0.07517217099666595,,
18,1849,,,,0.986328125,,0.062256719917058945,,
18,1861,,,,,,,0.9685999751091003,0.11543627828359604
18,1861,,,0.9830600023269653,,0.07330450415611267,,,
19,1899,,,,0.986328125,,0.07572527229785919,,
19,1949,,,,0.978515625,,0.07371926307678223,,
19,1959,,,,,,,0.9700000286102295,0.10991977900266647
19,1959,,,0.9837200045585632,,0.07078959047794342,,,
20,1999,,,,0.990234375,,0.06224163621664047,,
20,2049,,,,0.990234375,,0.0631604939699173,,
20,2057,,,,,,,0.9757999777793884,0.08853011578321457
20,2057,,,0.9840999841690063,,0.06788446754217148,,,
21,2099,,,,0.9765625,,0.07963113486766815,,
21,2149,,,,0.98046875,,0.09859051555395126,,
21,2155,,,,,,,0.961899995803833,0.1306445151567459
21,2155,,,0.9848600029945374,,0.06479797512292862,,,
22,2199,,,,0.98828125,,0.05870591849088669,,
22,2249,,,,0.984375,,0.08185011148452759,,
22,2253,,,,,,,0.9751999974250793,0.08860154449939728
22,2253,,,0.9854199886322021,,0.06270383298397064,,,
23,2299,,,,0.98046875,,0.05983199551701546,,
23,2349,,,,0.984375,,0.06298460066318512,,
23,2351,,,,,,,0.9724000096321106,0.09688286483287811
23,2351,,,0.9860000014305115,,0.06032087281346321,,,
24,2399,,,,0.986328125,,0.066390760242939,,
24,2449,,,,0.9910714626312256,,0.058649733662605286,,
24,2449,,,,,,,0.9800000190734863,0.07271057367324829
24,2449,,,0.9864000082015991,,0.05866612121462822,,,
25,2499,,,,0.974609375,,0.06992975622415543,,
25,2547,,,,,,,0.9688000082969666,0.10873010009527206
25,2547,,,0.986739993095398,,0.05699239298701286,,,
26,2549,,,,0.990234375,,0.05716942250728607,,
26,2599,,,,0.98828125,,0.05431289225816727,,
26,2645,,,,,,,0.9786999821662903,0.07787489891052246
26,2645,,,0.9874799847602844,,0.05501270666718483,,,
27,2649,,,,0.986328125,,0.049075350165367126,,
27,2699,,,,0.990234375,,0.053796082735061646,,
27,2743,,,,,,,0.9713000059127808,0.10130400210618973
27,2743,,,0.9875199794769287,,0.053781405091285706,,,
28,2749,,,,0.9921875,,0.057765163481235504,,
28,2799,,,,0.986328125,,0.05253445357084274,,
28,2841,,,,,,,0.9797999858856201,0.07317343354225159
28,2841,,,0.9879599809646606,,0.052838124334812164,,,
29,2849,,,,0.984375,,0.05461848899722099,,
29,2899,,,,0.986328125,,0.0690130740404129,,
29,2939,,,,,,,0.9800999760627747,0.07494339346885681
29,2939,,,0.9883400201797485,,0.051243722438812256,,,
30,2949,,,,0.984375,,0.04557257890701294,,
30,2999,,,,0.994140625,,0.05171627551317215,,
30,3037,,,,,,,0.982699990272522,0.06719274073839188
30,3037,,,0.9888399839401245,,0.05018039047718048,,,
31,3049,,,,0.994140625,,0.0355190709233284,,
31,3099,,,,0.98828125,,0.049521662294864655,,
31,3135,,,,,,,0.9819999933242798,0.06679219007492065
31,3135,,,0.9892799854278564,,0.048905741423368454,,,
32,3149,,,,0.98828125,,0.05446295067667961,,
32,3199,,,,0.974609375,,0.0736759603023529,,
32,3233,,,,,,,0.9829000234603882,0.06415367871522903
32,3233,,,0.9892200231552124,,0.04814955219626427,,,
33,3249,,,,0.990234375,,0.03891819715499878,,
33,3299,,,,0.986328125,,0.04758992791175842,,
33,3331,,,,,,,0.9825000166893005,0.0695820078253746
33,3331,,,0.9891999959945679,,0.047571368515491486,,,
34,3349,,,,0.98828125,,0.04506253823637962,,
34,3399,,,,0.978515625,,0.05974748358130455,,
34,3429,,,,,,,0.982200026512146,0.06604046374559402
34,3429,,,0.9894599914550781,,0.04672466218471527,,,
35,3449,,,,0.990234375,,0.04681966081261635,,
35,3499,,,,0.986328125,,0.05072268098592758,,
35,3527,,,,,,,0.9821000099182129,0.06537827849388123
35,3527,,,0.9896799921989441,,0.04619033262133598,,,
36,3549,,,,0.982421875,,0.06743141263723373,,
36,3599,,,,0.994140625,,0.03904683515429497,,
