epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.265625,,2.1044540405273438,,
0,78,,,,,,,0.36230000853538513,1.9698100090026855
0,78,,,0.2804499864578247,,2.1357638835906982,,,
1,99,,,,0.353515625,,1.9028515815734863,,
1,149,,,,0.546875,,1.6303820610046387,,
1,157,,,,,,,0.5127000212669373,1.59223473072052
1,157,,,0.48502498865127563,,1.745780110359192,,,
2,199,,,,0.654296875,,1.3832757472991943,,
2,236,,,,,,,0.595300018787384,1.240670919418335
2,236,,,0.668150007724762,,1.3417236804962158,,,
3,249,,,,0.78515625,,1.0380579233169556,,
3,299,,,,0.818359375,,0.893592357635498,,
3,315,,,,,,,0.4912000000476837,1.2695648670196533
3,315,,,0.7886250019073486,,0.9535559415817261,,,
4,349,,,,0.888671875,,0.6997044682502747,,
4,394,,,,,,,0.8411999940872192,0.6568091511726379
4,394,,,0.8775249719619751,,0.6490308046340942,,,
5,399,,,,0.912109375,,0.5170371532440186,,
5,449,,,,0.939453125,,0.3864741623401642,,
5,473,,,,,,,0.41440001130104065,1.7627812623977661
5,473,,,0.9193750023841858,,0.45844539999961853,,,
6,499,,,,0.94140625,,0.3409457504749298,,
6,549,,,,0.931640625,,0.33746492862701416,,
6,552,,,,,,,0.892799973487854,0.45437905192375183
6,552,,,0.9368000030517578,,0.34867700934410095,,,
7,599,,,,0.95703125,,0.2611754238605499,,
7,631,,,,,,,0.8805000185966492,0.45456963777542114
7,631,,,0.9485250115394592,,0.2781303822994232,,,
8,649,,,,0.966796875,,0.22091157734394073,,
8,699,,,,0.94921875,,0.22306662797927856,,
8,710,,,,,,,0.8924000263214111,0.3883401155471802
8,710,,,0.9545999765396118,,0.23149675130844116,,,
9,749,,,,0.97265625,,0.15777388215065002,,
9,789,,,,,,,0.9258000254631042,0.28286874294281006
9,789,,,0.9599999785423279,,0.19737617671489716,,,
10,799,,,,0.970703125,,0.17957407236099243,,
10,849,,,,0.951171875,,0.16991546750068665,,
10,868,,,,,,,0.777899980545044,0.6928406953811646
10,868,,,0.9648749828338623,,0.17340803146362305,,,
11,899,,,,0.96875,,0.17077533900737762,,
11,947,,,,,,,0.6543999910354614,1.0363222360610962
11,947,,,0.967674970626831,,0.15419527888298035,,,
12,949,,,,0.96484375,,0.1561436504125595,,
12,999,,,,0.982421875,,0.10794687271118164,,
12,1026,,,,,,,0.9575999975204468,0.1859346330165863
12,1026,,,0.9700750112533569,,0.13986870646476746,,,
13,1049,,,,0.97265625,,0.11931556463241577,,
13,1099,,,,0.962890625,,0.13242486119270325,,
13,1105,,,,,,,0.7692999839782715,0.7185571193695068
13,1105,,,0.9720749855041504,,0.12731210887432098,,,
14,1149,,,,0.982421875,,0.10486040264368057,,
14,1184,,,,,,,0.656499981880188,0.9843496084213257
14,1184,,,0.9737499952316284,,0.11821766197681427,,,
15,1199,,,,0.978515625,,0.10699731111526489,,
15,1249,,,,0.96484375,,0.12482698261737823,,
15,1263,,,,,,,0.8671000003814697,0.3884960412979126
15,1263,,,0.975350022315979,,0.1101512461900711,,,
16,1299,,,,0.986328125,,0.09027706831693649,,
16,1342,,,,,,,0.9420999884605408,0.20980732142925262
16,1342,,,0.9768750071525574,,0.10301531851291656,,,
17,1349,,,,0.982421875,,0.09099694341421127,,
17,1399,,,,0.98828125,,0.08141970634460449,,
17,1421,,,,,,,0.9289000034332275,0.24488644301891327
17,1421,,,0.977649986743927,,0.09814414381980896,,,
18,1422,0.9322999715805054,0.23592332005500793,,,,,,
