epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.3671875,,2.0800437927246094,,
0,87,,,,,,,0.39480000734329224,1.8943562507629395
0,87,,,0.3366444408893585,,2.101224899291992,,,
1,99,,,,0.40234375,,1.8159637451171875,,
1,149,,,,0.6015625,,1.5916824340820312,,
1,175,,,,,,,0.5626000165939331,1.5178396701812744
1,175,,,0.5331110954284668,,1.6587404012680054,,,
2,199,,,,0.72265625,,1.3092505931854248,,
2,249,,,,0.787109375,,1.062024712562561,,
2,263,,,,,,,0.7615000009536743,1.0188732147216797
2,263,,,0.7491777539253235,,1.1843844652175903,,,
3,299,,,,0.86328125,,0.7792456150054932,,
3,349,,,,0.916015625,,0.5747601985931396,,
3,351,,,,,,,0.7099999785423279,0.878197431564331
3,351,,,0.8725555539131165,,0.7351478934288025,,,
4,399,,,,0.94140625,,0.44937828183174133,,
4,439,,,,,,,0.9047999978065491,0.48766258358955383
4,439,,,0.9382666945457458,,0.4581778347492218,,,
5,449,,,,0.953125,,0.34345096349716187,,
5,499,,,,0.96875,,0.2728728652000427,,
5,527,,,,,,,0.9225999712944031,0.36865681409835815
5,527,,,0.9671777486801147,,0.3003411591053009,,,
6,549,,,,0.962890625,,0.2414844036102295,,
6,599,,,,0.990234375,,0.16342850029468536,,
6,615,,,,,,,0.9412000179290771,0.2796025276184082
6,615,,,0.9779333472251892,,0.2089652717113495,,,
7,649,,,,0.984375,,0.1392965316772461,,
7,699,,,,0.98828125,,0.13484372198581696,,
7,703,,,,,,,0.9455999732017517,0.23625673353672028
7,703,,,0.9841333627700806,,0.15430276095867157,,,
8,749,,,,0.990234375,,0.10995856672525406,,
8,791,,,,,,,0.9519000053405762,0.19751709699630737
8,791,,,0.9878444671630859,,0.12015963345766068,,,
9,799,,,,0.98046875,,0.11784258484840393,,
9,849,,,,0.9921875,,0.0815141573548317,,
9,879,,,,,,,0.9538000226020813,0.18439564108848572
9,879,,,0.9897555708885193,,0.09762769937515259,,,
10,899,,,,0.990234375,,0.09306436777114868,,
10,949,,,,0.99609375,,0.06740601360797882,,
10,967,,,,,,,0.9506000280380249,0.18668919801712036
10,967,,,0.9915111064910889,,0.08336279541254044,,,
11,999,,,,0.99609375,,0.06493920832872391,,
11,1049,,,,0.990234375,,0.07996045053005219,,
11,1055,,,,,,,0.9574000239372253,0.16224077343940735
11,1055,,,0.993066668510437,,0.07179254293441772,,,
12,1099,,,,0.998046875,,0.051100216805934906,,
12,1143,,,,,,,0.944599986076355,0.19960686564445496
12,1143,,,0.9936222434043884,,0.06369893997907639,,,
13,1149,,,,0.994140625,,0.052888788282871246,,
13,1199,,,,0.9921875,,0.051648788154125214,,
13,1231,,,,,,,0.9620000123977661,0.14002853631973267
13,1231,,,0.9942666888237,,0.05672488734126091,,,
14,1249,,,,0.998046875,,0.05842659994959831,,
