epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.3671875,,2.1207103729248047,,
0,78,,,,,,,0.3562000095844269,1.9660241603851318
0,78,,,0.30550000071525574,,2.1503443717956543,,,
1,99,,,,0.4609375,,1.8574352264404297,,
1,149,,,,0.525390625,,1.6460418701171875,,
1,157,,,,,,,0.5091000199317932,1.611207365989685
1,157,,,0.47029998898506165,,1.7828822135925293,,,
2,199,,,,0.662109375,,1.3904109001159668,,
2,236,,,,,,,0.6324999928474426,1.2369682788848877
2,236,,,0.6438999772071838,,1.3976129293441772,,,
3,249,,,,0.76171875,,1.1366145610809326,,
3,299,,,,0.81640625,,0.9160114526748657,,
3,315,,,,,,,0.7113999724388123,1.0044395923614502
3,315,,,0.7845249772071838,,1.0168594121932983,,,
4,349,,,,0.88671875,,0.6821458339691162,,
4,394,,,,,,,0.8112999796867371,0.7448347210884094
4,394,,,0.8755499720573425,,0.7096034288406372,,,
5,399,,,,0.90234375,,0.5571444630622864,,
5,449,,,,0.931640625,,0.44210076332092285,,
5,473,,,,,,,0.9164999723434448,0.46903809905052185
5,473,,,0.9176999926567078,,0.500933825969696,,,
6,499,,,,0.9453125,,0.3648819029331207,,
6,549,,,,0.958984375,,0.3044699728488922,,
6,552,,,,,,,0.7684999704360962,0.7280320525169373
6,552,,,0.939300000667572,,0.3656105697154999,,,
7,599,,,,0.951171875,,0.2588767409324646,,
7,631,,,,,,,0.2662999927997589,2.705294609069824
7,631,,,0.9488499760627747,,0.2840895354747772,,,
8,649,,,,0.966796875,,0.24307775497436523,,
8,699,,,,0.96484375,,0.20456041395664215,,
8,710,,,,,,,0.9459999799728394,0.2441827654838562
8,710,,,0.9552500247955322,,0.236249640583992,,,
9,749,,,,0.96875,,0.173908993601799,,
9,789,,,,,,,0.9174000024795532,0.2900945246219635
9,789,,,0.9616000056266785,,0.19612929224967957,,,
10,799,,,,0.958984375,,0.18305155634880066,,
10,849,,,,0.96484375,,0.17340803146362305,,
10,868,,,,,,,0.9229999780654907,0.30179062485694885
10,868,,,0.9655249714851379,,0.17149750888347626,,,
11,899,,,,0.9765625,,0.12090533971786499,,
11,947,,,,,,,0.8285999894142151,0.5415270328521729
11,947,,,0.9678750038146973,,0.1529400646686554,,,
12,949,,,,0.96484375,,0.1440497189760208,,
12,999,,,,0.95703125,,0.15877115726470947,,
12,1026,,,,,,,0.926800012588501,0.2681403160095215
12,1026,,,0.9707000255584717,,0.1383276730775833,,,
13,1049,,,,0.974609375,,0.12961280345916748,,
13,1099,,,,0.984375,,0.10842270404100418,,
13,1105,,,,,,,0.9107000231742859,0.29428836703300476
13,1105,,,0.9720749855041504,,0.1281970888376236,,,
14,1106,0.9150000214576721,0.2832001745700836,,,,,,
