method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
random,0,32,0.9828000068664552,0.0649820193648338,0.982699990272522
random,0,64,0.9718999862670898,0.115336500108242,0.9731000065803528
random,0,128,0.9743000268936156,0.1042797267436981,0.972100019454956
random,10,32,0.9783999919891356,0.0811057016253471,0.9726999998092651
random,10,64,0.9764999747276306,0.0984842553734779,0.9750999808311462
random,10,128,0.9803000092506408,0.0777708366513252,0.9783999919891357
random,20,32,0.963699996471405,0.1407405138015747,0.9621999859809875
random,20,64,0.97680002450943,0.0899186953902244,0.9783999919891357
random,20,128,0.9459999799728394,0.2441827654838562,0.9150000214576721
random,30,32,0.9801999926567078,0.0809662565588951,0.9807000160217285
random,30,64,0.9672999978065492,0.1313771456480026,0.9320999979972839
random,30,128,0.9769999980926514,0.0917021706700325,0.9776999950408936
random,50,32,0.9699000120162964,0.1328213512897491,0.970300018787384
random,50,64,0.9763000011444092,0.1069888770580291,0.9764000177383423
random,50,128,0.9706000089645386,0.1442030221223831,0.9621999859809875
random,70,32,0.9617000222206116,0.1784216314554214,0.9653000235557556
random,70,64,0.9617000222206116,0.1853282898664474,0.9643999934196472
random,70,128,0.9639999866485596,0.1839244663715362,0.9650999903678894
random,90,32,0.8027999997138977,1.0808167457580566,0.8125
random,90,64,0.7894999980926514,1.0945754051208496,0.800000011920929
random,90,128,0.7735000252723694,1.1021405458450315,0.7832000255584717
