epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,42,,,,2.6417877674102783
0,42,,3.2907636165618896,,
1,49,,,2.584141254425049,
1,85,,,,2.4835445880889893
1,85,,2.5368852615356445,,
2,99,,,2.4730775356292725,
2,128,,,,2.444993734359741
2,128,,2.4633469581604004,,
3,149,,,2.4244232177734375,
3,171,,,,2.386547565460205
3,171,,2.419874668121338,,
4,199,,,2.3356776237487793,
4,214,,,,2.19872784614563
4,214,,2.3401522636413574,,
5,249,,,2.1232147216796875,
5,257,,,,2.0457260608673096
5,257,,2.1708624362945557,,
6,299,,,1.994619369506836,
6,300,,,,1.915541410446167
6,300,,2.0314743518829346,,
7,343,,,,1.8058792352676392
7,343,,1.9295871257781982,,
8,349,,,1.862441062927246,
8,386,,,,1.7319146394729614
8,386,,1.8452924489974976,,
9,399,,,1.7764134407043457,
9,429,,,,1.6739376783370972
9,429,,1.7735683917999268,,
10,449,,,1.741961121559143,
10,472,,,,1.6261484622955322
10,472,,1.7181429862976074,,
11,499,,,1.6610925197601318,
11,515,,,,1.5793793201446533
11,515,,1.6686455011367798,,
12,549,,,1.6170375347137451,
12,558,,,,1.541968822479248
12,558,,1.6255285739898682,,
13,599,,,1.5715839862823486,
13,601,,,,1.5199640989303589
13,601,,1.5879312753677368,,
14,644,,,,1.4991930723190308
14,644,,1.5562338829040527,,
15,649,,,1.496714472770691,
15,687,,,,1.4707496166229248
15,687,,1.5248292684555054,,
16,699,,,1.5024006366729736,
16,730,,,,1.4505242109298706
16,730,,1.4958137273788452,,
17,749,,,1.4718393087387085,
17,773,,,,1.4328540563583374
17,773,,1.472214937210083,,
18,799,,,1.444861650466919,
18,816,,,,1.423874855041504
18,816,,1.4469082355499268,,
19,849,,,1.4168058633804321,
19,859,,,,1.412653923034668
19,859,,1.4252265691757202,,
20,899,,,1.4068894386291504,
20,902,,,,1.3946577310562134
20,902,,1.404279112815857,,
21,945,,,,1.3888273239135742
21,945,,1.3859050273895264,,
22,949,,,1.3496606349945068,
22,988,,,,1.3783921003341675
22,988,,1.3692584037780762,,
23,999,,,1.3807709217071533,
23,1031,,,,1.372930884361267
23,1031,,1.3508292436599731,,
24,1049,,,1.337388038635254,
24,1074,,,,1.3607594966888428
24,1074,,1.334391474723816,,
25,1099,,,1.2888102531433105,
25,1117,,,,1.3567255735397339
25,1117,,1.3205021619796753,,
26,1149,,,1.3242793083190918,
26,1160,,,,1.3607641458511353
26,1160,,1.3034864664077759,,
27,1199,,,1.3226211071014404,
27,1203,,,,1.3550835847854614
27,1203,,1.2889117002487183,,
28,1246,,,,1.3522518873214722
28,1246,,1.2748442888259888,,
29,1249,,,1.2463442087173462,
29,1289,,,,1.3545063734054565
29,1289,,1.2601078748703003,,
30,1299,,,1.2153208255767822,
30,1332,,,,1.3522332906723022
30,1332,,1.2467516660690308,,
31,1349,,,1.2398149967193604,
31,1375,,,,1.3526365756988525
31,1375,,1.230878472328186,,
32,1399,,,1.199183702468872,
32,1418,,,,1.3584206104278564
32,1418,,1.2197569608688354,,
33,1449,,,1.2053344249725342,
33,1461,,,,1.3547253608703613
33,1461,,1.2055782079696655,,
34,1499,,,1.1840516328811646,
34,1504,,,,1.3562921285629272
34,1504,,1.1914225816726685,,
35,1547,,,,1.3630520105361938
35,1547,,1.1787174940109253,,
36,1549,,,1.156482219696045,
36,1590,,,,1.3653478622436523
36,1590,,1.163426160812378,,
37,1599,,,1.1178843975067139,
37,1633,,,,1.3725944757461548
37,1633,,1.1496586799621582,,
38,1649,,,1.1038717031478882,
38,1676,,,,1.373433232307434
38,1676,,1.1361403465270996,,
39,1699,,,1.1101281642913818,
39,1719,,,,1.382950782775879
39,1719,,1.1245990991592407,,
40,1749,,,1.1150330305099487,
40,1762,,,,1.3851890563964844
40,1762,,1.1084657907485962,,
41,1799,,,1.124053716659546,
41,1805,,,,1.38749098777771
41,1805,,1.0951039791107178,,
42,1848,,,,1.403814673423767
42,1848,,1.0818777084350586,,
43,1849,,,1.0464993715286255,
43,1891,,,,1.406114935874939
43,1891,,1.0690535306930542,,
44,1899,,,1.0478609800338745,
44,1934,,,,1.4165029525756836
44,1934,,1.0541415214538574,,
45,1949,,,1.0236690044403076,
45,1977,,,,1.423114538192749
45,1977,,1.0386335849761963,,
46,1978,1.423114538192749,,,
