epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,30,,,,2.6093862056732178
0,30,,3.1094613075256348,,
1,49,,,2.5344138145446777,
1,61,,,,2.504153251647949
1,61,,2.5296502113342285,,
2,92,,,,2.460613965988159
2,92,,2.4705302715301514,,
3,99,,,2.44224214553833,
3,123,,,,2.4358725547790527
3,123,,2.439450263977051,,
4,149,,,2.395963430404663,
4,154,,,,2.3951828479766846
4,154,,2.4069323539733887,,
5,185,,,,2.2725985050201416
5,185,,2.3512489795684814,,
6,199,,,2.226943016052246,
6,216,,,,2.105360984802246
6,216,,2.218255043029785,,
7,247,,,,2.0169050693511963
7,247,,2.097546339035034,,
8,249,,,2.0572450160980225,
8,278,,,,1.9344336986541748
8,278,,2.012345314025879,,
9,299,,,1.9530924558639526,
9,309,,,,1.8557765483856201
9,309,,1.943845510482788,,
10,340,,,,1.7997467517852783
10,340,,1.880208134651184,,
11,349,,,1.8344895839691162,
11,371,,,,1.7520201206207275
11,371,,1.8262994289398193,,
12,399,,,1.7754875421524048,
12,402,,,,1.7138340473175049
12,402,,1.7809988260269165,,
13,433,,,,1.6762986183166504
13,433,,1.7446911334991455,,
14,449,,,1.7088923454284668,
14,464,,,,1.6408741474151611
14,464,,1.702519178390503,,
15,495,,,,1.611989974975586
15,495,,1.6735047101974487,,
16,499,,,1.631090760231018,
16,526,,,,1.581969141960144
16,526,,1.64254629611969,,
17,549,,,1.5965774059295654,
17,557,,,,1.57197904586792
17,557,,1.610243320465088,,
18,588,,,,1.5488014221191406
18,588,,1.5855406522750854,,
19,599,,,1.5640358924865723,
19,619,,,,1.5259177684783936
19,619,,1.5608696937561035,,
20,649,,,1.533281683921814,
20,650,,,,1.521842122077942
20,650,,1.5383925437927246,,
21,681,,,,1.504565715789795
21,681,,1.5170847177505493,,
22,699,,,1.5236525535583496,
22,712,,,,1.494768738746643
22,712,,1.4960047006607056,,
23,743,,,,1.4773316383361816
23,743,,1.4745326042175293,,
24,749,,,1.4338812828063965,
24,774,,,,1.4732171297073364
24,774,,1.4560121297836304,,
25,799,,,1.4240081310272217,
25,805,,,,1.4581270217895508
25,805,,1.4397603273391724,,
26,836,,,,1.4470628499984741
26,836,,1.4192668199539185,,
27,849,,,1.4077292680740356,
27,867,,,,1.443264126777649
27,867,,1.4013950824737549,,
28,898,,,,1.4322248697280884
28,898,,1.384044885635376,,
29,899,,,1.3574059009552002,
29,929,,,,1.4375687837600708
29,929,,1.3692433834075928,,
30,949,,,1.359486699104309,
30,960,,,,1.4285244941711426
30,960,,1.3522597551345825,,
31,991,,,,1.4189528226852417
31,991,,1.3398023843765259,,
32,999,,,1.3170111179351807,
32,1022,,,,1.4225701093673706
32,1022,,1.3209201097488403,,
33,1049,,,1.3107786178588867,
33,1053,,,,1.4245057106018066
33,1053,,1.3058608770370483,,
34,1084,,,,1.4227186441421509
34,1084,,1.2923641204833984,,
35,1099,,,1.2739276885986328,
35,1115,,,,1.4226664304733276
35,1115,,1.2766335010528564,,
36,1146,,,,1.4228450059890747
36,1146,,1.260665774345398,,
37,1149,,,1.2303811311721802,
37,1177,,,,1.4270005226135254
37,1177,,1.2471182346343994,,
38,1199,,,1.244637131690979,
38,1208,,,,1.4299802780151367
38,1208,,1.2294764518737793,,
39,1239,,,,1.4340400695800781
39,1239,,1.2168375253677368,,
40,1249,,,1.2004426717758179,
40,1270,,,,1.4478962421417236
40,1270,,1.2039324045181274,,
41,1299,,,1.2109715938568115,
41,1301,,,,1.444750189781189
41,1301,,1.1864252090454102,,
42,1332,,,,1.4513355493545532
42,1332,,1.1725045442581177,,
43,1349,,,1.179574728012085,
43,1363,,,,1.4590539932250977
43,1363,,1.1534026861190796,,
44,1394,,,,1.466004729270935
44,1394,,1.1415138244628906,,
45,1399,,,1.1138193607330322,
45,1425,,,,1.4721243381500244
45,1425,,1.1246846914291382,,
46,1449,,,1.1350510120391846,
46,1456,,,,1.484054684638977
46,1456,,1.107729196548462,,
47,1457,1.484054684638977,,,
