epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,30,,,,2.727684736251831
0,30,,3.4149560928344727,,
1,49,,,2.57289981842041,
1,61,,,,2.509061813354492
1,61,,2.6021828651428223,,
2,92,,,,2.4668848514556885
2,92,,2.498304843902588,,
3,99,,,2.463099241256714,
3,123,,,,2.4374489784240723
3,123,,2.455721139907837,,
4,149,,,2.4006190299987793,
4,154,,,,2.391322612762451
4,154,,2.4138779640197754,,
5,185,,,,2.2561752796173096
5,185,,2.345092535018921,,
6,199,,,2.234065532684326,
6,216,,,,2.109400510787964
6,216,,2.225818157196045,,
7,247,,,,1.9972370862960815
7,247,,2.092902183532715,,
8,249,,,1.97214674949646,
8,278,,,,1.9086681604385376
8,278,,1.9922956228256226,,
9,299,,,1.8880904912948608,
9,309,,,,1.839495062828064
9,309,,1.9090639352798462,,
10,340,,,,1.776610255241394
10,340,,1.8403699398040771,,
11,349,,,1.787222146987915,
11,371,,,,1.7205719947814941
11,371,,1.782451868057251,,
12,399,,,1.7332966327667236,
12,402,,,,1.6831912994384766
12,402,,1.7354342937469482,,
13,433,,,,1.6596211194992065
13,433,,1.6940693855285645,,
14,449,,,1.6508785486221313,
14,464,,,,1.6335347890853882
14,464,,1.6568056344985962,,
15,495,,,,1.6098976135253906
15,495,,1.6249120235443115,,
16,499,,,1.6080811023712158,
16,526,,,,1.5833489894866943
16,526,,1.5933271646499634,,
17,549,,,1.561225175857544,
17,557,,,,1.5696924924850464
17,557,,1.5694652795791626,,
18,588,,,,1.5491942167282104
18,588,,1.5420541763305664,,
19,599,,,1.5546424388885498,
19,619,,,,1.528857707977295
19,619,,1.5214293003082275,,
20,649,,,1.4792184829711914,
20,650,,,,1.5184051990509033
20,650,,1.4932878017425537,,
21,681,,,,1.5041093826293945
21,681,,1.4730801582336426,,
22,699,,,1.4511644840240479,
22,712,,,,1.4980571269989014
22,712,,1.4520978927612305,,
23,743,,,,1.4848662614822388
23,743,,1.4306913614273071,,
24,749,,,1.394867181777954,
24,774,,,,1.4731072187423706
24,774,,1.412908911705017,,
25,799,,,1.396202802658081,
25,805,,,,1.4632093906402588
25,805,,1.3944172859191895,,
26,836,,,,1.458492636680603
26,836,,1.3765019178390503,,
27,849,,,1.3694137334823608,
27,867,,,,1.4530733823776245
27,867,,1.359207034111023,,
28,898,,,,1.4430009126663208
28,898,,1.3395484685897827,,
29,899,,,1.3133049011230469,
29,929,,,,1.442394495010376
29,929,,1.3226375579833984,,
30,949,,,1.3170959949493408,
30,960,,,,1.4446210861206055
30,960,,1.3084745407104492,,
31,991,,,,1.4418647289276123
31,991,,1.2890576124191284,,
32,999,,,1.2585926055908203,
32,1022,,,,1.4399908781051636
32,1022,,1.2735241651535034,,
33,1049,,,1.2862976789474487,
33,1053,,,,1.432019829750061
33,1053,,1.2589867115020752,,
34,1084,,,,1.4380983114242554
34,1084,,1.2404409646987915,,
35,1099,,,1.2371230125427246,
35,1115,,,,1.439847469329834
35,1115,,1.2264955043792725,,
36,1146,,,,1.4486898183822632
36,1146,,1.2091660499572754,,
37,1149,,,1.165205955505371,
37,1177,,,,1.443921446800232
37,1177,,1.194528341293335,,
38,1199,,,1.2069237232208252,
38,1208,,,,1.4502161741256714
38,1208,,1.177870750427246,,
39,1239,,,,1.4524155855178833
39,1239,,1.1622508764266968,,
40,1249,,,1.1256078481674194,
40,1270,,,,1.4583637714385986
40,1270,,1.1445552110671997,,
41,1299,,,1.153588891029358,
41,1301,,,,1.4576317071914673
41,1301,,1.1299511194229126,,
42,1332,,,,1.4709348678588867
42,1332,,1.113254189491272,,
43,1349,,,1.1053071022033691,
43,1363,,,,1.4845221042633057
43,1363,,1.0963090658187866,,
44,1394,,,,1.480351209640503
44,1394,,1.080087661743164,,
45,1399,,,1.0343639850616455,
45,1425,,,,1.5008467435836792
45,1425,,1.0643925666809082,,
46,1449,,,1.0650062561035156,
46,1456,,,,1.5042675733566284
46,1456,,1.0475027561187744,,
47,1487,,,,1.521653413772583
47,1487,,1.0316293239593506,,
48,1499,,,1.011472225189209,
48,1518,,,,1.5306483507156372
48,1518,,1.0163341760635376,,
49,1519,1.5306483507156372,,,
