epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,6,,,,3.3569509983062744
0,6,,3.745352268218994,,
1,13,,,,3.1997194290161133
1,13,,3.4127609729766846,,
2,20,,,,2.974395513534546
2,20,,3.553839921951294,,
3,27,,,,2.833697557449341
3,27,,2.948265552520752,,
4,34,,,,2.739473819732666
4,34,,2.822324275970459,,
5,41,,,,2.6827034950256348
5,41,,2.7370808124542236,,
6,48,,,,2.635138511657715
6,48,,2.6759650707244873,,
7,49,,,2.6521096229553223,
7,55,,,,2.609290838241577
7,55,,2.629894971847534,,
8,62,,,,2.5867059230804443
8,62,,2.5990235805511475,,
9,69,,,,2.575399160385132
9,69,,2.574551820755005,,
10,76,,,,2.5657413005828857
10,76,,2.5545852184295654,,
11,83,,,,2.5504636764526367
11,83,,2.539654493331909,,
12,90,,,,2.541609048843384
12,90,,2.5225841999053955,,
13,97,,,,2.5313849449157715
13,97,,2.509739875793457,,
14,99,,,2.4811277389526367,
14,104,,,,2.532776117324829
14,104,,2.497485399246216,,
15,111,,,,2.5181193351745605
15,111,,2.4878597259521484,,
16,118,,,,2.5318336486816406
16,118,,2.4731173515319824,,
17,125,,,,2.5099551677703857
17,125,,2.4663727283477783,,
18,132,,,,2.506498336791992
18,132,,2.448415517807007,,
19,139,,,,2.495811700820923
19,139,,2.436847448348999,,
20,146,,,,2.4852755069732666
20,146,,2.4196808338165283,,
21,149,,,2.399453639984131,
21,153,,,,2.4817795753479004
21,153,,2.4044220447540283,,
22,160,,,,2.494746208190918
22,160,,2.3921313285827637,,
23,167,,,,2.4828238487243652
23,167,,2.385317325592041,,
24,174,,,,2.4925777912139893
24,174,,2.368960380554199,,
25,181,,,,2.4549922943115234
25,181,,2.3595335483551025,,
26,188,,,,2.4559993743896484
26,188,,2.3433187007904053,,
27,195,,,,2.45621919631958
27,195,,2.3285272121429443,,
28,199,,,2.319528579711914,
28,202,,,,2.4558730125427246
28,202,,2.31320858001709,,
29,209,,,,2.438070058822632
29,209,,2.2969353199005127,,
30,216,,,,2.439565420150757
30,216,,2.2850494384765625,,
31,223,,,,2.408846616744995
31,223,,2.271235704421997,,
32,230,,,,2.391289472579956
32,230,,2.2500784397125244,,
33,237,,,,2.398374319076538
33,237,,2.2299182415008545,,
34,244,,,,2.3905415534973145
34,244,,2.2125823497772217,,
35,249,,,2.198971748352051,
35,251,,,,2.375985622406006
35,251,,2.190713405609131,,
36,258,,,,2.3450467586517334
36,258,,2.178453207015991,,
37,265,,,,2.340860605239868
37,265,,2.1552176475524902,,
38,272,,,,2.306438446044922
38,272,,2.1276683807373047,,
39,279,,,,2.2945144176483154
39,279,,2.1092681884765625,,
40,286,,,,2.260791301727295
40,286,,2.085075616836548,,
41,293,,,,2.2628262042999268
41,293,,2.0667104721069336,,
42,299,,,2.046687364578247,
42,300,,,,2.2619168758392334
42,300,,2.043398141860962,,
43,307,,,,2.23520565032959
43,307,,2.031644582748413,,
44,314,,,,2.216682195663452
44,314,,2.0079116821289062,,
45,321,,,,2.206773281097412
45,321,,1.9880291223526,,
46,328,,,,2.199432849884033
46,328,,1.9658045768737793,,
47,335,,,,2.1979780197143555
47,335,,1.9506163597106934,,
48,342,,,,2.1872036457061768
48,342,,1.931500792503357,,
49,349,,,1.876180648803711,
49,349,,,,2.1763434410095215
49,349,,1.9146016836166382,,
50,356,,,,2.17293119430542
50,356,,1.8944779634475708,,
51,363,,,,2.160060167312622
51,363,,1.8793708086013794,,
52,370,,,,2.1589345932006836
52,370,,1.8615696430206299,,
53,377,,,,2.165477752685547
53,377,,1.8418668508529663,,
54,384,,,,2.1579911708831787
54,384,,1.8271102905273438,,
55,391,,,,2.1672251224517822
55,391,,1.8150343894958496,,
56,398,,,,2.1698837280273438
56,398,,1.7989906072616577,,
57,399,,,1.7789115905761719,
57,405,,,,2.1509478092193604
57,405,,1.78225839138031,,
58,412,,,,2.139320135116577
58,412,,1.7736338376998901,,
59,419,,,,2.1606929302215576
59,419,,1.7622383832931519,,
60,426,,,,2.154263496398926
60,426,,1.7463289499282837,,
61,433,,,,2.156728506088257
61,433,,1.7302454710006714,,
62,440,,,,2.1744091510772705
62,440,,1.7133982181549072,,
63,447,,,,2.161621332168579
63,447,,1.701725721359253,,
64,449,,,1.7031490802764893,
64,454,,,,2.174741744995117
64,454,,1.6926870346069336,,
65,461,,,,2.1631648540496826
65,461,,1.6816952228546143,,
66,468,,,,2.177574872970581
66,468,,1.6670901775360107,,
67,475,,,,2.1666340827941895
67,475,,1.6556795835494995,,
68,482,,,,2.174622058868408
68,482,,1.640098214149475,,
69,489,,,,2.1826040744781494
69,489,,1.6290631294250488,,
70,496,,,,2.16859769821167
70,496,,1.6205034255981445,,
71,499,,,1.5897090435028076,
71,503,,,,2.1815056800842285
71,503,,1.6057567596435547,,
72,510,,,,2.185812473297119
72,510,,1.5973957777023315,,
73,517,,,,2.181532621383667
73,517,,1.584671974182129,,
74,518,2.181532621383667,,,
