epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.549863576889038,
0,54,,,,2.5382943153381348
0,54,,3.0708868503570557,,
1,99,,,2.4835948944091797,
1,109,,,,2.448018789291382
1,109,,2.4985482692718506,,
2,149,,,2.4237098693847656,
2,164,,,,2.3696305751800537
2,164,,2.433516502380371,,
3,199,,,2.2946712970733643,
3,219,,,,2.138505220413208
3,219,,2.3218135833740234,,
4,249,,,2.099623203277588,
4,274,,,,1.9656559228897095
4,274,,2.10825514793396,,
5,299,,,1.9415607452392578,
5,329,,,,1.8203636407852173
5,329,,1.9589416980743408,,
6,349,,,1.876218557357788,
6,384,,,,1.7180095911026
6,384,,1.843912124633789,,
7,399,,,1.7727227210998535,
7,439,,,,1.6418501138687134
7,439,,1.7565727233886719,,
8,449,,,1.687543511390686,
8,494,,,,1.5814411640167236
8,494,,1.6825937032699585,,
9,499,,,1.63134765625,
9,549,,,1.6203254461288452,
9,549,,,,1.5412447452545166
9,549,,1.624588966369629,,
10,599,,,1.5389467477798462,
10,604,,,,1.4980311393737793
10,604,,1.576426386833191,,
11,649,,,1.5044474601745605,
11,659,,,,1.4683295488357544
11,659,,1.5331321954727173,,
12,699,,,1.4719979763031006,
12,714,,,,1.4500668048858643
12,714,,1.4950660467147827,,
13,749,,,1.4980577230453491,
13,769,,,,1.4242801666259766
13,769,,1.465787410736084,,
14,799,,,1.4157383441925049,
14,824,,,,1.4021233320236206
14,824,,1.4376420974731445,,
15,849,,,1.4108747243881226,
15,879,,,,1.3851702213287354
15,879,,1.4126849174499512,,
16,899,,,1.4139258861541748,
16,934,,,,1.373694896697998
16,934,,1.3895758390426636,,
17,949,,,1.388857126235962,
17,989,,,,1.3647061586380005
17,989,,1.369132161140442,,
18,999,,,1.3267438411712646,
18,1044,,,,1.347891926765442
18,1044,,1.3485934734344482,,
19,1049,,,1.3122221231460571,
19,1099,,,1.3376848697662354,
19,1099,,,,1.3436435461044312
19,1099,,1.3309508562088013,,
20,1149,,,1.2848474979400635,
20,1154,,,,1.334389090538025
20,1154,,1.3158116340637207,,
21,1199,,,1.3175086975097656,
21,1209,,,,1.3272656202316284
21,1209,,1.2988423109054565,,
22,1249,,,1.2898337841033936,
22,1264,,,,1.3264338970184326
22,1264,,1.2835578918457031,,
23,1299,,,1.2840797901153564,
23,1319,,,,1.3188375234603882
23,1319,,1.269732117652893,,
24,1349,,,1.2433645725250244,
24,1374,,,,1.3193027973175049
24,1374,,1.2558890581130981,,
25,1399,,,1.2492893934249878,
25,1429,,,,1.3119065761566162
25,1429,,1.2411686182022095,,
26,1449,,,1.2065582275390625,
26,1484,,,,1.30500066280365
26,1484,,1.228198766708374,,
27,1499,,,1.2178077697753906,
27,1539,,,,1.3068870306015015
27,1539,,1.2144540548324585,,
28,1549,,,1.2272330522537231,
28,1594,,,,1.3073315620422363
28,1594,,1.2020902633666992,,
29,1599,,,1.1560559272766113,
29,1649,,,1.1806492805480957,
29,1649,,,,1.309998631477356
29,1649,,1.1889597177505493,,
30,1699,,,1.2097046375274658,
30,1704,,,,1.3077977895736694
30,1704,,1.1770780086517334,,
31,1749,,,1.1323018074035645,
31,1759,,,,1.307860016822815
31,1759,,1.1636008024215698,,
32,1799,,,1.15879225730896,
32,1814,,,,1.3164057731628418
32,1814,,1.1527858972549438,,
33,1849,,,1.1566598415374756,
33,1869,,,,1.3157908916473389
33,1869,,1.138429880142212,,
34,1899,,,1.1508623361587524,
34,1924,,,,1.3185451030731201
34,1924,,1.1274802684783936,,
35,1949,,,1.1437642574310303,
35,1979,,,,1.3228859901428223
35,1979,,1.1143393516540527,,
36,1999,,,1.1165626049041748,
36,2034,,,,1.3254237174987793
36,2034,,1.1015123128890991,,
37,2049,,,1.0984737873077393,
37,2089,,,,1.3273667097091675
37,2089,,1.0881636142730713,,
38,2099,,,1.0752418041229248,
38,2144,,,,1.3385545015335083
38,2144,,1.076178789138794,,
39,2149,,,1.0463284254074097,
39,2199,,,1.1017972230911255,
39,2199,,,,1.3487577438354492
39,2199,,1.0653553009033203,,
40,2249,,,1.073016881942749,
40,2254,,,,1.344314694404602
40,2254,,1.0507872104644775,,
41,2299,,,1.0501618385314941,
41,2309,,,,1.350280523300171
41,2309,,1.0399456024169922,,
42,2310,1.350280523300171,,,
