epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,30,,,,2.7725300788879395
0,30,,3.438528537750244,,
1,49,,,2.5602917671203613,
1,61,,,,2.527669668197632
1,61,,2.6056482791900635,,
2,92,,,,2.468491315841675
2,92,,2.497159004211426,,
3,99,,,2.4595561027526855,
3,123,,,,2.433068037033081
3,123,,2.459061622619629,,
4,149,,,2.424562454223633,
4,154,,,,2.3957695960998535
4,154,,2.42183518409729,,
5,185,,,,2.302783250808716
5,185,,2.3756775856018066,,
6,199,,,2.289888381958008,
6,216,,,,2.171504259109497
6,216,,2.296530246734619,,
7,247,,,,2.0542502403259277
7,247,,2.1652212142944336,,
8,249,,,2.1061301231384277,
8,278,,,,1.977144479751587
8,278,,2.0533924102783203,,
9,299,,,1.9284095764160156,
9,309,,,,1.8775949478149414
9,309,,1.9716562032699585,,
10,340,,,,1.8278294801712036
10,340,,1.9032071828842163,,
11,349,,,1.8380138874053955,
11,371,,,,1.7609566450119019
11,371,,1.839797854423523,,
12,399,,,1.7889747619628906,
12,402,,,,1.719251275062561
12,402,,1.7847391366958618,,
13,433,,,,1.6831690073013306
13,433,,1.738442301750183,,
14,449,,,1.6871867179870605,
14,464,,,,1.6457414627075195
14,464,,1.6967127323150635,,
15,495,,,,1.616295337677002
15,495,,1.655666470527649,,
16,499,,,1.6306058168411255,
16,526,,,,1.589111328125
16,526,,1.6242778301239014,,
17,549,,,1.5920164585113525,
17,557,,,,1.5618913173675537
17,557,,1.5942034721374512,,
18,588,,,,1.553214192390442
18,588,,1.5648837089538574,,
19,599,,,1.55879807472229,
19,619,,,,1.5351635217666626
19,619,,1.5363343954086304,,
20,649,,,1.5254604816436768,
20,650,,,,1.5155409574508667
20,650,,1.5137301683425903,,
21,681,,,,1.5031425952911377
21,681,,1.493207573890686,,
22,699,,,1.4477801322937012,
22,712,,,,1.4965580701828003
22,712,,1.469363808631897,,
23,743,,,,1.4828572273254395
23,743,,1.4479519128799438,,
24,749,,,1.4433751106262207,
24,774,,,,1.4754797220230103
24,774,,1.4276751279830933,,
25,799,,,1.4360411167144775,
25,805,,,,1.4634568691253662
25,805,,1.4109677076339722,,
26,836,,,,1.4569556713104248
26,836,,1.389696717262268,,
27,849,,,1.3627471923828125,
27,867,,,,1.4508534669876099
27,867,,1.3730965852737427,,
28,898,,,,1.4374313354492188
28,898,,1.3570760488510132,,
29,899,,,1.3285770416259766,
29,929,,,,1.4390807151794434
29,929,,1.3399120569229126,,
30,949,,,1.3334587812423706,
30,960,,,,1.428546667098999
30,960,,1.3232287168502808,,
31,991,,,,1.4351286888122559
31,991,,1.3079127073287964,,
32,999,,,1.275435209274292,
32,1022,,,,1.431396484375
32,1022,,1.2912452220916748,,
33,1049,,,1.2889235019683838,
33,1053,,,,1.4358338117599487
33,1053,,1.2753337621688843,,
34,1084,,,,1.4297852516174316
34,1084,,1.2631562948226929,,
35,1099,,,1.263552188873291,
35,1115,,,,1.4330754280090332
35,1115,,1.2453311681747437,,
36,1146,,,,1.429184913635254
36,1146,,1.228056788444519,,
37,1149,,,1.1916970014572144,
37,1177,,,,1.4336439371109009
37,1177,,1.2149502038955688,,
38,1199,,,1.2113678455352783,
38,1208,,,,1.4412288665771484
38,1208,,1.2026619911193848,,
39,1239,,,,1.443213701248169
39,1239,,1.1837074756622314,,
40,1249,,,1.1691697835922241,
40,1270,,,,1.449284553527832
40,1270,,1.1683939695358276,,
41,1299,,,1.1754980087280273,
41,1301,,,,1.454603910446167
41,1301,,1.1540340185165405,,
42,1332,,,,1.4564999341964722
42,1332,,1.1411834955215454,,
43,1349,,,1.154771089553833,
43,1363,,,,1.4609794616699219
43,1363,,1.1237006187438965,,
44,1394,,,,1.4685895442962646
44,1394,,1.1097441911697388,,
45,1399,,,1.0826752185821533,
45,1425,,,,1.4788318872451782
45,1425,,1.0928176641464233,,
46,1426,1.4788318872451782,,,
