method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
heuristic_filtering,0,32,,1.2886179685592651,
heuristic_filtering,0,64,,1.294292449951172,
heuristic_filtering,0,128,,1.2903335094451904,
heuristic_filtering,10,32,,1.304032325744629,
heuristic_filtering,10,64,,1.30500066280365,
heuristic_filtering,10,128,,1.306837797164917,
heuristic_filtering,20,32,,1.327796220779419,
heuristic_filtering,20,64,,1.325969099998474,
heuristic_filtering,20,128,,1.3262969255447388,
heuristic_filtering,30,32,,1.3534148931503296,
heuristic_filtering,30,64,,1.351212978363037,
heuristic_filtering,30,128,,1.349559307098389,
heuristic_filtering,50,32,,1.428546667098999,
heuristic_filtering,50,64,,1.4259097576141355,
heuristic_filtering,50,128,,1.423832893371582,
heuristic_filtering,70,32,,1.574264407157898,
heuristic_filtering,70,64,,1.5805858373641968,
heuristic_filtering,70,128,,1.574875831604004,
heuristic_filtering,90,32,,2.2248101234436035,
heuristic_filtering,90,64,,2.237396478652954,
heuristic_filtering,90,128,,2.253486394882202,
