epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,48,,,,2.5742108821868896
0,48,,3.11873197555542,,
1,49,,,2.561166286468506,
1,97,,,,2.4730446338653564
1,97,,2.5167174339294434,,
2,99,,,2.4645395278930664,
2,146,,,,2.4056313037872314
2,146,,2.4493775367736816,,
3,149,,,2.3922019004821777,
3,195,,,,2.2525346279144287
3,195,,2.3833539485931396,,
4,199,,,2.322091579437256,
4,244,,,,2.041903257369995
4,244,,2.216768741607666,,
5,249,,,2.0846846103668213,
5,293,,,,1.8925836086273193
5,293,,2.041968584060669,,
6,299,,,1.9430732727050781,
6,342,,,,1.7769196033477783
6,342,,1.9172381162643433,,
7,349,,,1.8273991346359253,
7,391,,,,1.6982628107070923
7,391,,1.822344183921814,,
8,399,,,1.7638384103775024,
8,440,,,,1.6379427909851074
8,440,,1.7477014064788818,,
9,449,,,1.7004051208496094,
9,489,,,,1.5891942977905273
9,489,,1.687724232673645,,
10,499,,,1.662714958190918,
10,538,,,,1.5449419021606445
10,538,,1.6400244235992432,,
11,549,,,1.5771715641021729,
11,587,,,,1.5149089097976685
11,587,,1.5972726345062256,,
12,599,,,1.6086640357971191,
12,636,,,,1.4889156818389893
12,636,,1.5606530904769897,,
13,649,,,1.5070664882659912,
13,685,,,,1.4659770727157593
13,685,,1.5275291204452515,,
14,699,,,1.4817416667938232,
14,734,,,,1.4448729753494263
14,734,,1.49894380569458,,
15,749,,,1.4435659646987915,
15,783,,,,1.424484372138977
15,783,,1.4719809293746948,,
16,799,,,1.481745958328247,
16,832,,,,1.4078959226608276
16,832,,1.4469345808029175,,
17,849,,,1.4559719562530518,
17,881,,,,1.3963879346847534
17,881,,1.4261654615402222,,
18,899,,,1.4262547492980957,
18,930,,,,1.3807011842727661
18,930,,1.4047538042068481,,
19,949,,,1.4004675149917603,
19,979,,,,1.3777958154678345
19,979,,1.3855267763137817,,
20,999,,,1.363004446029663,
20,1028,,,,1.3652375936508179
20,1028,,1.3665151596069336,,
21,1049,,,1.331973910331726,
21,1077,,,,1.3595290184020996
21,1077,,1.3506453037261963,,
22,1099,,,1.2953853607177734,
22,1126,,,,1.3522127866744995
22,1126,,1.333283543586731,,
23,1149,,,1.3044931888580322,
23,1175,,,,1.3486946821212769
23,1175,,1.3172482252120972,,
24,1199,,,1.2943859100341797,
24,1224,,,,1.3349437713623047
24,1224,,1.3016395568847656,,
25,1249,,,1.2778865098953247,
25,1273,,,,1.3389545679092407
25,1273,,1.2873581647872925,,
26,1299,,,1.276010513305664,
26,1322,,,,1.3359583616256714
26,1322,,1.2732117176055908,,
27,1349,,,1.2943382263183594,
27,1371,,,,1.3315038681030273
27,1371,,1.258493423461914,,
28,1399,,,1.2564512491226196,
28,1420,,,,1.3304657936096191
28,1420,,1.2446879148483276,,
29,1449,,,1.2447373867034912,
29,1469,,,,1.3314909934997559
29,1469,,1.2309362888336182,,
30,1499,,,1.1950690746307373,
30,1518,,,,1.3284146785736084
30,1518,,1.2161037921905518,,
31,1549,,,1.2523186206817627,
31,1567,,,,1.326467514038086
31,1567,,1.2015531063079834,,
32,1599,,,1.200711965560913,
32,1616,,,,1.3321213722229004
32,1616,,1.188969373703003,,
33,1649,,,1.2002837657928467,
33,1665,,,,1.3315764665603638
33,1665,,1.1752978563308716,,
34,1699,,,1.1844865083694458,
34,1714,,,,1.3358997106552124
34,1714,,1.162216305732727,,
35,1749,,,1.1490991115570068,
35,1763,,,,1.3394510746002197
35,1763,,1.147384524345398,,
36,1799,,,1.1571546792984009,
36,1812,,,,1.3455294370651245
36,1812,,1.1360812187194824,,
37,1849,,,1.1263870000839233,
37,1861,,,,1.3437525033950806
37,1861,,1.121495008468628,,
38,1899,,,1.1189303398132324,
38,1910,,,,1.3492531776428223
38,1910,,1.1085829734802246,,
39,1949,,,1.0901670455932617,
39,1959,,,,1.355609655380249
39,1959,,1.095088005065918,,
40,1999,,,1.086270809173584,
40,2008,,,,1.3625380992889404
40,2008,,1.0799230337142944,,
41,2049,,,1.0840129852294922,
41,2057,,,,1.3740792274475098
41,2057,,1.0666794776916504,,
42,2099,,,1.0616250038146973,
42,2106,,,,1.3776144981384277
42,2106,,1.0543960332870483,,
43,2149,,,1.0753899812698364,
43,2155,,,,1.3859692811965942
43,2155,,1.0401859283447266,,
44,2199,,,1.0398881435394287,
44,2204,,,,1.3948091268539429
44,2204,,1.0274715423583984,,
45,2249,,,1.0404033660888672,
45,2253,,,,1.4003071784973145
45,2253,,1.0135440826416016,,
46,2299,,,1.0430265665054321,
46,2302,,,,1.4061726331710815
46,2302,,1.0002673864364624,,
47,2303,1.4061726331710815,,,
