epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,18,,,,3.221102714538574
0,18,,3.655898332595825,,
1,37,,,,2.646440029144287
1,37,,2.8790690898895264,,
2,49,,,2.566446542739868,
2,56,,,,2.5414299964904785
2,56,,2.5885798931121826,,
3,75,,,,2.501882314682007
3,75,,2.5245718955993652,,
4,94,,,,2.5042006969451904
4,94,,2.4937589168548584,,
5,99,,,2.4740471839904785,
5,113,,,,2.465527296066284
5,113,,2.4760570526123047,,
6,132,,,,2.4495656490325928
6,132,,2.4592628479003906,,
7,149,,,2.4410743713378906,
7,151,,,,2.437964677810669
7,151,,2.4395055770874023,,
8,170,,,,2.413571357727051
8,170,,2.4145452976226807,,
9,189,,,,2.366086959838867
9,189,,2.3890364170074463,,
10,199,,,2.3446409702301025,
10,208,,,,2.2687783241271973
10,208,,2.3385419845581055,,
11,227,,,,2.1584835052490234
11,227,,2.2596542835235596,,
12,246,,,,2.0840835571289062
12,246,,2.173161745071411,,
13,249,,,2.1291160583496094,
13,265,,,,2.042646884918213
13,265,,2.1125974655151367,,
14,284,,,,1.9962491989135742
14,284,,2.0584511756896973,,
15,299,,,1.9976106882095337,
15,303,,,,1.9465198516845703
15,303,,2.009092330932617,,
16,322,,,,1.8972193002700806
16,322,,1.9607917070388794,,
17,341,,,,1.8611173629760742
17,341,,1.9204667806625366,,
18,349,,,1.8986718654632568,
18,360,,,,1.8249205350875854
18,360,,1.8867390155792236,,
19,379,,,,1.7875406742095947
19,379,,1.8471089601516724,,
20,398,,,,1.765184760093689
20,398,,1.8144441843032837,,
21,399,,,1.7351994514465332,
21,417,,,,1.7462321519851685
21,417,,1.7836605310440063,,
22,436,,,,1.7238190174102783
22,436,,1.7575656175613403,,
23,449,,,1.6815404891967773,
23,455,,,,1.7027192115783691
23,455,,1.7317748069763184,,
24,474,,,,1.692720651626587
24,474,,1.7053289413452148,,
25,493,,,,1.674006700515747
25,493,,1.68406081199646,,
26,499,,,1.6791335344314575,
26,512,,,,1.6650248765945435
26,512,,1.6676267385482788,,
27,531,,,,1.6476589441299438
27,531,,1.6436388492584229,,
28,549,,,1.6319055557250977,
28,550,,,,1.6429513692855835
28,550,,1.6240954399108887,,
29,569,,,,1.6305981874465942
29,569,,1.6019524335861206,,
30,588,,,,1.6347757577896118
30,588,,1.5871832370758057,,
31,599,,,1.6024982929229736,
31,607,,,,1.6238858699798584
31,607,,1.5718457698822021,,
32,626,,,,1.6158030033111572
32,626,,1.5508983135223389,,
33,645,,,,1.6087456941604614
33,645,,1.5323257446289062,,
34,649,,,1.4696109294891357,
34,664,,,,1.6057251691818237
34,664,,1.5168509483337402,,
35,683,,,,1.5987434387207031
35,683,,1.5024447441101074,,
36,699,,,1.500002145767212,
36,702,,,,1.5975693464279175
36,702,,1.4850785732269287,,
37,721,,,,1.5919734239578247
37,721,,1.4663047790527344,,
38,740,,,,1.6009691953659058
38,740,,1.4516143798828125,,
39,749,,,1.4463725090026855,
39,759,,,,1.5947256088256836
39,759,,1.4338202476501465,,
40,778,,,,1.5925997495651245
40,778,,1.4191572666168213,,
41,797,,,,1.6018606424331665
41,797,,1.4014623165130615,,
42,799,,,1.4064425230026245,
42,816,,,,1.595782995223999
42,816,,1.387255311012268,,
43,835,,,,1.602495789527893
43,835,,1.3694266080856323,,
44,849,,,1.3545801639556885,
44,854,,,,1.6022727489471436
44,854,,1.3544471263885498,,
45,873,,,,1.600009560585022
45,873,,1.3388887643814087,,
46,892,,,,1.623742699623108
46,892,,1.3231539726257324,,
47,899,,,1.2801194190979004,
47,911,,,,1.612051010131836
47,911,,1.3034003973007202,,
48,930,,,,1.6129108667373657
48,930,,1.289318561553955,,
49,949,,,1.284828543663025,
49,949,,,,1.621026635169983
49,949,,1.2727327346801758,,
50,968,,,,1.6283851861953735
50,968,,1.2554967403411865,,
51,987,,,,1.632932186126709
51,987,,1.2426801919937134,,
52,999,,,1.2292087078094482,
52,1006,,,,1.645216464996338
52,1006,,1.2222685813903809,,
53,1007,1.645216464996338,,,
