epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,6,,,,3.3813388347625732
0,6,,3.718722105026245,,
1,13,,,,3.3028340339660645
1,13,,4.213509559631348,,
2,20,,,,3.0610992908477783
2,20,,3.3066656589508057,,
3,27,,,,2.85524320602417
3,27,,3.0103228092193604,,
4,34,,,,2.7183170318603516
4,34,,2.8255627155303955,,
5,41,,,,2.665709972381592
5,41,,2.722672462463379,,
6,48,,,,2.629777669906616
6,48,,2.6637043952941895,,
7,49,,,2.6219186782836914,
7,55,,,,2.611433267593384
7,55,,2.6272473335266113,,
8,62,,,,2.5837631225585938
8,62,,2.5970118045806885,,
9,69,,,,2.575969934463501
9,69,,2.5739893913269043,,
10,76,,,,2.5617754459381104
10,76,,2.5544793605804443,,
11,83,,,,2.5566916465759277
11,83,,2.536773681640625,,
12,90,,,,2.5539908409118652
12,90,,2.5253148078918457,,
13,97,,,,2.5433220863342285
13,97,,2.512744903564453,,
14,99,,,2.5044827461242676,
14,104,,,,2.5524721145629883
14,104,,2.502039670944214,,
15,111,,,,2.540069341659546
15,111,,2.4956820011138916,,
16,118,,,,2.5308117866516113
16,118,,2.483567714691162,,
17,125,,,,2.5243759155273438
17,125,,2.4704482555389404,,
18,132,,,,2.528310537338257
18,132,,2.458514928817749,,
19,139,,,,2.527096748352051
19,139,,2.4589180946350098,,
20,146,,,,2.5370829105377197
20,146,,2.439239978790283,,
21,149,,,2.4185850620269775,
21,153,,,,2.515655994415283
21,153,,2.4295592308044434,,
22,160,,,,2.512249231338501
22,160,,2.421358346939087,,
23,167,,,,2.511154890060425
23,167,,2.415748119354248,,
24,174,,,,2.502558946609497
24,174,,2.4050159454345703,,
25,181,,,,2.5063693523406982
25,181,,2.3888916969299316,,
26,188,,,,2.494150161743164
26,188,,2.3849103450775146,,
27,195,,,,2.486457586288452
27,195,,2.376338481903076,,
28,199,,,2.3503329753875732,
28,202,,,,2.490539312362671
28,202,,2.360748052597046,,
29,209,,,,2.485154390335083
29,209,,2.3562796115875244,,
30,216,,,,2.4895317554473877
30,216,,2.343466281890869,,
31,223,,,,2.472789764404297
31,223,,2.337263345718384,,
32,230,,,,2.4768426418304443
32,230,,2.329132556915283,,
33,237,,,,2.460228204727173
33,237,,2.3133819103240967,,
34,244,,,,2.459327459335327
34,244,,2.305522918701172,,
35,249,,,2.3160767555236816,
35,251,,,,2.455239772796631
35,251,,2.294600248336792,,
36,258,,,,2.4747862815856934
36,258,,2.2789244651794434,,
37,265,,,,2.4448647499084473
37,265,,2.2732698917388916,,
38,272,,,,2.4478018283843994
38,272,,2.2581591606140137,,
39,279,,,,2.4425251483917236
39,279,,2.2492427825927734,,
40,286,,,,2.4211294651031494
40,286,,2.2459888458251953,,
41,293,,,,2.4209089279174805
41,293,,2.232055425643921,,
42,299,,,2.238262176513672,
42,300,,,,2.4080216884613037
42,300,,2.2174298763275146,,
43,307,,,,2.3898937702178955
43,307,,2.206038236618042,,
44,314,,,,2.4102747440338135
44,314,,2.2015798091888428,,
45,321,,,,2.398127794265747
45,321,,2.1891283988952637,,
46,328,,,,2.394446849822998
46,328,,2.175546407699585,,
47,335,,,,2.367690086364746
47,335,,2.1675381660461426,,
48,342,,,,2.3769121170043945
48,342,,2.152519941329956,,
49,349,,,2.055957794189453,
49,349,,,,2.361034870147705
49,349,,2.1422882080078125,,
50,356,,,,2.3435657024383545
50,356,,2.135611057281494,,
51,363,,,,2.356067180633545
51,363,,2.1247410774230957,,
52,370,,,,2.3384594917297363
52,370,,2.113922119140625,,
53,377,,,,2.328725576400757
53,377,,2.101170063018799,,
54,384,,,,2.32179856300354
54,384,,2.0876545906066895,,
55,391,,,,2.3199079036712646
55,391,,2.076326608657837,,
56,398,,,,2.308220148086548
56,398,,2.066594123840332,,
57,399,,,2.0311789512634277,
57,405,,,,2.2917776107788086
57,405,,2.0516021251678467,,
58,412,,,,2.282702922821045
58,412,,2.0424861907958984,,
59,419,,,,2.285054922103882
59,419,,2.031564474105835,,
60,426,,,,2.2872862815856934
60,426,,2.0184504985809326,,
61,433,,,,2.2713122367858887
61,433,,2.012782335281372,,
62,440,,,,2.2634804248809814
62,440,,2.000563621520996,,
63,447,,,,2.270402669906616
63,447,,1.999008297920227,,
64,449,,,1.9705326557159424,
64,454,,,,2.2592878341674805
64,454,,1.980462670326233,,
65,461,,,,2.2410619258880615
65,461,,1.973127841949463,,
66,468,,,,2.243762254714966
66,468,,1.9665182828903198,,
67,475,,,,2.250011444091797
67,475,,1.9527250528335571,,
68,482,,,,2.2223258018493652
68,482,,1.9431991577148438,,
69,489,,,,2.242882490158081
69,489,,1.935706377029419,,
70,496,,,,2.221663236618042
70,496,,1.9255274534225464,,
71,499,,,1.9337157011032104,
71,503,,,,2.2028868198394775
71,503,,1.915079951286316,,
72,510,,,,2.2064967155456543
