epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,18,,,,3.207289934158325
0,18,,3.740354299545288,,
1,37,,,,2.659714937210083
1,37,,3.001027822494507,,
2,49,,,2.6840898990631104,
2,56,,,,2.5498745441436768
2,56,,2.7037789821624756,,
3,75,,,,2.5003468990325928
3,75,,2.621617555618286,,
4,94,,,,2.4826955795288086
4,94,,2.576582908630371,,
5,99,,,2.5474331378936768,
5,113,,,,2.459874391555786
5,113,,2.544520854949951,,
6,132,,,,2.4479928016662598
6,132,,2.5178279876708984,,
7,149,,,2.4770357608795166,
7,151,,,,2.422868251800537
7,151,,2.4926693439483643,,
8,170,,,,2.3767495155334473
8,170,,2.4627726078033447,,
9,189,,,,2.3099353313446045
9,189,,2.418079137802124,,
10,199,,,2.3865199089050293,
10,208,,,,2.254070520401001
10,208,,2.369619846343994,,
11,227,,,,2.1775028705596924
11,227,,2.304126024246216,,
12,246,,,,2.0877065658569336
12,246,,2.229804754257202,,
13,249,,,2.16076922416687,
13,265,,,,2.042571544647217
13,265,,2.143037796020508,,
14,284,,,,1.9709663391113281
14,284,,2.082317352294922,,
15,299,,,2.0117204189300537,
15,303,,,,1.923811435699463
15,303,,2.0251505374908447,,
16,322,,,,1.87799072265625
16,322,,1.9754067659378052,,
17,341,,,,1.8456904888153076
17,341,,1.932247281074524,,
18,349,,,1.8932496309280396,
18,360,,,,1.8080240488052368
18,360,,1.8939998149871826,,
19,379,,,,1.7762213945388794
19,379,,1.8545774221420288,,
20,398,,,,1.7465546131134033
20,398,,1.8199275732040405,,
21,399,,,1.8116252422332764,
21,417,,,,1.7305525541305542
21,417,,1.7885366678237915,,
22,436,,,,1.7108154296875
22,436,,1.7649450302124023,,
23,449,,,1.7378251552581787,
23,455,,,,1.6918494701385498
23,455,,1.7341156005859375,,
24,474,,,,1.6744704246520996
24,474,,1.708422303199768,,
25,493,,,,1.6595978736877441
25,493,,1.6845093965530396,,
26,499,,,1.7196266651153564,
26,512,,,,1.640440583229065
26,512,,1.66022789478302,,
27,531,,,,1.6329289674758911
27,531,,1.6385201215744019,,
28,549,,,1.649193525314331,
28,550,,,,1.6233525276184082
28,550,,1.6139181852340698,,
29,569,,,,1.6091173887252808
29,569,,1.5965102910995483,,
30,588,,,,1.6066352128982544
30,588,,1.5747973918914795,,
31,599,,,1.556457757949829,
31,607,,,,1.5956214666366577
31,607,,1.5560944080352783,,
32,626,,,,1.5822877883911133
32,626,,1.5380098819732666,,
33,645,,,,1.5776220560073853
33,645,,1.5144827365875244,,
34,649,,,1.4726234674453735,
34,664,,,,1.5693564414978027
34,664,,1.4965392351150513,,
35,683,,,,1.5636377334594727
35,683,,1.4787553548812866,,
36,699,,,1.4739274978637695,
36,702,,,,1.5658724308013916
36,702,,1.4589438438415527,,
37,721,,,,1.5605415105819702
37,721,,1.4417638778686523,,
38,740,,,,1.5539809465408325
38,740,,1.4236490726470947,,
39,749,,,1.405310869216919,
39,759,,,,1.5617091655731201
39,759,,1.4032493829727173,,
40,778,,,,1.5548746585845947
40,778,,1.389802098274231,,
41,797,,,,1.5508942604064941
41,797,,1.368367075920105,,
42,799,,,1.347036600112915,
42,816,,,,1.5516037940979004
42,816,,1.3508635759353638,,
43,835,,,,1.5552499294281006
43,835,,1.336544156074524,,
44,849,,,1.3458011150360107,
44,854,,,,1.5586820840835571
44,854,,1.3167668581008911,,
45,873,,,,1.564843773841858
45,873,,1.2992796897888184,,
46,892,,,,1.5705376863479614
46,892,,1.2830328941345215,,
47,899,,,1.2274836301803589,
47,911,,,,1.5727672576904297
47,911,,1.2639912366867065,,
48,930,,,,1.577728509902954
48,930,,1.2484183311462402,,
49,949,,,1.2141187191009521,
49,949,,,,1.578525185585022
49,949,,1.2292839288711548,,
50,968,,,,1.585352897644043
50,968,,1.2110514640808105,,
51,987,,,,1.598088026046753
51,987,,1.1960389614105225,,
52,999,,,1.1935501098632812,
52,1006,,,,1.6053953170776367
52,1006,,1.1765098571777344,,
53,1025,,,,1.6060099601745605
53,1025,,1.1618332862854004,,
54,1044,,,,1.609342336654663
54,1044,,1.141183853149414,,
55,1049,,,1.113781452178955,
55,1063,,,,1.6259359121322632
55,1063,,1.1204423904418945,,
56,1082,,,,1.6452937126159668
56,1082,,1.1042073965072632,,
57,1083,1.6452937126159668,,,
