epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,6,,,,3.471039295196533
0,6,,3.865522623062134,,
1,13,,,,3.3614261150360107
1,13,,4.495031833648682,,
2,20,,,,2.9919815063476562
2,20,,3.3436241149902344,,
3,27,,,,2.8017897605895996
3,27,,3.044118642807007,,
4,34,,,,2.7148842811584473
4,34,,2.901675224304199,,
5,41,,,,2.6704399585723877
5,41,,2.831310749053955,,
6,48,,,,2.634758710861206
6,48,,2.784282684326172,,
7,49,,,2.77789306640625,
7,55,,,,2.6117241382598877
7,55,,2.7533280849456787,,
8,62,,,,2.5908467769622803
8,62,,2.7243459224700928,,
9,69,,,,2.575259208679199
9,69,,2.701626777648926,,
10,76,,,,2.583552122116089
10,76,,2.6821250915527344,,
11,83,,,,2.5504448413848877
11,83,,2.672623872756958,,
12,90,,,,2.5589046478271484
12,90,,2.659538507461548,,
13,97,,,,2.556405544281006
13,97,,2.654456615447998,,
14,99,,,2.6389987468719482,
14,104,,,,2.53759765625
14,104,,2.637995958328247,,
15,111,,,,2.525904417037964
15,111,,2.620400905609131,,
16,118,,,,2.5250608921051025
16,118,,2.6021432876586914,,
17,125,,,,2.519184112548828
17,125,,2.5946123600006104,,
18,132,,,,2.5336525440216064
18,132,,2.582655668258667,,
19,139,,,,2.517357349395752
19,139,,2.5827717781066895,,
20,146,,,,2.523791790008545
20,146,,2.566697835922241,,
21,149,,,2.5508928298950195,
21,153,,,,2.5132358074188232
21,153,,2.556232213973999,,
22,160,,,,2.508164167404175
22,160,,2.5465428829193115,,
23,167,,,,2.505960702896118
23,167,,2.5393741130828857,,
24,174,,,,2.5067262649536133
24,174,,2.530160903930664,,
25,181,,,,2.4973084926605225
25,181,,2.5179076194763184,,
26,188,,,,2.5013604164123535
26,188,,2.5075085163116455,,
27,195,,,,2.489744186401367
27,195,,2.4989984035491943,,
28,199,,,2.492286205291748,
28,202,,,,2.4989750385284424
28,202,,2.4855566024780273,,
29,209,,,,2.4959592819213867
29,209,,2.479952335357666,,
30,216,,,,2.4827663898468018
30,216,,2.471334218978882,,
31,223,,,,2.4811904430389404
31,223,,2.4609925746917725,,
32,230,,,,2.4780051708221436
32,230,,2.450309991836548,,
33,237,,,,2.4878461360931396
33,237,,2.4340720176696777,,
34,244,,,,2.457099199295044
34,244,,2.4365782737731934,,
35,249,,,2.4061899185180664,
35,251,,,,2.454683303833008
35,251,,2.4169414043426514,,
36,258,,,,2.4411633014678955
36,258,,2.4093000888824463,,
37,265,,,,2.4447429180145264
37,265,,2.3905348777770996,,
38,272,,,,2.434870719909668
38,272,,2.3757877349853516,,
39,279,,,,2.4252305030822754
39,279,,2.3654842376708984,,
40,286,,,,2.4055633544921875
40,286,,2.3532519340515137,,
41,293,,,,2.3875679969787598
41,293,,2.340726613998413,,
42,299,,,2.3334226608276367,
42,300,,,,2.381951332092285
42,300,,2.3228342533111572,,
43,307,,,,2.36301326751709
43,307,,2.3097925186157227,,
44,314,,,,2.355203628540039
44,314,,2.2961394786834717,,
45,321,,,,2.3365821838378906
45,321,,2.2769763469696045,,
46,328,,,,2.3163440227508545
46,328,,2.256939649581909,,
47,335,,,,2.299924373626709
47,335,,2.2409610748291016,,
48,342,,,,2.2832114696502686
48,342,,2.2277209758758545,,
49,349,,,2.143151044845581,
49,349,,,,2.2722158432006836
49,349,,2.206045389175415,,
50,356,,,,2.2662549018859863
50,356,,2.1930203437805176,,
51,363,,,,2.2419962882995605
51,363,,2.1766269207000732,,
52,370,,,,2.2301037311553955
52,370,,2.1570498943328857,,
53,377,,,,2.2271087169647217
53,377,,2.143841028213501,,
54,384,,,,2.2147293090820312
54,384,,2.131833791732788,,
55,391,,,,2.210052490234375
55,391,,2.1171271800994873,,
56,398,,,,2.201443910598755
56,398,,2.1047117710113525,,
57,399,,,2.1113545894622803,
57,405,,,,2.181438446044922
57,405,,2.0921850204467773,,
58,412,,,,2.187462568283081
58,412,,2.0792694091796875,,
59,419,,,,2.1894986629486084
59,419,,2.0679714679718018,,
60,426,,,,2.1632299423217773
60,426,,2.0519471168518066,,
61,433,,,,2.174593925476074
61,433,,2.037029504776001,,
62,440,,,,2.1619272232055664
62,440,,2.029742479324341,,
63,447,,,,2.1615850925445557
63,447,,2.0218961238861084,,
64,449,,,2.0269908905029297,
64,454,,,,2.1591885089874268
64,454,,2.011476755142212,,
65,461,,,,2.1597769260406494
65,461,,1.9986525774002075,,
66,468,,,,2.1629011631011963
66,468,,1.9860919713974,,
67,475,,,,2.1537158489227295
67,475,,1.9803073406219482,,
68,482,,,,2.1506099700927734
68,482,,1.9694571495056152,,
69,489,,,,2.145005702972412
69,489,,1.960139513015747,,
70,496,,,,2.1464688777923584
70,496,,1.94852614402771,,
71,499,,,1.9419057369232178,
71,503,,,,2.1505818367004395
71,503,,1.9413930177688599,,
72,510,,,,2.151718854904175
72,510,,1.929950475692749,,
73,517,,,,2.143479347229004
73,517,,1.9224992990493774,,
74,524,,,,2.147634267807007
74,524,,1.9141466617584229,,
75,531,,,,2.145033359527588
75,531,,1.9110804796218872,,
76,538,,,,2.1491618156433105
76,538,,1.8979467153549194,,
77,545,,,,2.147613525390625
77,545,,1.8917222023010254,,
78,549,,,1.908008337020874,
78,552,,,,2.146291732788086
78,552,,1.8867355585098267,,
79,559,,,,2.15360951423645
79,559,,1.8783680200576782,,
80,566,,,,2.1498360633850098
80,566,,1.8719850778579712,,
81,573,,,,2.152635097503662
81,573,,1.8693984746932983,,
82,580,,,,2.1489005088806152
82,580,,1.8616408109664917,,
83,587,,,,2.1426308155059814
83,587,,1.8552817106246948,,
84,594,,,,2.1520864963531494
84,594,,1.8488779067993164,,
85,599,,,1.860573172569275,
85,601,,,,2.150111198425293
85,601,,1.840720772743225,,
86,608,,,,2.1584043502807617
86,608,,1.8346694707870483,,
87,615,,,,2.149456262588501
87,615,,1.8292654752731323,,
88,622,,,,2.1593282222747803
88,622,,1.8245251178741455,,
89,629,,,,2.150123357772827
89,629,,1.822149634361267,,
90,636,,,,2.154573440551758
90,636,,1.814313530921936,,
91,643,,,,2.152926206588745
91,643,,1.8136645555496216,,
92,649,,,1.8105052709579468,
92,650,,,,2.152806282043457
92,650,,1.8052972555160522,,
93,657,,,,2.1534106731414795
93,657,,1.8020603656768799,,
94,664,,,,2.1527886390686035
94,664,,1.8017244338989258,,
95,671,,,,2.1538572311401367
95,671,,1.7928056716918945,,
96,678,,,,2.1651113033294678
96,678,,1.7904654741287231,,
97,685,,,,2.153686046600342
97,685,,1.7867168188095093,,
98,692,,,,2.162879228591919
98,692,,1.7832880020141602,,
99,693,2.162879228591919,,,
