epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,48,,,,2.5277600288391113
0,48,,3.0109450817108154,,
1,49,,,2.5300378799438477,
1,97,,,,2.4449102878570557
1,97,,2.495867967605591,,
2,99,,,2.47105073928833,
2,146,,,,2.3948655128479004
2,146,,2.4360134601593018,,
3,149,,,2.3759305477142334,
3,195,,,,2.2178003787994385
3,195,,2.3523201942443848,,
4,199,,,2.264077663421631,
4,244,,,,2.00616717338562
4,244,,2.1582024097442627,,
5,249,,,2.036012887954712,
5,293,,,,1.8686498403549194
5,293,,1.9992483854293823,,
6,299,,,1.9339420795440674,
6,342,,,,1.764650821685791
6,342,,1.883933424949646,,
7,349,,,1.8297992944717407,
7,391,,,,1.682186245918274
7,391,,1.7939155101776123,,
8,399,,,1.7157964706420898,
8,440,,,,1.6301286220550537
8,440,,1.7214146852493286,,
9,449,,,1.6924022436141968,
9,489,,,,1.582962155342102
9,489,,1.66583251953125,,
10,499,,,1.6173646450042725,
10,538,,,,1.5450197458267212
10,538,,1.6170364618301392,,
11,549,,,1.5968396663665771,
11,587,,,,1.5109018087387085
11,587,,1.5755223035812378,,
12,599,,,1.519451379776001,
12,636,,,,1.4866200685501099
12,636,,1.5381251573562622,,
13,649,,,1.486771821975708,
13,685,,,,1.459721326828003
13,685,,1.5034924745559692,,
14,699,,,1.477312684059143,
14,734,,,,1.4349746704101562
14,734,,1.4732370376586914,,
15,749,,,1.4469406604766846,
15,783,,,,1.414313793182373
15,783,,1.4479475021362305,,
16,799,,,1.4289988279342651,
16,832,,,,1.4024854898452759
16,832,,1.4241706132888794,,
17,849,,,1.3927925825119019,
17,881,,,,1.387091875076294
17,881,,1.4012367725372314,,
18,899,,,1.3936870098114014,
18,930,,,,1.3748598098754883
18,930,,1.3806437253952026,,
19,949,,,1.3697806596755981,
19,979,,,,1.3724035024642944
19,979,,1.3601518869400024,,
20,999,,,1.358099102973938,
20,1028,,,,1.3593677282333374
20,1028,,1.343727707862854,,
21,1049,,,1.3137571811676025,
21,1077,,,,1.352303385734558
21,1077,,1.3264541625976562,,
22,1099,,,1.2894662618637085,
22,1126,,,,1.3487660884857178
22,1126,,1.310194969177246,,
23,1149,,,1.2735857963562012,
23,1175,,,,1.3406226634979248
23,1175,,1.294952630996704,,
24,1199,,,1.2875036001205444,
24,1224,,,,1.3352855443954468
24,1224,,1.276980996131897,,
25,1249,,,1.2750790119171143,
25,1273,,,,1.331459879875183
25,1273,,1.2627140283584595,,
26,1299,,,1.2562968730926514,
26,1322,,,,1.326217770576477
26,1322,,1.2493606805801392,,
27,1349,,,1.2374476194381714,
27,1371,,,,1.3269799947738647
27,1371,,1.2368392944335938,,
28,1399,,,1.2332913875579834,
28,1420,,,,1.328616738319397
28,1420,,1.2217835187911987,,
29,1449,,,1.2240959405899048,
29,1469,,,,1.3283175230026245
29,1469,,1.2079386711120605,,
30,1499,,,1.1898982524871826,
30,1518,,,,1.331315040588379
30,1518,,1.1941074132919312,,
31,1549,,,1.1858386993408203,
31,1567,,,,1.3324275016784668
31,1567,,1.1805095672607422,,
32,1599,,,1.1878881454467773,
32,1616,,,,1.3328229188919067
32,1616,,1.1684006452560425,,
33,1649,,,1.1707531213760376,
33,1665,,,,1.3388991355895996
33,1665,,1.15570068359375,,
34,1699,,,1.1512608528137207,
34,1714,,,,1.3353681564331055
34,1714,,1.139854907989502,,
35,1749,,,1.1467615365982056,
35,1763,,,,1.3449379205703735
35,1763,,1.1257634162902832,,
36,1799,,,1.1364538669586182,
36,1812,,,,1.3437905311584473
36,1812,,1.1130611896514893,,
37,1849,,,1.083114743232727,
37,1861,,,,1.3533786535263062
37,1861,,1.0989784002304077,,
38,1899,,,1.102683424949646,
38,1910,,,,1.3513342142105103
38,1910,,1.0869728326797485,,
39,1949,,,1.0854246616363525,
39,1959,,,,1.3621653318405151
39,1959,,1.0724663734436035,,
40,1999,,,1.0573008060455322,
40,2008,,,,1.370549201965332
40,2008,,1.0594955682754517,,
41,2049,,,1.0456030368804932,
41,2057,,,,1.3773568868637085
41,2057,,1.0466543436050415,,
42,2058,1.3773568868637085,,,
