epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,18,,,,2.980386972427368
0,18,,3.7540767192840576,,
1,37,,,,2.58673357963562
1,37,,2.7393712997436523,,
2,49,,,2.5627148151397705,
2,56,,,,2.527960777282715
2,56,,2.5594894886016846,,
3,75,,,,2.490161180496216
3,75,,2.506521224975586,,
4,94,,,,2.463967800140381
4,94,,2.478827714920044,,
5,99,,,2.4776952266693115,
5,113,,,,2.4461007118225098
5,113,,2.4547080993652344,,
6,132,,,,2.437422752380371
6,132,,2.435065984725952,,
7,149,,,2.407918930053711,
7,151,,,,2.407803773880005
7,151,,2.4134793281555176,,
8,170,,,,2.3745229244232178
8,170,,2.383779287338257,,
9,189,,,,2.2888989448547363
9,189,,2.3412084579467773,,
10,199,,,2.282477855682373,
10,208,,,,2.19099497795105
10,208,,2.2725136280059814,,
11,227,,,,2.117192029953003
11,227,,2.1843295097351074,,
12,246,,,,2.0590267181396484
12,246,,2.1141324043273926,,
13,249,,,2.0762977600097656,
13,265,,,,1.9910063743591309
13,265,,2.057058572769165,,
14,284,,,,1.9473159313201904
14,284,,2.0050485134124756,,
15,299,,,1.9486863613128662,
15,303,,,,1.9061992168426514
15,303,,1.9601627588272095,,
16,322,,,,1.8624597787857056
16,322,,1.9169769287109375,,
17,341,,,,1.824219822883606
17,341,,1.8748252391815186,,
18,349,,,1.8461302518844604,
18,360,,,,1.7900975942611694
18,360,,1.8355568647384644,,
19,379,,,,1.7724210023880005
19,379,,1.805721402168274,,
20,398,,,,1.7371747493743896
20,398,,1.776533842086792,,
21,399,,,1.7346997261047363,
21,417,,,,1.7280064821243286
21,417,,1.747652292251587,,
22,436,,,,1.7004090547561646
22,436,,1.720646858215332,,
23,449,,,1.709869146347046,
23,455,,,,1.6842100620269775
23,455,,1.7006080150604248,,
24,474,,,,1.6715525388717651
24,474,,1.6721625328063965,,
25,493,,,,1.6554794311523438
25,493,,1.6534016132354736,,
26,499,,,1.6290624141693115,
26,512,,,,1.6456360816955566
26,512,,1.6311582326889038,,
27,531,,,,1.633630394935608
27,531,,1.611276626586914,,
28,549,,,1.594679832458496,
28,550,,,,1.6229177713394165
28,550,,1.591717004776001,,
29,569,,,,1.618261694908142
29,569,,1.5746289491653442,,
30,588,,,,1.608737826347351
30,588,,1.5571255683898926,,
31,599,,,1.5353569984436035,
31,607,,,,1.600951910018921
31,607,,1.5352774858474731,,
32,626,,,,1.5951282978057861
32,626,,1.5197817087173462,,
33,645,,,,1.579253077507019
33,645,,1.5069994926452637,,
34,649,,,1.492011547088623,
34,664,,,,1.5755786895751953
34,664,,1.4869391918182373,,
35,683,,,,1.576126217842102
35,683,,1.4707427024841309,,
36,699,,,1.429847002029419,
36,702,,,,1.5707389116287231
36,702,,1.454524040222168,,
37,721,,,,1.5744119882583618
37,721,,1.4366121292114258,,
38,740,,,,1.5668449401855469
38,740,,1.422504186630249,,
39,749,,,1.3852952718734741,
39,759,,,,1.5738080739974976
39,759,,1.4050414562225342,,
40,778,,,,1.575348138809204
40,778,,1.3898924589157104,,
41,797,,,,1.5699806213378906
41,797,,1.3737194538116455,,
42,799,,,1.369511604309082,
42,816,,,,1.5703696012496948
42,816,,1.3599752187728882,,
43,835,,,,1.5698388814926147
43,835,,1.343099594116211,,
44,849,,,1.3490735292434692,
44,854,,,,1.5815740823745728
44,854,,1.325943112373352,,
45,873,,,,1.5815000534057617
45,873,,1.3104960918426514,,
46,892,,,,1.5840065479278564
46,892,,1.2934637069702148,,
47,899,,,1.2585010528564453,
47,911,,,,1.5877296924591064
47,911,,1.2748687267303467,,
48,930,,,,1.5873206853866577
48,930,,1.2605973482131958,,
49,949,,,1.283183217048645,
49,949,,,,1.5921951532363892
49,949,,1.2432470321655273,,
50,968,,,,1.6075220108032227
50,968,,1.2283596992492676,,
51,987,,,,1.6164203882217407
51,987,,1.211927056312561,,
52,999,,,1.2157819271087646,
52,1006,,,,1.6174087524414062
52,1006,,1.1969636678695679,,
53,1025,,,,1.6201986074447632
53,1025,,1.1798759698867798,,
54,1026,1.6201986074447632,,,
