epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.5901741981506348,
0,61,,,,2.5459885597229004
0,61,,3.1073806285858154,,
1,99,,,2.489975929260254,
1,123,,,,2.465895414352417
1,123,,2.498595952987671,,
2,149,,,2.4333722591400146,
2,185,,,,2.37916898727417
2,185,,2.4306962490081787,,
3,199,,,2.3620543479919434,
3,247,,,,2.1316938400268555
3,247,,2.296649694442749,,
4,249,,,2.1680657863616943,
4,299,,,2.012509822845459,
4,309,,,,1.939942479133606
4,309,,2.0730245113372803,,
5,349,,,1.8846170902252197,
5,371,,,,1.8271313905715942
5,371,,1.9278943538665771,,
6,399,,,1.8046069145202637,
6,433,,,,1.7308440208435059
6,433,,1.8230494260787964,,
7,449,,,1.7521429061889648,
7,495,,,,1.640394687652588
7,495,,1.7433115243911743,,
8,499,,,1.717801570892334,
8,549,,,1.667348861694336,
8,557,,,,1.5831096172332764
8,557,,1.6790632009506226,,
9,599,,,1.5997438430786133,
9,619,,,,1.5435620546340942
9,619,,1.6251291036605835,,
10,649,,,1.529238224029541,
10,681,,,,1.5052909851074219
10,681,,1.5819036960601807,,
11,699,,,1.5480033159255981,
11,743,,,,1.481279969215393
11,743,,1.5410730838775635,,
12,749,,,1.5302404165267944,
12,799,,,1.5041236877441406,
12,805,,,,1.458573818206787
12,805,,1.5076932907104492,,
13,849,,,1.4601362943649292,
13,867,,,,1.4283000230789185
13,867,,1.4771267175674438,,
14,899,,,1.4386765956878662,
14,929,,,,1.4077337980270386
14,929,,1.4484145641326904,,
15,949,,,1.4002243280410767,
15,991,,,,1.3980225324630737
15,991,,1.4237046241760254,,
16,999,,,1.4141217470169067,
16,1049,,,1.41729736328125,
16,1053,,,,1.3827916383743286
16,1053,,1.401247501373291,,
17,1099,,,1.3871183395385742,
17,1115,,,,1.3629142045974731
17,1115,,1.378933310508728,,
18,1149,,,1.35274076461792,
18,1177,,,,1.3551422357559204
18,1177,,1.3621220588684082,,
19,1199,,,1.333804965019226,
19,1239,,,,1.344359278678894
19,1239,,1.343775987625122,,
20,1249,,,1.3404598236083984,
20,1299,,,1.3119189739227295,
20,1301,,,,1.3269293308258057
20,1301,,1.328909993171692,,
21,1349,,,1.3384950160980225,
21,1363,,,,1.3252025842666626
21,1363,,1.3128072023391724,,
22,1399,,,1.3049360513687134,
22,1425,,,,1.3159987926483154
22,1425,,1.2980448007583618,,
23,1449,,,1.2853444814682007,
23,1487,,,,1.3093254566192627
23,1487,,1.2841596603393555,,
24,1499,,,1.2792367935180664,
24,1549,,,1.3660277128219604,
24,1549,,,,1.3102833032608032
24,1549,,1.270373821258545,,
25,1599,,,1.2596654891967773,
25,1611,,,,1.3152741193771362
25,1611,,1.2584913969039917,,
26,1649,,,1.2372463941574097,
26,1673,,,,1.2976131439208984
26,1673,,1.2461436986923218,,
27,1699,,,1.2367448806762695,
27,1735,,,,1.2982584238052368
27,1735,,1.2320183515548706,,
28,1749,,,1.206321120262146,
28,1797,,,,1.294055461883545
28,1797,,1.2208176851272583,,
29,1799,,,1.1986477375030518,
29,1849,,,1.178439736366272,
29,1859,,,,1.2926089763641357
29,1859,,1.2108696699142456,,
30,1899,,,1.2305057048797607,
30,1921,,,,1.2990269660949707
30,1921,,1.1977803707122803,,
31,1949,,,1.189467191696167,
31,1983,,,,1.2867995500564575
31,1983,,1.1871633529663086,,
32,1999,,,1.1770658493041992,
32,2045,,,,1.2968255281448364
32,2045,,1.1751956939697266,,
33,2049,,,1.173930048942566,
33,2099,,,1.1820276975631714,
33,2107,,,,1.2929208278656006
33,2107,,1.164017915725708,,
34,2149,,,1.1521438360214233,
34,2169,,,,1.2914235591888428
34,2169,,1.1527845859527588,,
35,2199,,,1.1381070613861084,
35,2231,,,,1.2965328693389893
35,2231,,1.1413369178771973,,
36,2249,,,1.1257190704345703,
36,2293,,,,1.2973066568374634
36,2293,,1.1305023431777954,,
37,2299,,,1.149421215057373,
37,2349,,,1.1065435409545898,
37,2355,,,,1.2973499298095703
37,2355,,1.1199061870574951,,
38,2399,,,1.1125900745391846,
38,2417,,,,1.3016908168792725
38,2417,,1.1080207824707031,,
39,2449,,,1.0866312980651855,
39,2479,,,,1.302903652191162
39,2479,,1.0981595516204834,,
40,2499,,,1.1192420721054077,
40,2541,,,,1.312329649925232
40,2541,,1.0852820873260498,,
41,2549,,,1.0829404592514038,
41,2599,,,1.0794888734817505,
41,2603,,,,1.3148614168167114
41,2603,,1.0745548009872437,,
42,2649,,,1.0740885734558105,
42,2665,,,,1.315214991569519
42,2665,,1.0633745193481445,,
43,2699,,,1.0197374820709229,
43,2727,,,,1.323132872581482
43,2727,,1.0522334575653076,,
44,2749,,,1.022423267364502,
44,2789,,,,1.3225873708724976
44,2789,,1.040950059890747,,
45,2799,,,1.0275174379348755,
45,2849,,,1.0468721389770508,
45,2851,,,,1.3306165933609009
45,2851,,1.0305399894714355,,
46,2899,,,1.0655512809753418,
46,2913,,,,1.3362609148025513
46,2913,,1.0173163414001465,,
47,2914,1.3362609148025513,,,
