epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,48,,,,2.535708427429199
0,48,,2.973053216934204,,
1,49,,,2.5494589805603027,
1,97,,,,2.452270984649658
1,97,,2.5066146850585938,,
2,99,,,2.4763197898864746,
2,146,,,,2.4062578678131104
2,146,,2.443889617919922,,
3,149,,,2.418480396270752,
3,195,,,,2.1969833374023438
3,195,,2.3541510105133057,,
4,199,,,2.238765239715576,
4,244,,,,2.0138747692108154
4,244,,2.153071641921997,,
5,249,,,2.0363335609436035,
5,293,,,,1.8684272766113281
5,293,,2.000469207763672,,
6,299,,,1.923499584197998,
6,342,,,,1.7673227787017822
6,342,,1.8913806676864624,,
7,349,,,1.801002860069275,
7,391,,,,1.6995441913604736
7,391,,1.8027915954589844,,
8,399,,,1.7686048746109009,
8,440,,,,1.638384461402893
8,440,,1.7371762990951538,,
9,449,,,1.7112669944763184,
9,489,,,,1.5938804149627686
9,489,,1.6807011365890503,,
10,499,,,1.6578209400177002,
10,538,,,,1.5592070817947388
10,538,,1.634163737297058,,
11,549,,,1.599708914756775,
11,587,,,,1.519850492477417
11,587,,1.5914288759231567,,
12,599,,,1.562279224395752,
12,636,,,,1.492148518562317
12,636,,1.5534495115280151,,
13,649,,,1.517998456954956,
13,685,,,,1.4652208089828491
13,685,,1.5207784175872803,,
14,699,,,1.4926867485046387,
14,734,,,,1.4494119882583618
14,734,,1.4926434755325317,,
15,749,,,1.4752099514007568,
15,783,,,,1.4276005029678345
15,783,,1.4626611471176147,,
16,799,,,1.4655925035476685,
16,832,,,,1.4122438430786133
16,832,,1.4391424655914307,,
17,849,,,1.413407325744629,
17,881,,,,1.3953640460968018
17,881,,1.4153803586959839,,
18,899,,,1.4188923835754395,
18,930,,,,1.387181282043457
18,930,,1.396540880203247,,
19,949,,,1.3634631633758545,
19,979,,,,1.377540946006775
19,979,,1.3759068250656128,,
20,999,,,1.3416526317596436,
20,1028,,,,1.3676481246948242
20,1028,,1.3565653562545776,,
21,1049,,,1.3259921073913574,
21,1077,,,,1.352600336074829
21,1077,,1.3398568630218506,,
22,1099,,,1.3269991874694824,
22,1126,,,,1.3550819158554077
22,1126,,1.3230570554733276,,
23,1149,,,1.3167989253997803,
23,1175,,,,1.344596028327942
23,1175,,1.3064662218093872,,
24,1199,,,1.2935993671417236,
24,1224,,,,1.3422938585281372
24,1224,,1.2910069227218628,,
25,1249,,,1.2967108488082886,
25,1273,,,,1.3369860649108887
25,1273,,1.2765811681747437,,
26,1299,,,1.2696856260299683,
26,1322,,,,1.3340973854064941
26,1322,,1.2615547180175781,,
27,1349,,,1.2326356172561646,
27,1371,,,,1.3298486471176147
27,1371,,1.2476924657821655,,
28,1399,,,1.2624999284744263,
28,1420,,,,1.329190731048584
28,1420,,1.2335288524627686,,
29,1449,,,1.2390708923339844,
29,1469,,,,1.330561637878418
29,1469,,1.2195407152175903,,
30,1499,,,1.201846718788147,
30,1518,,,,1.3259645700454712
30,1518,,1.205016851425171,,
31,1549,,,1.2242519855499268,
31,1567,,,,1.3287179470062256
31,1567,,1.19135582447052,,
32,1599,,,1.1953749656677246,
32,1616,,,,1.3306610584259033
32,1616,,1.1777163743972778,,
33,1649,,,1.2031320333480835,
33,1665,,,,1.3440933227539062
33,1665,,1.1646515130996704,,
34,1699,,,1.1716876029968262,
34,1714,,,,1.3413753509521484
34,1714,,1.1515647172927856,,
35,1749,,,1.1914066076278687,
35,1763,,,,1.3429588079452515
35,1763,,1.136694073677063,,
36,1799,,,1.163759469985962,
36,1812,,,,1.3472954034805298
36,1812,,1.1259338855743408,,
37,1849,,,1.1323397159576416,
37,1861,,,,1.3476815223693848
37,1861,,1.1108027696609497,,
38,1899,,,1.112638235092163,
38,1910,,,,1.359598994255066
38,1910,,1.0974292755126953,,
39,1949,,,1.1023789644241333,
39,1959,,,,1.3560611009597778
39,1959,,1.0843627452850342,,
40,1999,,,1.1113253831863403,
40,2008,,,,1.361694574356079
40,2008,,1.0690126419067383,,
41,2049,,,1.043835163116455,
41,2057,,,,1.3727918863296509
41,2057,,1.0564954280853271,,
42,2099,,,1.0677030086517334,
42,2106,,,,1.3772259950637817
42,2106,,1.0436182022094727,,
43,2149,,,1.0411655902862549,
43,2155,,,,1.3840808868408203
43,2155,,1.0287981033325195,,
44,2199,,,1.00600266456604,
44,2204,,,,1.3974149227142334
44,2204,,1.0157772302627563,,
45,2249,,,1.0024974346160889,
45,2253,,,,1.4055842161178589
45,2253,,1.0013219118118286,,
46,2254,1.4055842161178589,,,
