epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,42,,,,2.6341769695281982
0,42,,3.3033039569854736,,
1,49,,,2.6120240688323975,
1,85,,,,2.4775662422180176
1,85,,2.550870180130005,,
2,99,,,2.4787800312042236,
2,128,,,,2.4361350536346436
2,128,,2.468442916870117,,
3,149,,,2.3967087268829346,
3,171,,,,2.371974468231201
3,171,,2.418832778930664,,
4,199,,,2.3443174362182617,
4,214,,,,2.177750587463379
4,214,,2.3237290382385254,,
5,249,,,2.0748987197875977,
5,257,,,,1.9974162578582764
5,257,,2.1434876918792725,,
6,299,,,1.9287109375,
6,300,,,,1.8651750087738037
6,300,,1.9962794780731201,,
7,343,,,,1.7651259899139404
7,343,,1.8870192766189575,,
8,349,,,1.8354146480560303,
8,386,,,,1.7069028615951538
8,386,,1.804137945175171,,
9,399,,,1.7353558540344238,
9,429,,,,1.650474190711975
9,429,,1.7425487041473389,,
10,449,,,1.6929380893707275,
10,472,,,,1.6100795269012451
10,472,,1.6915103197097778,,
11,499,,,1.6528517007827759,
11,515,,,,1.586159586906433
11,515,,1.647943377494812,,
12,549,,,1.6164143085479736,
12,558,,,,1.5523533821105957
12,558,,1.6084651947021484,,
13,599,,,1.5285495519638062,
13,601,,,,1.5230579376220703
13,601,,1.5743262767791748,,
14,644,,,,1.503250241279602
14,644,,1.5431348085403442,,
15,649,,,1.516539454460144,
15,687,,,,1.482970118522644
15,687,,1.512958288192749,,
16,699,,,1.4709547758102417,
16,730,,,,1.4642229080200195
16,730,,1.4859756231307983,,
17,749,,,1.4560877084732056,
17,773,,,,1.4493485689163208
17,773,,1.4609339237213135,,
18,799,,,1.443681240081787,
18,816,,,,1.4320029020309448
18,816,,1.4381213188171387,,
19,849,,,1.4371402263641357,
19,859,,,,1.4247395992279053
19,859,,1.4131896495819092,,
20,899,,,1.432688593864441,
20,902,,,,1.4085012674331665
20,902,,1.3915396928787231,,
21,945,,,,1.3952940702438354
21,945,,1.3730238676071167,,
22,949,,,1.3127192258834839,
22,988,,,,1.3948755264282227
22,988,,1.3527296781539917,,
23,999,,,1.3084732294082642,
23,1031,,,,1.38175630569458
23,1031,,1.3362900018692017,,
24,1049,,,1.2923402786254883,
24,1074,,,,1.3738633394241333
24,1074,,1.3182231187820435,,
25,1099,,,1.2598724365234375,
25,1117,,,,1.3667079210281372
25,1117,,1.3024486303329468,,
26,1149,,,1.2673237323760986,
26,1160,,,,1.371049165725708
26,1160,,1.2863731384277344,,
27,1199,,,1.3287184238433838,
27,1203,,,,1.365350365638733
27,1203,,1.2706470489501953,,
28,1246,,,,1.3664674758911133
28,1246,,1.2562755346298218,,
29,1249,,,1.2327837944030762,
29,1289,,,,1.3552944660186768
29,1289,,1.2412961721420288,,
30,1299,,,1.2306022644042969,
30,1332,,,,1.3548108339309692
30,1332,,1.2261298894882202,,
31,1349,,,1.2297253608703613,
31,1375,,,,1.3584659099578857
31,1375,,1.2128493785858154,,
32,1399,,,1.2025703191757202,
32,1418,,,,1.3560398817062378
32,1418,,1.1970605850219727,,
33,1449,,,1.1800678968429565,
33,1461,,,,1.359339952468872
33,1461,,1.182598352432251,,
34,1499,,,1.1828444004058838,
34,1504,,,,1.3576207160949707
34,1504,,1.1670565605163574,,
35,1547,,,,1.3646665811538696
35,1547,,1.1543537378311157,,
36,1549,,,1.143225908279419,
36,1590,,,,1.367032527923584
36,1590,,1.140112042427063,,
37,1599,,,1.143453598022461,
37,1633,,,,1.3700096607208252
37,1633,,1.1273467540740967,,
38,1649,,,1.0802879333496094,
38,1676,,,,1.375537633895874
38,1676,,1.111363410949707,,
39,1699,,,1.0866894721984863,
39,1719,,,,1.3881152868270874
39,1719,,1.0981258153915405,,
40,1749,,,1.0456140041351318,
40,1762,,,,1.3929942846298218
40,1762,,1.083393931388855,,
41,1799,,,1.0983035564422607,
41,1805,,,,1.3957188129425049
41,1805,,1.0692203044891357,,
42,1848,,,,1.398242712020874
42,1848,,1.0549010038375854,,
43,1849,,,1.0273661613464355,
43,1891,,,,1.4161356687545776
43,1891,,1.0397826433181763,,
44,1899,,,1.015176773071289,
44,1934,,,,1.4171736240386963
44,1934,,1.0270099639892578,,
45,1949,,,0.9859921932220459,
45,1977,,,,1.4241299629211426
45,1977,,1.0101572275161743,,
46,1978,1.4241299629211426,,,
