epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,42,,,,2.5438973903656006
0,42,,3.068350076675415,,
1,49,,,2.525547742843628,
1,85,,,,2.4631690979003906
1,85,,2.5132787227630615,,
2,99,,,2.4421780109405518,
2,128,,,,2.4159603118896484
2,128,,2.4543933868408203,,
3,149,,,2.387777805328369,
3,171,,,,2.301041603088379
3,171,,2.3936619758605957,,
4,199,,,2.228029251098633,
4,214,,,,2.092510223388672
4,214,,2.250566005706787,,
5,249,,,2.0304460525512695,
5,257,,,,1.9537653923034668
5,257,,2.0774714946746826,,
6,299,,,1.9645272493362427,
6,300,,,,1.8362643718719482
6,300,,1.9537816047668457,,
7,343,,,,1.7526947259902954
7,343,,1.8558584451675415,,
8,349,,,1.799381971359253,
8,386,,,,1.6946989297866821
8,386,,1.77623450756073,,
9,399,,,1.7166600227355957,
9,429,,,,1.6423128843307495
9,429,,1.7127127647399902,,
10,449,,,1.6786630153656006,
10,472,,,,1.5931593179702759
10,472,,1.6591901779174805,,
11,499,,,1.6300747394561768,
11,515,,,,1.570938229560852
11,515,,1.611314058303833,,
12,549,,,1.5654785633087158,
12,558,,,,1.5350656509399414
12,558,,1.5747779607772827,,
13,599,,,1.5356088876724243,
13,601,,,,1.5080339908599854
13,601,,1.5377074480056763,,
14,644,,,,1.4836647510528564
14,644,,1.5072804689407349,,
15,649,,,1.4664250612258911,
15,687,,,,1.461470603942871
15,687,,1.4756370782852173,,
16,699,,,1.4401839971542358,
16,730,,,,1.4411001205444336
16,730,,1.4521722793579102,,
17,749,,,1.4363640546798706,
17,773,,,,1.4290980100631714
17,773,,1.4257391691207886,,
18,799,,,1.4608879089355469,
18,816,,,,1.4172751903533936
18,816,,1.4041634798049927,,
19,849,,,1.403841257095337,
19,859,,,,1.4038492441177368
19,859,,1.3830348253250122,,
20,899,,,1.3881418704986572,
20,902,,,,1.394167423248291
20,902,,1.362657070159912,,
21,945,,,,1.3887006044387817
21,945,,1.3432382345199585,,
22,949,,,1.3090877532958984,
22,988,,,,1.3776025772094727
22,988,,1.324350118637085,,
23,999,,,1.2882153987884521,
23,1031,,,,1.3765923976898193
23,1031,,1.3086813688278198,,
24,1049,,,1.3018019199371338,
24,1074,,,,1.3627433776855469
24,1074,,1.2933915853500366,,
25,1099,,,1.2920891046524048,
25,1117,,,,1.3603811264038086
25,1117,,1.2760283946990967,,
26,1149,,,1.2791969776153564,
26,1160,,,,1.3534932136535645
26,1160,,1.2607792615890503,,
27,1199,,,1.2369946241378784,
27,1203,,,,1.362532615661621
27,1203,,1.244829535484314,,
28,1246,,,,1.3538224697113037
28,1246,,1.229973316192627,,
29,1249,,,1.1891716718673706,
29,1289,,,,1.355081558227539
29,1289,,1.2152190208435059,,
30,1299,,,1.1853750944137573,
30,1332,,,,1.3572767972946167
30,1332,,1.2010082006454468,,
31,1349,,,1.1636393070220947,
31,1375,,,,1.3565373420715332
31,1375,,1.1851986646652222,,
32,1399,,,1.1857991218566895,
32,1418,,,,1.3591657876968384
32,1418,,1.1704217195510864,,
33,1449,,,1.1727213859558105,
33,1461,,,,1.3628461360931396
33,1461,,1.1560859680175781,,
34,1499,,,1.1675052642822266,
34,1504,,,,1.3624900579452515
34,1504,,1.1407227516174316,,
35,1547,,,,1.3674964904785156
35,1547,,1.128206729888916,,
36,1549,,,1.0914621353149414,
36,1590,,,,1.369266390800476
36,1590,,1.112579584121704,,
37,1599,,,1.1136806011199951,
37,1633,,,,1.3699510097503662
37,1633,,1.0979818105697632,,
38,1649,,,1.06106698513031,
38,1676,,,,1.3785090446472168
38,1676,,1.0823376178741455,,
39,1699,,,1.0762017965316772,
39,1719,,,,1.3899041414260864
39,1719,,1.0665080547332764,,
40,1749,,,1.0745341777801514,
40,1762,,,,1.3886497020721436
40,1762,,1.0530633926391602,,
41,1799,,,1.085360050201416,
41,1805,,,,1.4100511074066162
41,1805,,1.0393574237823486,,
42,1806,1.4100511074066162,,,
