epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,48,,,,2.5778791904449463
0,48,,3.1359119415283203,,
1,49,,,2.5655717849731445,
1,97,,,,2.4724953174591064
1,97,,2.5078635215759277,,
2,99,,,2.470078945159912,
2,146,,,,2.4199609756469727
2,146,,2.4455652236938477,,
3,149,,,2.4167466163635254,
3,195,,,,2.2769739627838135
3,195,,2.383873701095581,,
4,199,,,2.2904553413391113,
4,244,,,,2.061568021774292
4,244,,2.218463897705078,,
5,249,,,2.072157859802246,
5,293,,,,1.9065546989440918
5,293,,2.0388224124908447,,
6,299,,,1.9686272144317627,
6,342,,,,1.7948100566864014
6,342,,1.9176229238510132,,
7,349,,,1.8671839237213135,
7,391,,,,1.7149006128311157
7,391,,1.8217178583145142,,
8,399,,,1.7777070999145508,
8,440,,,,1.647071123123169
8,440,,1.745749831199646,,
9,449,,,1.6958956718444824,
9,489,,,,1.596907377243042
9,489,,1.6857317686080933,,
10,499,,,1.6387348175048828,
10,538,,,,1.552740454673767
10,538,,1.6338820457458496,,
11,549,,,1.5721592903137207,
11,587,,,,1.5285325050354004
11,587,,1.5903476476669312,,
12,599,,,1.5545177459716797,
12,636,,,,1.4916611909866333
12,636,,1.5537728071212769,,
13,649,,,1.5037901401519775,
13,685,,,,1.4702852964401245
13,685,,1.5189061164855957,,
14,699,,,1.4928524494171143,
14,734,,,,1.4464855194091797
14,734,,1.4876723289489746,,
15,749,,,1.4470674991607666,
15,783,,,,1.4261358976364136
15,783,,1.46029531955719,,
16,799,,,1.4190305471420288,
16,832,,,,1.409996747970581
16,832,,1.4366270303726196,,
17,849,,,1.4240775108337402,
17,881,,,,1.396836757659912
17,881,,1.4130440950393677,,
18,899,,,1.359262466430664,
18,930,,,,1.3857516050338745
18,930,,1.394126057624817,,
19,949,,,1.3695319890975952,
19,979,,,,1.3769431114196777
19,979,,1.3740687370300293,,
20,999,,,1.349517822265625,
20,1028,,,,1.3659300804138184
20,1028,,1.354628562927246,,
21,1049,,,1.3212202787399292,
21,1077,,,,1.3612143993377686
21,1077,,1.3385651111602783,,
22,1099,,,1.3562734127044678,
22,1126,,,,1.354511022567749
22,1126,,1.3235963582992554,,
23,1149,,,1.2933952808380127,
23,1175,,,,1.3446755409240723
23,1175,,1.3068677186965942,,
24,1199,,,1.3057781457901,
24,1224,,,,1.3435730934143066
24,1224,,1.29141366481781,,
25,1249,,,1.2574665546417236,
25,1273,,,,1.3319391012191772
25,1273,,1.2778698205947876,,
26,1299,,,1.2916690111160278,
26,1322,,,,1.3344436883926392
26,1322,,1.2635337114334106,,
27,1349,,,1.2318453788757324,
27,1371,,,,1.333810567855835
27,1371,,1.2509745359420776,,
28,1399,,,1.2475955486297607,
28,1420,,,,1.3328220844268799
28,1420,,1.2352780103683472,,
29,1449,,,1.227655291557312,
29,1469,,,,1.3292250633239746
29,1469,,1.2228703498840332,,
30,1499,,,1.206510066986084,
30,1518,,,,1.3396894931793213
30,1518,,1.2094365358352661,,
31,1549,,,1.1936390399932861,
31,1567,,,,1.3311790227890015
31,1567,,1.1974037885665894,,
32,1599,,,1.1927889585494995,
32,1616,,,,1.3315820693969727
32,1616,,1.1829952001571655,,
33,1649,,,1.1880288124084473,
33,1665,,,,1.3378962278366089
33,1665,,1.171992301940918,,
34,1699,,,1.2002525329589844,
34,1714,,,,1.3468724489212036
34,1714,,1.1568825244903564,,
35,1749,,,1.1919221878051758,
35,1763,,,,1.3402156829833984
35,1763,,1.144715666770935,,
36,1799,,,1.1637213230133057,
36,1812,,,,1.341940999031067
36,1812,,1.1313724517822266,,
37,1849,,,1.1399787664413452,
37,1861,,,,1.3471170663833618
37,1861,,1.1186809539794922,,
38,1899,,,1.10183846950531,
38,1910,,,,1.356626272201538
38,1910,,1.1050379276275635,,
39,1949,,,1.1118619441986084,
39,1959,,,,1.3633495569229126
39,1959,,1.0927555561065674,,
40,1999,,,1.0611698627471924,
40,2008,,,,1.3666903972625732
40,2008,,1.0796785354614258,,
41,2049,,,1.065281629562378,
41,2057,,,,1.3772965669631958
41,2057,,1.0667394399642944,,
42,2099,,,1.0626134872436523,
42,2106,,,,1.38214910030365
42,2106,,1.051995038986206,,
43,2149,,,1.0760198831558228,
43,2155,,,,1.3902387619018555
43,2155,,1.039705753326416,,
44,2199,,,1.059515118598938,
44,2204,,,,1.3936907052993774
44,2204,,1.0263354778289795,,
45,2205,1.3936907052993774,,,
