epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,48,,,,2.53586483001709
0,48,,2.981703758239746,,
1,49,,,2.5504448413848877,
1,97,,,,2.453936815261841
1,97,,2.494825601577759,,
2,99,,,2.457435369491577,
2,146,,,,2.39329195022583
2,146,,2.4338529109954834,,
3,149,,,2.403367757797241,
3,195,,,,2.2070765495300293
3,195,,2.356260061264038,,
4,199,,,2.261227607727051,
4,244,,,,2.0132765769958496
4,244,,2.1565334796905518,,
5,249,,,2.0323500633239746,
5,293,,,,1.874375343322754
5,293,,2.0012643337249756,,
6,299,,,1.897694706916809,
6,342,,,,1.7756798267364502
6,342,,1.883259654045105,,
7,349,,,1.8160431385040283,
7,391,,,,1.6991480588912964
7,391,,1.7921339273452759,,
8,399,,,1.7325706481933594,
8,440,,,,1.6352195739746094
8,440,,1.7192898988723755,,
9,449,,,1.6843700408935547,
9,489,,,,1.5922787189483643
9,489,,1.664307713508606,,
10,499,,,1.6315664052963257,
10,538,,,,1.5524461269378662
10,538,,1.6166462898254395,,
11,549,,,1.578768014907837,
11,587,,,,1.5166311264038086
11,587,,1.5750863552093506,,
12,599,,,1.5391814708709717,
12,636,,,,1.4876841306686401
12,636,,1.5367350578308105,,
13,649,,,1.5216553211212158,
13,685,,,,1.466635823249817
13,685,,1.5040909051895142,,
14,699,,,1.4898967742919922,
14,734,,,,1.4451905488967896
14,734,,1.4733641147613525,,
15,749,,,1.445324420928955,
15,783,,,,1.425585150718689
15,783,,1.448556661605835,,
16,799,,,1.4445117712020874,
16,832,,,,1.4115149974822998
16,832,,1.42330002784729,,
17,849,,,1.3970327377319336,
17,881,,,,1.3972280025482178
17,881,,1.4022411108016968,,
18,899,,,1.384371042251587,
18,930,,,,1.3836256265640259
18,930,,1.3800628185272217,,
19,949,,,1.3500914573669434,
19,979,,,,1.3736348152160645
19,979,,1.3618828058242798,,
20,999,,,1.3435461521148682,
20,1028,,,,1.3631452322006226
20,1028,,1.3418525457382202,,
21,1049,,,1.3329048156738281,
21,1077,,,,1.362680196762085
21,1077,,1.325408697128296,,
22,1099,,,1.2999751567840576,
22,1126,,,,1.349565029144287
22,1126,,1.3104280233383179,,
23,1149,,,1.2707661390304565,
23,1175,,,,1.3422538042068481
23,1175,,1.294370174407959,,
24,1199,,,1.25553560256958,
24,1224,,,,1.3403053283691406
24,1224,,1.2777079343795776,,
25,1249,,,1.2727718353271484,
25,1273,,,,1.3390955924987793
25,1273,,1.2634426355361938,,
26,1299,,,1.2507731914520264,
26,1322,,,,1.338582992553711
26,1322,,1.2495839595794678,,
27,1349,,,1.240966558456421,
27,1371,,,,1.3356351852416992
27,1371,,1.2357745170593262,,
28,1399,,,1.2418721914291382,
28,1420,,,,1.3333367109298706
28,1420,,1.221282958984375,,
29,1449,,,1.219421148300171,
29,1469,,,,1.3335635662078857
29,1469,,1.2077020406723022,,
30,1499,,,1.207181692123413,
30,1518,,,,1.330458164215088
30,1518,,1.1938620805740356,,
31,1549,,,1.1961357593536377,
31,1567,,,,1.3346607685089111
31,1567,,1.180051326751709,,
32,1599,,,1.176271677017212,
32,1616,,,,1.3384672403335571
32,1616,,1.1683080196380615,,
33,1649,,,1.2085940837860107,
33,1665,,,,1.3382632732391357
33,1665,,1.1527189016342163,,
34,1699,,,1.1796698570251465,
34,1714,,,,1.3506484031677246
34,1714,,1.1395018100738525,,
35,1749,,,1.1279817819595337,
35,1763,,,,1.3442507982254028
35,1763,,1.1264406442642212,,
36,1799,,,1.1425278186798096,
36,1812,,,,1.3525912761688232
36,1812,,1.112083077430725,,
37,1849,,,1.08450448513031,
37,1861,,,,1.3555970191955566
37,1861,,1.0994091033935547,,
38,1899,,,1.0843634605407715,
38,1910,,,,1.3586771488189697
38,1910,,1.0862396955490112,,
39,1949,,,1.088772177696228,
39,1959,,,,1.3650968074798584
39,1959,,1.0724271535873413,,
40,1999,,,1.0489954948425293,
40,2008,,,,1.3770049810409546
40,2008,,1.0581051111221313,,
41,2049,,,1.0436785221099854,
41,2057,,,,1.3841825723648071
41,2057,,1.0419061183929443,,
42,2099,,,1.0373966693878174,
42,2106,,,,1.3872671127319336
42,2106,,1.0315134525299072,,
43,2149,,,1.0294194221496582,
43,2155,,,,1.4034730195999146
43,2155,,1.0160893201828003,,
44,2199,,,1.016852855682373,
44,2204,,,,1.4120453596115112
44,2204,,1.0034117698669434,,
45,2249,,,0.9994193911552429,
45,2253,,,,1.4239420890808105
45,2253,,0.9901022911071777,,
46,2254,1.4239420890808105,,,
