epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,42,,,,2.634760856628418
0,42,,3.3567776679992676,,
1,49,,,2.5836338996887207,
1,85,,,,2.4824955463409424
1,85,,2.5361886024475098,,
2,99,,,2.468158483505249,
2,128,,,,2.439404249191284
2,128,,2.459110975265503,,
3,149,,,2.417351722717285,
3,171,,,,2.3574345111846924
3,171,,2.412079334259033,,
4,199,,,2.3037495613098145,
4,214,,,,2.163145065307617
4,214,,2.309410810470581,,
5,249,,,2.065429210662842,
5,257,,,,2.0153305530548096
5,257,,2.124669313430786,,
6,299,,,1.942777395248413,
6,300,,,,1.8979171514511108
6,300,,1.9953022003173828,,
7,343,,,,1.7964178323745728
7,343,,1.8990980386734009,,
8,349,,,1.8244261741638184,
8,386,,,,1.7294377088546753
8,386,,1.8165576457977295,,
9,399,,,1.7537914514541626,
9,429,,,,1.676096796989441
9,429,,1.7565529346466064,,
10,449,,,1.7330118417739868,
10,472,,,,1.6371937990188599
10,472,,1.7055742740631104,,
11,499,,,1.6526821851730347,
11,515,,,,1.6008095741271973
11,515,,1.6643086671829224,,
12,549,,,1.6600474119186401,
12,558,,,,1.5688353776931763
12,558,,1.6253007650375366,,
13,599,,,1.5711438655853271,
13,601,,,,1.5410552024841309
13,601,,1.594912052154541,,
14,644,,,,1.5161763429641724
14,644,,1.5643972158432007,,
15,649,,,1.5361169576644897,
15,687,,,,1.4919642210006714
15,687,,1.5367474555969238,,
16,699,,,1.5409801006317139,
16,730,,,,1.4716566801071167
16,730,,1.5089483261108398,,
17,749,,,1.4673153162002563,
17,773,,,,1.455399513244629
17,773,,1.4840584993362427,,
18,799,,,1.4715070724487305,
18,816,,,,1.444883942604065
18,816,,1.4616260528564453,,
19,849,,,1.4725937843322754,
19,859,,,,1.4313474893569946
19,859,,1.4379750490188599,,
20,899,,,1.4569320678710938,
20,902,,,,1.4192191362380981
20,902,,1.4185925722122192,,
21,945,,,,1.4069523811340332
21,945,,1.3994803428649902,,
22,949,,,1.3675613403320312,
22,988,,,,1.3991097211837769
22,988,,1.3804447650909424,,
23,999,,,1.3673202991485596,
23,1031,,,,1.3919280767440796
23,1031,,1.3644719123840332,,
24,1049,,,1.3587088584899902,
24,1074,,,,1.37998366355896
24,1074,,1.3456056118011475,,
25,1099,,,1.2791035175323486,
25,1117,,,,1.3722872734069824
25,1117,,1.329215168952942,,
26,1149,,,1.3009815216064453,
26,1160,,,,1.376110553741455
26,1160,,1.313234567642212,,
27,1199,,,1.284468412399292,
27,1203,,,,1.3636460304260254
27,1203,,1.2986115217208862,,
28,1246,,,,1.3690508604049683
28,1246,,1.2838859558105469,,
29,1249,,,1.2165143489837646,
29,1289,,,,1.3607065677642822
29,1289,,1.2672197818756104,,
30,1299,,,1.282382845878601,
30,1332,,,,1.35915207862854
30,1332,,1.2530076503753662,,
31,1349,,,1.2200658321380615,
31,1375,,,,1.3660968542099
31,1375,,1.2397656440734863,,
32,1399,,,1.231567621231079,
32,1418,,,,1.3564121723175049
32,1418,,1.2255557775497437,,
33,1449,,,1.2356743812561035,
33,1461,,,,1.3619104623794556
33,1461,,1.2124617099761963,,
34,1499,,,1.2130305767059326,
34,1504,,,,1.3597662448883057
34,1504,,1.198538899421692,,
35,1547,,,,1.3589773178100586
35,1547,,1.184016466140747,,
36,1549,,,1.1690897941589355,
36,1590,,,,1.3667869567871094
36,1590,,1.1694525480270386,,
37,1599,,,1.156682014465332,
37,1633,,,,1.3699824810028076
37,1633,,1.157470703125,,
38,1649,,,1.1332011222839355,
38,1676,,,,1.3750145435333252
38,1676,,1.1422351598739624,,
39,1699,,,1.1085526943206787,
39,1719,,,,1.3806456327438354
39,1719,,1.1274492740631104,,
40,1749,,,1.0980224609375,
40,1762,,,,1.3826638460159302
40,1762,,1.1138081550598145,,
41,1799,,,1.1149300336837769,
41,1805,,,,1.3863650560379028
41,1805,,1.099790096282959,,
42,1848,,,,1.3948020935058594
42,1848,,1.0844208002090454,,
43,1849,,,1.048251986503601,
43,1891,,,,1.4033585786819458
43,1891,,1.071555495262146,,
44,1899,,,1.0516445636749268,
44,1934,,,,1.4145697355270386
44,1934,,1.05840265750885,,
45,1949,,,1.0324910879135132,
45,1977,,,,1.4225525856018066
45,1977,,1.043111801147461,,
46,1999,,,1.0442390441894531,
46,2020,,,,1.4298583269119263
46,2020,,1.0289076566696167,,
47,2049,,,1.0317559242248535,
47,2063,,,,1.4408406019210815
47,2063,,1.0155029296875,,
48,2064,1.4408406019210815,,,
