epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.5255637168884277,
0,54,,,,2.5067296028137207
0,54,,2.881833553314209,,
1,99,,,2.459805965423584,
1,109,,,,2.428558826446533
1,109,,2.4793999195098877,,
2,149,,,2.388789653778076,
2,164,,,,2.3266661167144775
2,164,,2.410083532333374,,
3,199,,,2.2182865142822266,
3,219,,,,2.075867176055908
3,219,,2.254138708114624,,
4,249,,,2.06245756149292,
4,274,,,,1.906224250793457
4,274,,2.0457425117492676,,
5,299,,,1.9480209350585938,
5,329,,,,1.7796106338500977
5,329,,1.9077378511428833,,
6,349,,,1.789731740951538,
6,384,,,,1.6995919942855835
6,384,,1.800541877746582,,
7,399,,,1.7306506633758545,
7,439,,,,1.6281150579452515
7,439,,1.7189409732818604,,
8,449,,,1.6605924367904663,
8,494,,,,1.579013466835022
8,494,,1.6548813581466675,,
9,499,,,1.6057052612304688,
9,549,,,1.6001609563827515,
9,549,,,,1.5319395065307617
9,549,,1.6022521257400513,,
10,599,,,1.5347117185592651,
10,604,,,,1.5014933347702026
10,604,,1.5573281049728394,,
11,649,,,1.5170276165008545,
11,659,,,,1.4690778255462646
11,659,,1.5177741050720215,,
12,699,,,1.4817229509353638,
12,714,,,,1.438270092010498
12,714,,1.4841281175613403,,
13,749,,,1.439699649810791,
13,769,,,,1.4206767082214355
13,769,,1.4539644718170166,,
14,799,,,1.3830146789550781,
14,824,,,,1.4014853239059448
14,824,,1.4261045455932617,,
15,849,,,1.4065847396850586,
15,879,,,,1.3858256340026855
15,879,,1.402370572090149,,
16,899,,,1.3989124298095703,
16,934,,,,1.373388648033142
16,934,,1.3805110454559326,,
17,949,,,1.3595869541168213,
17,989,,,,1.360691785812378
17,989,,1.3605334758758545,,
18,999,,,1.314700961112976,
18,1044,,,,1.351011872291565
18,1044,,1.3412569761276245,,
19,1049,,,1.2970588207244873,
19,1099,,,1.3291789293289185,
19,1099,,,,1.344447135925293
19,1099,,1.322949767112732,,
20,1149,,,1.3210140466690063,
20,1154,,,,1.3345814943313599
20,1154,,1.3063377141952515,,
21,1199,,,1.3143815994262695,
21,1209,,,,1.3287886381149292
21,1209,,1.2922192811965942,,
22,1249,,,1.2851717472076416,
22,1264,,,,1.3236641883850098
22,1264,,1.2759653329849243,,
23,1299,,,1.2729213237762451,
23,1319,,,,1.317186951637268
23,1319,,1.2629514932632446,,
24,1349,,,1.2749543190002441,
24,1374,,,,1.3143465518951416
24,1374,,1.2492914199829102,,
25,1399,,,1.2291063070297241,
25,1429,,,,1.3103818893432617
25,1429,,1.2333029508590698,,
26,1449,,,1.2138402462005615,
26,1484,,,,1.3131861686706543
26,1484,,1.2217800617218018,,
27,1499,,,1.182153344154358,
27,1539,,,,1.3088592290878296
27,1539,,1.207983374595642,,
28,1549,,,1.2005113363265991,
28,1594,,,,1.3086179494857788
28,1594,,1.1950433254241943,,
29,1599,,,1.1711732149124146,
29,1649,,,1.2013548612594604,
29,1649,,,,1.3108521699905396
29,1649,,1.1806864738464355,,
30,1699,,,1.1846923828125,
30,1704,,,,1.3038336038589478
30,1704,,1.170418381690979,,
31,1749,,,1.156748652458191,
31,1759,,,,1.3103654384613037
31,1759,,1.1568251848220825,,
32,1799,,,1.1621180772781372,
32,1814,,,,1.3117644786834717
32,1814,,1.1439708471298218,,
33,1849,,,1.1162497997283936,
33,1869,,,,1.3193556070327759
33,1869,,1.131019115447998,,
34,1899,,,1.1215596199035645,
34,1924,,,,1.3222966194152832
34,1924,,1.1199111938476562,,
35,1949,,,1.0846014022827148,
35,1979,,,,1.3237862586975098
35,1979,,1.1064938306808472,,
36,1999,,,1.0971007347106934,
36,2034,,,,1.332836389541626
36,2034,,1.092668890953064,,
37,2049,,,1.05027437210083,
37,2089,,,,1.3345861434936523
37,2089,,1.081894874572754,,
38,2099,,,1.0615590810775757,
38,2144,,,,1.3452889919281006
38,2144,,1.0678596496582031,,
39,2149,,,1.0282310247421265,
39,2199,,,1.071802020072937,
39,2199,,,,1.3465139865875244
39,2199,,1.0556786060333252,,
40,2249,,,1.0552549362182617,
40,2254,,,,1.3565475940704346
40,2254,,1.0421096086502075,,
41,2299,,,1.0491235256195068,
41,2309,,,,1.3596785068511963
41,2309,,1.029707670211792,,
42,2349,,,1.0288548469543457,
42,2364,,,,1.3692511320114136
42,2364,,1.0167902708053589,,
43,2399,,,1.0322339534759521,
43,2419,,,,1.376274585723877
43,2419,,1.0035775899887085,,
44,2449,,,0.9984476566314697,
44,2474,,,,1.3831325769424438
44,2474,,0.9920862317085266,,
45,2499,,,0.9646215438842773,
45,2529,,,,1.3963098526000977
45,2529,,0.978090226650238,,
46,2530,1.3963098526000977,,,
