epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,30,,,,2.6712961196899414
0,30,,3.4332962036132812,,
1,49,,,2.535672187805176,
1,61,,,,2.504909038543701
1,61,,2.5712289810180664,,
2,92,,,,2.4679436683654785
2,92,,2.479158401489258,,
3,99,,,2.45133638381958,
3,123,,,,2.4208831787109375
3,123,,2.4408578872680664,,
4,149,,,2.379505157470703,
4,154,,,,2.3943700790405273
4,154,,2.4032809734344482,,
5,185,,,,2.2681429386138916
5,185,,2.3448076248168945,,
6,199,,,2.2592613697052,
6,216,,,,2.132167339324951
6,216,,2.235668420791626,,
7,247,,,,2.021191120147705
7,247,,2.1012985706329346,,
8,249,,,2.021364212036133,
8,278,,,,1.9356647729873657
8,278,,1.9995288848876953,,
9,299,,,1.916872501373291,
9,309,,,,1.8534824848175049
9,309,,1.9219318628311157,,
10,340,,,,1.7939413785934448
10,340,,1.8516336679458618,,
11,349,,,1.819153904914856,
11,371,,,,1.7453763484954834
11,371,,1.7930986881256104,,
12,399,,,1.7138419151306152,
12,402,,,,1.7032042741775513
12,402,,1.7435723543167114,,
13,433,,,,1.6665830612182617
13,433,,1.7008812427520752,,
14,449,,,1.6586438417434692,
14,464,,,,1.6452802419662476
14,464,,1.6660810708999634,,
15,495,,,,1.6118415594100952
15,495,,1.635348916053772,,
16,499,,,1.5961203575134277,
16,526,,,,1.5954275131225586
16,526,,1.604345440864563,,
17,549,,,1.609853982925415,
17,557,,,,1.574464201927185
17,557,,1.5776641368865967,,
18,588,,,,1.5477019548416138
18,588,,1.5507900714874268,,
19,599,,,1.5321135520935059,
19,619,,,,1.5336259603500366
19,619,,1.5254020690917969,,
20,649,,,1.5152008533477783,
20,650,,,,1.514515995979309
20,650,,1.5051053762435913,,
21,681,,,,1.5048309564590454
21,681,,1.4808686971664429,,
22,699,,,1.4599318504333496,
22,712,,,,1.4932917356491089
22,712,,1.4611185789108276,,
23,743,,,,1.4848880767822266
23,743,,1.44192373752594,,
24,749,,,1.4219400882720947,
24,774,,,,1.4697329998016357
24,774,,1.4215604066848755,,
25,799,,,1.3895622491836548,
25,805,,,,1.468712329864502
25,805,,1.4036637544631958,,
26,836,,,,1.4623662233352661
26,836,,1.3864189386367798,,
27,849,,,1.3421356678009033,
27,867,,,,1.448549509048462
27,867,,1.3685952425003052,,
28,898,,,,1.445214033126831
28,898,,1.350458025932312,,
29,899,,,1.3096914291381836,
29,929,,,,1.4446390867233276
29,929,,1.3349981307983398,,
30,949,,,1.340585470199585,
30,960,,,,1.4384726285934448
30,960,,1.3194016218185425,,
31,991,,,,1.4413496255874634
31,991,,1.3031972646713257,,
32,999,,,1.265939712524414,
32,1022,,,,1.4277375936508179
32,1022,,1.2900432348251343,,
33,1049,,,1.2645392417907715,
33,1053,,,,1.4285858869552612
33,1053,,1.2729547023773193,,
34,1084,,,,1.4306148290634155
34,1084,,1.2590023279190063,,
35,1099,,,1.2449123859405518,
35,1115,,,,1.4292868375778198
35,1115,,1.2431247234344482,,
36,1146,,,,1.433005928993225
36,1146,,1.2274309396743774,,
37,1149,,,1.2085576057434082,
37,1177,,,,1.4350676536560059
37,1177,,1.2100991010665894,,
38,1199,,,1.1949433088302612,
38,1208,,,,1.4383741617202759
38,1208,,1.1950368881225586,,
39,1239,,,,1.44326651096344
39,1239,,1.1820896863937378,,
40,1249,,,1.1423139572143555,
40,1270,,,,1.4440261125564575
40,1270,,1.1643314361572266,,
41,1299,,,1.1663846969604492,
41,1301,,,,1.4516801834106445
41,1301,,1.1510848999023438,,
42,1332,,,,1.4554030895233154
42,1332,,1.1353864669799805,,
43,1349,,,1.1501286029815674,
43,1363,,,,1.4629474878311157
43,1363,,1.1189647912979126,,
44,1394,,,,1.4704689979553223
44,1394,,1.1047037839889526,,
45,1399,,,1.0899819135665894,
45,1425,,,,1.4694815874099731
45,1425,,1.089496374130249,,
46,1449,,,1.0727503299713135,
46,1456,,,,1.4903193712234497
46,1456,,1.0722707509994507,,
47,1487,,,,1.4948800802230835
47,1487,,1.0590975284576416,,
48,1488,1.4948800802230835,,,
