epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.585542678833008,
0,54,,,,2.5522501468658447
0,54,,3.065307140350342,,
1,99,,,2.4587275981903076,
1,109,,,,2.460205316543579
1,109,,2.4995555877685547,,
2,149,,,2.438948392868042,
2,164,,,,2.390775203704834
2,164,,2.4352569580078125,,
3,199,,,2.3266184329986572,
3,219,,,,2.17205548286438
3,219,,2.339387893676758,,
4,249,,,2.104602813720703,
4,274,,,,1.9748913049697876
4,274,,2.128359794616699,,
5,299,,,1.9691323041915894,
5,329,,,,1.816959261894226
5,329,,1.9655506610870361,,
6,349,,,1.861422061920166,
6,384,,,,1.718729853630066
6,384,,1.8458445072174072,,
7,399,,,1.7868807315826416,
7,439,,,,1.6367988586425781
7,439,,1.7577909231185913,,
8,449,,,1.6987253427505493,
8,494,,,,1.5838489532470703
8,494,,1.6895668506622314,,
9,499,,,1.6543350219726562,
9,549,,,1.6134488582611084,
9,549,,,,1.5341814756393433
9,549,,1.6320823431015015,,
10,599,,,1.558316946029663,
10,604,,,,1.5028246641159058
10,604,,1.5857508182525635,,
11,649,,,1.5621412992477417,
11,659,,,,1.4725313186645508
11,659,,1.5438847541809082,,
12,699,,,1.5436913967132568,
12,714,,,,1.4499393701553345
12,714,,1.5088698863983154,,
13,749,,,1.4714503288269043,
13,769,,,,1.4240717887878418
13,769,,1.4767488241195679,,
14,799,,,1.4517937898635864,
14,824,,,,1.4000651836395264
14,824,,1.448509693145752,,
15,849,,,1.4530662298202515,
15,879,,,,1.383436918258667
15,879,,1.4225906133651733,,
16,899,,,1.3867204189300537,
16,934,,,,1.3731197118759155
16,934,,1.401566982269287,,
17,949,,,1.361266851425171,
17,989,,,,1.3615742921829224
17,989,,1.379271388053894,,
18,999,,,1.3697922229766846,
18,1044,,,,1.3523374795913696
18,1044,,1.3604764938354492,,
19,1049,,,1.30763840675354,
19,1099,,,1.3418774604797363,
19,1099,,,,1.3428751230239868
19,1099,,1.342146396636963,,
20,1149,,,1.3393625020980835,
20,1154,,,,1.3366856575012207
20,1154,,1.3247060775756836,,
21,1199,,,1.328196406364441,
21,1209,,,,1.3317972421646118
21,1209,,1.3097379207611084,,
22,1249,,,1.316650390625,
22,1264,,,,1.3221620321273804
22,1264,,1.2953073978424072,,
23,1299,,,1.2927004098892212,
23,1319,,,,1.320684790611267
23,1319,,1.2793138027191162,,
24,1349,,,1.281129240989685,
24,1374,,,,1.313358187675476
24,1374,,1.2645114660263062,,
25,1399,,,1.2233861684799194,
25,1429,,,,1.316175937652588
25,1429,,1.2514452934265137,,
26,1449,,,1.2148452997207642,
26,1484,,,,1.3106008768081665
26,1484,,1.2375465631484985,,
27,1499,,,1.2261704206466675,
27,1539,,,,1.3107808828353882
27,1539,,1.2237627506256104,,
28,1549,,,1.2334133386611938,
28,1594,,,,1.3059682846069336
28,1594,,1.2126480340957642,,
29,1599,,,1.172165870666504,
29,1649,,,1.2206764221191406,
29,1649,,,,1.310024380683899
29,1649,,1.1986984014511108,,
30,1699,,,1.2015132904052734,
30,1704,,,,1.3072580099105835
30,1704,,1.1857831478118896,,
31,1749,,,1.1870129108428955,
31,1759,,,,1.310827612876892
31,1759,,1.1739174127578735,,
32,1799,,,1.186945915222168,
32,1814,,,,1.310287356376648
32,1814,,1.160630464553833,,
33,1849,,,1.1652247905731201,
33,1869,,,,1.3156970739364624
33,1869,,1.1479380130767822,,
34,1899,,,1.1407275199890137,
34,1924,,,,1.3185112476348877
34,1924,,1.1352128982543945,,
35,1949,,,1.132678508758545,
35,1979,,,,1.3243480920791626
35,1979,,1.1241847276687622,,
36,1999,,,1.102628231048584,
36,2034,,,,1.3262739181518555
36,2034,,1.1108894348144531,,
37,2049,,,1.075991153717041,
37,2089,,,,1.3315578699111938
37,2089,,1.0983725786209106,,
38,2099,,,1.0727753639221191,
38,2144,,,,1.3375990390777588
38,2144,,1.0862581729888916,,
39,2149,,,1.0292842388153076,
39,2199,,,1.0843099355697632,
39,2199,,,,1.342894196510315
39,2199,,1.0722936391830444,,
40,2249,,,1.0667009353637695,
40,2254,,,,1.3492151498794556
40,2254,,1.0601956844329834,,
41,2299,,,1.095373511314392,
41,2309,,,,1.358100175857544
41,2309,,1.0508431196212769,,
42,2349,,,1.017810583114624,
42,2364,,,,1.362476110458374
42,2364,,1.0357873439788818,,
43,2399,,,1.0341333150863647,
43,2419,,,,1.3740932941436768
43,2419,,1.022274136543274,,
44,2420,1.3740932941436768,,,
