epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,30,,,,2.7949299812316895
0,30,,3.2316906452178955,,
1,49,,,2.5436625480651855,
1,61,,,,2.5290980339050293
1,61,,2.6066973209381104,,
2,92,,,,2.4848880767822266
2,92,,2.491760730743408,,
3,99,,,2.4525885581970215,
3,123,,,,2.458738088607788
3,123,,2.4566776752471924,,
4,149,,,2.4277210235595703,
4,154,,,,2.431122303009033
4,154,,2.429849624633789,,
5,185,,,,2.3521041870117188
5,185,,2.390458345413208,,
6,199,,,2.307924270629883,
6,216,,,,2.1929783821105957
6,216,,2.307636260986328,,
7,247,,,,2.0757369995117188
7,247,,2.1738972663879395,,
8,249,,,2.1053643226623535,
8,278,,,,1.9834508895874023
8,278,,2.0683181285858154,,
9,299,,,1.9787342548370361,
9,309,,,,1.8954154253005981
9,309,,1.9854483604431152,,
10,340,,,,1.8268238306045532
10,340,,1.9146863222122192,,
11,349,,,1.8589838743209839,
11,371,,,,1.7686550617218018
11,371,,1.8493192195892334,,
12,399,,,1.7520252466201782,
12,402,,,,1.7260924577713013
12,402,,1.797671914100647,,
13,433,,,,1.700011968612671
13,433,,1.7526108026504517,,
14,449,,,1.7089948654174805,
14,464,,,,1.6583101749420166
14,464,,1.715681791305542,,
15,495,,,,1.623582363128662
15,495,,1.6808000802993774,,
16,499,,,1.6781039237976074,
16,526,,,,1.6016616821289062
16,526,,1.6508848667144775,,
17,549,,,1.6265461444854736,
17,557,,,,1.5783904790878296
17,557,,1.6189522743225098,,
18,588,,,,1.5631564855575562
18,588,,1.593289852142334,,
19,599,,,1.5733813047409058,
19,619,,,,1.5399014949798584
19,619,,1.569593906402588,,
20,649,,,1.569784164428711,
20,650,,,,1.5279335975646973
20,650,,1.545602560043335,,
21,681,,,,1.5207464694976807
21,681,,1.524844765663147,,
22,699,,,1.49949049949646,
22,712,,,,1.505230188369751
22,712,,1.504655122756958,,
23,743,,,,1.4902727603912354
23,743,,1.4838151931762695,,
24,749,,,1.4214622974395752,
24,774,,,,1.4848686456680298
24,774,,1.4636845588684082,,
25,799,,,1.4440674781799316,
25,805,,,,1.4678078889846802
25,805,,1.4471176862716675,,
26,836,,,,1.464309573173523
26,836,,1.4279485940933228,,
27,849,,,1.3904132843017578,
27,867,,,,1.46083664894104
27,867,,1.4126569032669067,,
28,898,,,,1.4539711475372314
28,898,,1.3929524421691895,,
29,899,,,1.366609811782837,
29,929,,,,1.4539403915405273
29,929,,1.3764468431472778,,
30,949,,,1.3970866203308105,
30,960,,,,1.4385745525360107
30,960,,1.3620374202728271,,
31,991,,,,1.4411466121673584
31,991,,1.3448060750961304,,
32,999,,,1.3493767976760864,
32,1022,,,,1.440902829170227
32,1022,,1.329134225845337,,
33,1049,,,1.311962604522705,
33,1053,,,,1.4380955696105957
33,1053,,1.3133567571640015,,
34,1084,,,,1.4316463470458984
34,1084,,1.300096035003662,,
35,1099,,,1.2951995134353638,
35,1115,,,,1.4400215148925781
35,1115,,1.2801752090454102,,
36,1146,,,,1.437028169631958
36,1146,,1.267030954360962,,
37,1149,,,1.2629197835922241,
37,1177,,,,1.4399490356445312
37,1177,,1.2533564567565918,,
38,1199,,,1.283345103263855,
38,1208,,,,1.4439774751663208
38,1208,,1.2370409965515137,,
39,1239,,,,1.451892375946045
39,1239,,1.2224653959274292,,
40,1249,,,1.1935811042785645,
40,1270,,,,1.456323266029358
40,1270,,1.2063425779342651,,
41,1299,,,1.2105565071105957,
41,1301,,,,1.4582501649856567
41,1301,,1.1906474828720093,,
42,1332,,,,1.463029146194458
42,1332,,1.1764066219329834,,
43,1349,,,1.1560823917388916,
43,1363,,,,1.4732909202575684
43,1363,,1.1582553386688232,,
44,1394,,,,1.4788018465042114
44,1394,,1.1417057514190674,,
45,1399,,,1.0977176427841187,
45,1425,,,,1.4830236434936523
45,1425,,1.12999427318573,,
46,1449,,,1.136474609375,
46,1456,,,,1.496174931526184
46,1456,,1.1130684614181519,,
47,1487,,,,1.5062767267227173
47,1487,,1.0958678722381592,,
48,1499,,,1.069655179977417,
48,1518,,,,1.5160452127456665
48,1518,,1.0811445713043213,,
49,1549,,,1.0797593593597412,
49,1549,,,,1.519019365310669
49,1549,,1.0650317668914795,,
50,1550,1.519019365310669,,,
