epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.5212955474853516,
0,61,,,,2.5120933055877686
0,61,,2.9463038444519043,,
1,99,,,2.450671434402466,
1,123,,,,2.4729061126708984
1,123,,2.486502170562744,,
2,149,,,2.437608480453491,
2,185,,,,2.3352015018463135
2,185,,2.419551372528076,,
3,199,,,2.330380439758301,
3,247,,,,2.0868048667907715
3,247,,2.2497777938842773,,
4,249,,,2.1008849143981934,
4,299,,,1.996830701828003,
4,309,,,,1.9350515604019165
4,309,,2.039457321166992,,
5,349,,,1.8615238666534424,
5,371,,,,1.793609619140625
5,371,,1.9053469896316528,,
6,399,,,1.7970256805419922,
6,433,,,,1.7077555656433105
6,433,,1.7989333868026733,,
7,449,,,1.720802903175354,
7,495,,,,1.6391382217407227
7,495,,1.7191845178604126,,
8,499,,,1.7134740352630615,
8,549,,,1.6513725519180298,
8,557,,,,1.5841014385223389
8,557,,1.657080054283142,,
9,599,,,1.6233443021774292,
9,619,,,,1.53261137008667
9,619,,1.6068264245986938,,
10,649,,,1.575690746307373,
10,681,,,,1.4985568523406982
10,681,,1.5639328956604004,,
11,699,,,1.5328996181488037,
11,743,,,,1.4761734008789062
11,743,,1.5261327028274536,,
12,749,,,1.5659433603286743,
12,799,,,1.5018433332443237,
12,805,,,,1.4459129571914673
12,805,,1.49461030960083,,
13,849,,,1.4442111253738403,
13,867,,,,1.4212311506271362
13,867,,1.4660604000091553,,
14,899,,,1.4190791845321655,
14,929,,,,1.3934303522109985
14,929,,1.4374301433563232,,
15,949,,,1.3857529163360596,
15,991,,,,1.384741187095642
15,991,,1.412942886352539,,
16,999,,,1.387403964996338,
16,1049,,,1.3998866081237793,
16,1053,,,,1.3723244667053223
16,1053,,1.391426920890808,,
17,1099,,,1.3837807178497314,
17,1115,,,,1.3595149517059326
17,1115,,1.3718222379684448,,
18,1149,,,1.3769829273223877,
18,1177,,,,1.3448686599731445
18,1177,,1.354736089706421,,
19,1199,,,1.3454087972640991,
19,1239,,,,1.343987226486206
19,1239,,1.336206316947937,,
20,1249,,,1.3204586505889893,
20,1299,,,1.320019245147705,
20,1301,,,,1.3287941217422485
20,1301,,1.3223233222961426,,
21,1349,,,1.310664176940918,
21,1363,,,,1.3399989604949951
21,1363,,1.3063801527023315,,
22,1399,,,1.3112609386444092,
22,1425,,,,1.3180853128433228
22,1425,,1.2925889492034912,,
23,1449,,,1.280042052268982,
23,1487,,,,1.312041163444519
23,1487,,1.2787729501724243,,
24,1499,,,1.289473295211792,
24,1549,,,1.449973464012146,
24,1549,,,,1.3066532611846924
24,1549,,1.2662838697433472,,
25,1599,,,1.2563210725784302,
25,1611,,,,1.3108161687850952
25,1611,,1.253875970840454,,
26,1649,,,1.2376806735992432,
26,1673,,,,1.2982962131500244
26,1673,,1.2408134937286377,,
27,1699,,,1.2385886907577515,
27,1735,,,,1.299709677696228
27,1735,,1.229735255241394,,
28,1749,,,1.198529601097107,
28,1797,,,,1.2917678356170654
28,1797,,1.218341588973999,,
29,1799,,,1.2080888748168945,
29,1849,,,1.2216928005218506,
29,1859,,,,1.303149700164795
29,1859,,1.2060421705245972,,
30,1899,,,1.2013883590698242,
30,1921,,,,1.2952162027359009
30,1921,,1.19492769241333,,
31,1949,,,1.175185203552246,
31,1983,,,,1.297706961631775
31,1983,,1.1840484142303467,,
32,1999,,,1.1439515352249146,
32,2045,,,,1.2901285886764526
32,2045,,1.172576904296875,,
33,2049,,,1.184295654296875,
33,2099,,,1.1788467168807983,
33,2107,,,,1.2971082925796509
33,2107,,1.1612566709518433,,
34,2149,,,1.1568114757537842,
34,2169,,,,1.2966229915618896
34,2169,,1.1515343189239502,,
35,2199,,,1.1297918558120728,
35,2231,,,,1.2989946603775024
35,2231,,1.140010118484497,,
36,2249,,,1.125349998474121,
36,2293,,,,1.3048681020736694
36,2293,,1.1288005113601685,,
37,2299,,,1.1100742816925049,
37,2349,,,1.1315301656723022,
37,2355,,,,1.304917573928833
37,2355,,1.1172212362289429,,
38,2399,,,1.1152493953704834,
38,2417,,,,1.3137941360473633
38,2417,,1.105581283569336,,
39,2449,,,1.1075387001037598,
39,2479,,,,1.3102636337280273
39,2479,,1.0933164358139038,,
40,2499,,,1.0691213607788086,
40,2541,,,,1.314926266670227
40,2541,,1.0846490859985352,,
41,2549,,,1.0520129203796387,
41,2599,,,1.07651686668396,
41,2603,,,,1.318459391593933
41,2603,,1.0722739696502686,,
42,2649,,,1.0416566133499146,
42,2665,,,,1.3247216939926147
42,2665,,1.061464786529541,,
43,2699,,,1.048229455947876,
43,2727,,,,1.326662540435791
43,2727,,1.0502039194107056,,
44,2749,,,1.029526948928833,
44,2789,,,,1.3365823030471802
44,2789,,1.0384577512741089,,
45,2799,,,1.0294244289398193,
45,2849,,,1.0485351085662842,
45,2851,,,,1.3407578468322754
45,2851,,1.0267385244369507,,
46,2899,,,1.0219987630844116,
46,2913,,,,1.3526266813278198
46,2913,,1.016312837600708,,
47,2949,,,1.0417540073394775,
47,2975,,,,1.3510326147079468
47,2975,,1.0047166347503662,,
48,2976,1.3510326147079468,,,
