epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,30,,,,2.751720905303955
0,30,,3.417881727218628,,
1,49,,,2.502851724624634,
1,61,,,,2.5201592445373535
1,61,,2.542494535446167,,
2,92,,,,2.4822492599487305
2,92,,2.4282853603363037,,
3,99,,,2.3984758853912354,
3,123,,,,2.4466521739959717
3,123,,2.388475179672241,,
4,149,,,2.334226369857788,
4,154,,,,2.394160032272339
4,154,,2.35160756111145,,
5,185,,,,2.290226459503174
5,185,,2.2978553771972656,,
6,199,,,2.2116594314575195,
6,216,,,,2.1522629261016846
6,216,,2.1980111598968506,,
7,247,,,,2.032137155532837
7,247,,2.0618927478790283,,
8,249,,,1.9915239810943604,
8,278,,,,1.9502174854278564
8,278,,1.963901400566101,,
9,299,,,1.8732832670211792,
9,309,,,,1.8718478679656982
9,309,,1.8862154483795166,,
10,340,,,,1.8098384141921997
10,340,,1.817825198173523,,
11,349,,,1.7825442552566528,
11,371,,,,1.7601548433303833
11,371,,1.764249324798584,,
12,399,,,1.7088189125061035,
12,402,,,,1.7237414121627808
12,402,,1.7157483100891113,,
13,433,,,,1.689542531967163
13,433,,1.6754016876220703,,
14,449,,,1.6366817951202393,
14,464,,,,1.6575403213500977
14,464,,1.6401129961013794,,
15,495,,,,1.6341195106506348
15,495,,1.6092804670333862,,
16,499,,,1.5865960121154785,
16,526,,,,1.6102272272109985
16,526,,1.5822498798370361,,
17,549,,,1.5669747591018677,
17,557,,,,1.5885738134384155
17,557,,1.5559613704681396,,
18,588,,,,1.5651371479034424
18,588,,1.5286166667938232,,
19,599,,,1.498971700668335,
19,619,,,,1.5502676963806152
19,619,,1.5062190294265747,,
20,649,,,1.490305781364441,
20,650,,,,1.5356429815292358
20,650,,1.4847633838653564,,
21,681,,,,1.5237946510314941
21,681,,1.4644842147827148,,
22,699,,,1.4479060173034668,
22,712,,,,1.5085864067077637
22,712,,1.443769097328186,,
23,743,,,,1.4996027946472168
23,743,,1.4236303567886353,,
24,749,,,1.3754277229309082,
24,774,,,,1.4954899549484253
24,774,,1.4047497510910034,,
25,799,,,1.409309983253479,
25,805,,,,1.4846729040145874
25,805,,1.3892498016357422,,
26,836,,,,1.4725301265716553
26,836,,1.369765043258667,,
27,849,,,1.3658502101898193,
27,867,,,,1.4663102626800537
27,867,,1.3555147647857666,,
28,898,,,,1.4667561054229736
28,898,,1.3381099700927734,,
29,899,,,1.2878246307373047,
29,929,,,,1.4631094932556152
29,929,,1.3222832679748535,,
30,949,,,1.3130576610565186,
30,960,,,,1.4545087814331055
30,960,,1.3084206581115723,,
31,991,,,,1.455519437789917
31,991,,1.28964364528656,,
32,999,,,1.2745962142944336,
32,1022,,,,1.4557011127471924
32,1022,,1.2767200469970703,,
33,1049,,,1.2544987201690674,
33,1053,,,,1.4499452114105225
33,1053,,1.260539174079895,,
34,1084,,,,1.4544017314910889
34,1084,,1.2464683055877686,,
35,1099,,,1.227899432182312,
35,1115,,,,1.463928461074829
35,1115,,1.2329968214035034,,
36,1146,,,,1.4586771726608276
36,1146,,1.2173937559127808,,
37,1149,,,1.208619236946106,
37,1177,,,,1.4535629749298096
37,1177,,1.2000921964645386,,
38,1199,,,1.2293860912322998,
38,1208,,,,1.4646507501602173
38,1208,,1.1877670288085938,,
39,1239,,,,1.4682016372680664
39,1239,,1.171829104423523,,
40,1249,,,1.1482877731323242,
40,1270,,,,1.4674183130264282
40,1270,,1.155948281288147,,
41,1299,,,1.1591556072235107,
41,1301,,,,1.4702601432800293
41,1301,,1.1398169994354248,,
42,1332,,,,1.482250452041626
42,1332,,1.1294094324111938,,
43,1349,,,1.1284185647964478,
43,1363,,,,1.487504482269287
43,1363,,1.111120343208313,,
44,1394,,,,1.4977344274520874
44,1394,,1.0967119932174683,,
45,1399,,,1.0708564519882202,
45,1425,,,,1.5036206245422363
45,1425,,1.0795366764068604,,
46,1449,,,1.1040127277374268,
46,1456,,,,1.5174504518508911
46,1456,,1.067120909690857,,
47,1487,,,,1.5299640893936157
47,1487,,1.0531216859817505,,
48,1499,,,1.0106987953186035,
48,1518,,,,1.5288820266723633
48,1518,,1.0390596389770508,,
49,1519,1.5288820266723633,,,
