epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.6083335876464844,
0,54,,,,2.5619804859161377
0,54,,3.1730706691741943,,
1,99,,,2.480924129486084,
1,109,,,,2.462636709213257
1,109,,2.509676456451416,,
2,149,,,2.4242849349975586,
2,164,,,,2.3761608600616455
2,164,,2.4392571449279785,,
3,199,,,2.3311312198638916,
3,219,,,,2.1717002391815186
3,219,,2.3414738178253174,,
4,249,,,2.1271657943725586,
4,274,,,,1.972097635269165
4,274,,2.1343090534210205,,
5,299,,,1.9665888547897339,
5,329,,,,1.8267766237258911
5,329,,1.9664857387542725,,
6,349,,,1.87019681930542,
6,384,,,,1.716233253479004
6,384,,1.8464305400848389,,
7,399,,,1.7761123180389404,
7,439,,,,1.6464922428131104
7,439,,1.7551532983779907,,
8,449,,,1.6986937522888184,
8,494,,,,1.5926672220230103
8,494,,1.6877973079681396,,
9,499,,,1.641923427581787,
9,549,,,1.6421687602996826,
9,549,,,,1.5458141565322876
9,549,,1.630659580230713,,
10,599,,,1.5704044103622437,
10,604,,,,1.5107301473617554
10,604,,1.58530592918396,,
11,649,,,1.5725388526916504,
11,659,,,,1.4720264673233032
11,659,,1.5434348583221436,,
12,699,,,1.4929711818695068,
12,714,,,,1.4496170282363892
12,714,,1.5080686807632446,,
13,749,,,1.507140040397644,
13,769,,,,1.4257516860961914
13,769,,1.4763277769088745,,
14,799,,,1.4389994144439697,
14,824,,,,1.409270167350769
14,824,,1.4488612413406372,,
15,849,,,1.393120527267456,
15,879,,,,1.3927212953567505
15,879,,1.4240375757217407,,
16,899,,,1.388769268989563,
16,934,,,,1.3830140829086304
16,934,,1.4022588729858398,,
17,949,,,1.3806029558181763,
17,989,,,,1.3690123558044434
17,989,,1.3799045085906982,,
18,999,,,1.341019630432129,
18,1044,,,,1.3562322854995728
18,1044,,1.360508680343628,,
19,1049,,,1.3260746002197266,
19,1099,,,1.3369848728179932,
19,1099,,,,1.3446582555770874
19,1099,,1.3423089981079102,,
20,1149,,,1.3495233058929443,
20,1154,,,,1.3434964418411255
20,1154,,1.3266465663909912,,
21,1199,,,1.3448777198791504,
21,1209,,,,1.333512306213379
21,1209,,1.309887409210205,,
22,1249,,,1.3041093349456787,
22,1264,,,,1.3271818161010742
22,1264,,1.2933971881866455,,
23,1299,,,1.2948604822158813,
23,1319,,,,1.3205046653747559
23,1319,,1.2799586057662964,,
24,1349,,,1.2919872999191284,
24,1374,,,,1.3156989812850952
24,1374,,1.2644591331481934,,
25,1399,,,1.256831169128418,
25,1429,,,,1.3130735158920288
25,1429,,1.2497551441192627,,
26,1449,,,1.2474905252456665,
26,1484,,,,1.3107101917266846
26,1484,,1.2372922897338867,,
27,1499,,,1.2416852712631226,
27,1539,,,,1.3101757764816284
27,1539,,1.225192904472351,,
28,1549,,,1.2177746295928955,
28,1594,,,,1.3127704858779907
28,1594,,1.2110437154769897,,
29,1599,,,1.1913056373596191,
29,1649,,,1.219157099723816,
29,1649,,,,1.310423731803894
29,1649,,1.1986486911773682,,
30,1699,,,1.1927001476287842,
30,1704,,,,1.3113722801208496
30,1704,,1.1852643489837646,,
31,1749,,,1.1770577430725098,
31,1759,,,,1.3079715967178345
31,1759,,1.1725902557373047,,
32,1799,,,1.1760833263397217,
32,1814,,,,1.3174138069152832
32,1814,,1.1607271432876587,,
33,1849,,,1.1305668354034424,
33,1869,,,,1.3221246004104614
33,1869,,1.1478921175003052,,
34,1899,,,1.12528657913208,
34,1924,,,,1.3216347694396973
34,1924,,1.1363608837127686,,
35,1949,,,1.079321026802063,
35,1979,,,,1.3229271173477173
35,1979,,1.1230499744415283,,
36,1999,,,1.1038036346435547,
36,2034,,,,1.326249122619629
36,2034,,1.111741542816162,,
37,2049,,,1.0745488405227661,
37,2089,,,,1.3350155353546143
37,2089,,1.098362684249878,,
38,2099,,,1.0529334545135498,
38,2144,,,,1.341564416885376
38,2144,,1.0865211486816406,,
39,2149,,,1.0895758867263794,
39,2199,,,1.054247498512268,
39,2199,,,,1.3486766815185547
39,2199,,1.074000358581543,,
40,2249,,,1.097359299659729,
40,2254,,,,1.3550397157669067
40,2254,,1.0600095987319946,,
41,2299,,,1.0484287738800049,
41,2309,,,,1.352541208267212
41,2309,,1.047633171081543,,
42,2349,,,1.0519070625305176,
42,2364,,,,1.3624191284179688
42,2364,,1.036137580871582,,
43,2399,,,1.0611069202423096,
43,2419,,,,1.3639116287231445
43,2419,,1.0235841274261475,,
44,2449,,,1.0161601305007935,
44,2474,,,,1.378066897392273
44,2474,,1.0122805833816528,,
45,2499,,,1.0126597881317139,
45,2529,,,,1.3886985778808594
45,2529,,0.9986589550971985,,
46,2549,,,0.978750467300415,
46,2584,,,,1.398072600364685
46,2584,,0.9846634864807129,,
47,2585,1.398072600364685,,,
