epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,42,,,,2.5928001403808594
0,42,,3.166879653930664,,
1,49,,,2.552475690841675,
1,85,,,,2.473940849304199
1,85,,2.5175914764404297,,
2,99,,,2.4676713943481445,
2,128,,,,2.4294326305389404
2,128,,2.4510247707366943,,
3,149,,,2.3967549800872803,
3,171,,,,2.3673794269561768
3,171,,2.406029224395752,,
4,199,,,2.289529323577881,
4,214,,,,2.1710550785064697
4,214,,2.3073782920837402,,
5,249,,,2.1037063598632812,
5,257,,,,2.016221284866333
5,257,,2.1358470916748047,,
6,299,,,1.9592654705047607,
6,300,,,,1.8909441232681274
6,300,,1.9942518472671509,,
7,343,,,,1.7869808673858643
7,343,,1.8928937911987305,,
8,349,,,1.868972659111023,
8,386,,,,1.715428113937378
8,386,,1.8091059923171997,,
9,399,,,1.7593913078308105,
9,429,,,,1.6517221927642822
9,429,,1.7442609071731567,,
10,449,,,1.7072713375091553,
10,472,,,,1.6135014295578003
10,472,,1.6925238370895386,,
11,499,,,1.6435463428497314,
11,515,,,,1.5742615461349487
11,515,,1.6461622714996338,,
12,549,,,1.6011404991149902,
12,558,,,,1.5435800552368164
12,558,,1.6053601503372192,,
13,599,,,1.5957930088043213,
13,601,,,,1.516873836517334
13,601,,1.570094347000122,,
14,644,,,,1.494313359260559
14,644,,1.5377918481826782,,
15,649,,,1.5113484859466553,
15,687,,,,1.4775453805923462
15,687,,1.5092726945877075,,
16,699,,,1.5142855644226074,
16,730,,,,1.4590449333190918
16,730,,1.4823676347732544,,
17,749,,,1.4835431575775146,
17,773,,,,1.438509225845337
17,773,,1.457074522972107,,
18,799,,,1.4346907138824463,
18,816,,,,1.4284533262252808
18,816,,1.4352589845657349,,
19,849,,,1.3886737823486328,
19,859,,,,1.411062240600586
19,859,,1.413187026977539,,
20,899,,,1.3901984691619873,
20,902,,,,1.4054126739501953
20,902,,1.3934944868087769,,
21,945,,,,1.3914821147918701
21,945,,1.3739919662475586,,
22,949,,,1.3629106283187866,
22,988,,,,1.3817118406295776
22,988,,1.357107162475586,,
23,999,,,1.3258006572723389,
23,1031,,,,1.3822561502456665
23,1031,,1.3398172855377197,,
24,1049,,,1.3199946880340576,
24,1074,,,,1.3741737604141235
24,1074,,1.324289321899414,,
25,1099,,,1.3181052207946777,
25,1117,,,,1.3670244216918945
25,1117,,1.3097456693649292,,
26,1149,,,1.2915489673614502,
26,1160,,,,1.3661481142044067
26,1160,,1.2936848402023315,,
27,1199,,,1.2900651693344116,
27,1203,,,,1.3612083196640015
27,1203,,1.2791856527328491,,
28,1246,,,,1.3592077493667603
28,1246,,1.2644305229187012,,
29,1249,,,1.2425720691680908,
29,1289,,,,1.3614954948425293
29,1289,,1.2498879432678223,,
30,1299,,,1.2564442157745361,
30,1332,,,,1.3596729040145874
30,1332,,1.236983060836792,,
31,1349,,,1.2237801551818848,
31,1375,,,,1.358370065689087
31,1375,,1.2224997282028198,,
32,1399,,,1.2485072612762451,
32,1418,,,,1.357774019241333
32,1418,,1.2101209163665771,,
33,1449,,,1.2053501605987549,
33,1461,,,,1.3577375411987305
33,1461,,1.1940391063690186,,
34,1499,,,1.1827378273010254,
34,1504,,,,1.3685634136199951
34,1504,,1.1821521520614624,,
35,1547,,,,1.3699897527694702
35,1547,,1.1675364971160889,,
36,1549,,,1.1110138893127441,
36,1590,,,,1.374572992324829
36,1590,,1.1543407440185547,,
37,1599,,,1.1269162893295288,
37,1633,,,,1.3805229663848877
37,1633,,1.1411750316619873,,
38,1649,,,1.0937583446502686,
38,1676,,,,1.3813635110855103
38,1676,,1.1256005764007568,,
39,1699,,,1.1040791273117065,
39,1719,,,,1.3941230773925781
39,1719,,1.1119967699050903,,
40,1749,,,1.106813669204712,
40,1762,,,,1.3948872089385986
40,1762,,1.0980204343795776,,
41,1799,,,1.087559461593628,
41,1805,,,,1.4069703817367554
41,1805,,1.0851000547409058,,
42,1848,,,,1.4071866273880005
42,1848,,1.0706658363342285,,
43,1849,,,1.0388071537017822,
43,1891,,,,1.421038031578064
43,1891,,1.0571882724761963,,
44,1899,,,1.0400049686431885,
44,1934,,,,1.423391580581665
44,1934,,1.042150855064392,,
45,1949,,,1.0212583541870117,
45,1977,,,,1.4350677728652954
45,1977,,1.028289556503296,,
46,1999,,,1.0262210369110107,
46,2020,,,,1.459458827972412
46,2020,,1.0151704549789429,,
47,2049,,,0.9991455078125,
47,2063,,,,1.4555561542510986
47,2063,,0.9998787045478821,,
48,2099,,,1.01024329662323,
48,2106,,,,1.4666469097137451
48,2106,,0.9841064810752869,,
49,2107,1.4666469097137451,,,
