epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,18,,,,3.190138816833496
0,18,,3.453902006149292,,
1,37,,,,2.6651763916015625
1,37,,2.8495986461639404,,
2,49,,,2.5571842193603516,
2,56,,,,2.5433759689331055
2,56,,2.566253423690796,,
3,75,,,,2.5012900829315186
3,75,,2.4971113204956055,,
4,94,,,,2.4813544750213623
4,94,,2.464057207107544,,
5,99,,,2.4499144554138184,
5,113,,,,2.4653289318084717
5,113,,2.446072816848755,,
6,132,,,,2.462027072906494
6,132,,2.4235939979553223,,
7,149,,,2.3992438316345215,
7,151,,,,2.436962604522705
7,151,,2.401884078979492,,
8,170,,,,2.397585153579712
8,170,,2.3819797039031982,,
9,189,,,,2.342266798019409
9,189,,2.3464112281799316,,
10,199,,,2.2999255657196045,
10,208,,,,2.2511706352233887
10,208,,2.2877938747406006,,
11,227,,,,2.155418872833252
11,227,,2.2084624767303467,,
12,246,,,,2.0907320976257324
12,246,,2.1225173473358154,,
13,249,,,2.0478382110595703,
13,265,,,,2.0258073806762695
13,265,,2.055525302886963,,
14,284,,,,1.982357144355774
14,284,,2.001654624938965,,
15,299,,,1.9462212324142456,
15,303,,,,1.930009365081787
15,303,,1.9548574686050415,,
16,322,,,,1.884622573852539
16,322,,1.9103753566741943,,
17,341,,,,1.8556638956069946
17,341,,1.871681809425354,,
18,349,,,1.8491671085357666,
18,360,,,,1.8138843774795532
18,360,,1.8347022533416748,,
19,379,,,,1.7854557037353516
19,379,,1.7985377311706543,,
20,398,,,,1.7620481252670288
20,398,,1.769008994102478,,
21,399,,,1.7386302947998047,
21,417,,,,1.747981071472168
21,417,,1.7374887466430664,,
22,436,,,,1.7185847759246826
22,436,,1.7122617959976196,,
23,449,,,1.702179193496704,
23,455,,,,1.7091320753097534
23,455,,1.6871488094329834,,
24,474,,,,1.6961710453033447
24,474,,1.6650704145431519,,
25,493,,,,1.6746430397033691
25,493,,1.643189787864685,,
26,499,,,1.619490146636963,
26,512,,,,1.6640833616256714
26,512,,1.6227906942367554,,
27,531,,,,1.6595652103424072
27,531,,1.603744626045227,,
28,549,,,1.5992573499679565,
28,550,,,,1.645630121231079
28,550,,1.5865442752838135,,
29,569,,,,1.638337254524231
29,569,,1.564732313156128,,
30,588,,,,1.6263386011123657
30,588,,1.5444742441177368,,
31,599,,,1.5401136875152588,
31,607,,,,1.6165828704833984
31,607,,1.5276882648468018,,
32,626,,,,1.6150903701782227
32,626,,1.514445185661316,,
33,645,,,,1.6128604412078857
33,645,,1.495190978050232,,
34,649,,,1.4785661697387695,
34,664,,,,1.6084884405136108
34,664,,1.4779820442199707,,
35,683,,,,1.6010936498641968
35,683,,1.4592636823654175,,
36,699,,,1.488796591758728,
36,702,,,,1.6062371730804443
36,702,,1.4458976984024048,,
37,721,,,,1.6005117893218994
37,721,,1.4286408424377441,,
38,740,,,,1.5926753282546997
38,740,,1.4123122692108154,,
39,749,,,1.3773797750473022,
39,759,,,,1.598699927330017
39,759,,1.3946346044540405,,
40,778,,,,1.5927765369415283
40,778,,1.380618929862976,,
41,797,,,,1.5983223915100098
41,797,,1.365064024925232,,
42,799,,,1.3397934436798096,
42,816,,,,1.6015459299087524
42,816,,1.3499125242233276,,
43,835,,,,1.6058026552200317
43,835,,1.3308782577514648,,
44,849,,,1.31710946559906,
44,854,,,,1.600473165512085
44,854,,1.3157936334609985,,
45,873,,,,1.6083264350891113
45,873,,1.2990273237228394,,
46,892,,,,1.6095993518829346
46,892,,1.2834827899932861,,
47,899,,,1.2559199333190918,
47,911,,,,1.6259719133377075
47,911,,1.2693581581115723,,
48,930,,,,1.633285641670227
48,930,,1.251206398010254,,
49,949,,,1.2270095348358154,
49,949,,,,1.634402871131897
49,949,,1.2360966205596924,,
50,968,,,,1.6361078023910522
50,968,,1.2175471782684326,,
51,987,,,,1.6531453132629395
51,987,,1.2035468816757202,,
52,999,,,1.175323486328125,
52,1006,,,,1.656891942024231
52,1006,,1.1904703378677368,,
53,1025,,,,1.6714750528335571
53,1025,,1.1721872091293335,,
54,1026,1.6714750528335571,,,
