sample_id,label,score,rank,method
2145,43,2.3113489151000977,0,llm_classifier
2002,57,2.3555703163146973,1,llm_classifier
2041,45,2.3756470680236816,2,llm_classifier
1201,58,2.3806052207946777,3,llm_classifier
1842,58,2.384281635284424,4,llm_classifier
4205,5,2.3858482837677,5,llm_classifier
2218,56,2.3867063522338867,6,llm_classifier
918,42,2.3900058269500732,7,llm_classifier
843,46,2.3901052474975586,8,llm_classifier
2155,43,2.390782594680786,9,llm_classifier
3538,41,2.3914690017700195,10,llm_classifier
4011,59,2.391678810119629,11,llm_classifier
4206,63,2.394897937774658,12,llm_classifier
3002,63,2.3962464332580566,13,llm_classifier
4051,1,2.396883964538574,14,llm_classifier
1945,39,2.3976075649261475,15,llm_classifier
4101,57,2.3979921340942383,16,llm_classifier
1984,44,2.398254871368408,17,llm_classifier
4097,1,2.3985867500305176,18,llm_classifier
395,53,2.399571657180786,19,llm_classifier
1985,57,2.400688648223877,20,llm_classifier
86,47,2.402226209640503,21,llm_classifier
1734,46,2.402254104614258,22,llm_classifier
294,1,2.4027276039123535,23,llm_classifier
1752,58,2.403733015060425,24,llm_classifier
2332,58,2.404210090637207,25,llm_classifier
3313,43,2.4048614501953125,26,llm_classifier
2147,1,2.405595064163208,27,llm_classifier
4052,39,2.4057555198669434,28,llm_classifier
2970,1,2.4060614109039307,29,llm_classifier
771,50,2.406248092651367,30,llm_classifier
7,43,2.4063379764556885,31,llm_classifier
3414,56,2.406467914581299,32,llm_classifier
694,46,2.407341957092285,33,llm_classifier
1560,59,2.4084887504577637,34,llm_classifier
1076,52,2.408609390258789,35,llm_classifier
2341,1,2.409614086151123,36,llm_classifier
1094,1,2.4097061157226562,37,llm_classifier
476,39,2.410137414932251,38,llm_classifier
445,57,2.410573959350586,39,llm_classifier
2154,46,2.4105801582336426,40,llm_classifier
1692,1,2.4105849266052246,41,llm_classifier
437,56,2.4108481407165527,42,llm_classifier
2331,39,2.411015033721924,43,llm_classifier
780,1,2.4111170768737793,44,llm_classifier
1,1,2.4115002155303955,45,llm_classifier
417,1,2.412045478820801,46,llm_classifier
2091,10,2.412163496017456,47,llm_classifier
2144,46,2.4124200344085693,48,llm_classifier
2925,46,2.4125499725341797,49,llm_classifier
847,1,2.4126477241516113,50,llm_classifier
4020,58,2.413055419921875,51,llm_classifier
4103,53,2.4131789207458496,52,llm_classifier
4024,63,2.4131970405578613,53,llm_classifier
3772,56,2.4136734008789062,54,llm_classifier
2081,52,2.414248466491699,55,llm_classifier
3033,58,2.4143166542053223,56,llm_classifier
2083,1,2.4148802757263184,57,llm_classifier
2996,21,2.4149057865142822,58,llm_classifier
921,1,2.41538667678833,59,llm_classifier
3540,1,2.4157304763793945,60,llm_classifier
2734,1,2.4159183502197266,61,llm_classifier
2003,1,2.416022777557373,62,llm_classifier
226,50,2.416118860244751,63,llm_classifier
184,44,2.4162168502807617,64,llm_classifier
2823,44,2.416220188140869,65,llm_classifier
2199,52,2.4163191318511963,66,llm_classifier
2699,51,2.4165053367614746,67,llm_classifier
1820,53,2.416581392288208,68,llm_classifier
3776,1,2.4168949127197266,69,llm_classifier
415,0,2.4169857501983643,70,llm_classifier
3849,1,2.4173026084899902,71,llm_classifier
3757,56,2.4180281162261963,72,llm_classifier
3329,15,2.418184280395508,73,llm_classifier
1776,1,2.418262004852295,74,llm_classifier
3106,17,2.4183478355407715,75,llm_classifier
1936,35,2.4185280799865723,76,llm_classifier
556,58,2.4186763763427734,77,llm_classifier
