epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,10,,,,3.341365337371826
0,10,,3.5857622623443604,,
1,21,,,,3.322817802429199
1,21,,3.287487506866455,,
2,32,,,,3.306788921356201
2,32,,3.266671895980835,,
3,43,,,,3.248145341873169
3,43,,3.2368998527526855,,
4,49,,,3.154461622238159,
4,54,,,,3.1649227142333984
4,54,,3.1583945751190186,,
5,65,,,,3.0809507369995117
5,65,,3.0878965854644775,,
6,76,,,,2.9943835735321045
6,76,,3.007045269012451,,
7,87,,,,2.965519428253174
7,87,,2.957343339920044,,
8,98,,,,2.9357054233551025
8,98,,2.928760290145874,,
9,99,,,2.921151638031006,
9,109,,,,2.887674331665039
9,109,,2.896402359008789,,
10,120,,,,2.836465835571289
10,120,,2.8479251861572266,,
11,131,,,,2.786376476287842
11,131,,2.7994906902313232,,
12,142,,,,2.7533774375915527
12,142,,2.7616312503814697,,
13,149,,,2.723172903060913,
13,153,,,,2.7230136394500732
13,153,,2.7325594425201416,,
14,164,,,,2.7002713680267334
14,164,,2.7106242179870605,,
15,175,,,,2.6867306232452393
15,175,,2.6936733722686768,,
16,186,,,,2.678812265396118
16,186,,2.682356595993042,,
17,197,,,,2.673386335372925
17,197,,2.6755826473236084,,
18,199,,,2.6708197593688965,
18,208,,,,2.671267509460449
18,208,,2.6719112396240234,,
19,219,,,,2.670607089996338
19,219,,2.670844078063965,,
20,220,2.670607089996338,,,
