epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,7,,,,3.41265606880188
0,7,,3.6527206897735596,,
1,15,,,,3.35972261428833
1,15,,3.282562255859375,,
2,23,,,,3.32942271232605
2,23,,3.2592666149139404,,
3,31,,,,3.316082715988159
3,31,,3.2722208499908447,,
4,39,,,,3.3096699714660645
4,39,,3.2462713718414307,,
5,47,,,,3.2945945262908936
5,47,,3.230106830596924,,
6,49,,,3.219994068145752,
6,55,,,,3.2677857875823975
6,55,,3.207672595977783,,
7,63,,,,3.225990056991577
7,63,,3.1746277809143066,,
8,71,,,,3.1950199604034424
8,71,,3.1368770599365234,,
9,79,,,,3.163437604904175
9,79,,3.1078040599823,,
10,87,,,,3.1362874507904053
10,87,,3.0818521976470947,,
11,95,,,,3.116527557373047
11,95,,3.0606062412261963,,
12,99,,,3.0472371578216553,
12,103,,,,3.092574119567871
12,103,,3.042313575744629,,
13,111,,,,3.0722503662109375
13,111,,3.0225350856781006,,
14,119,,,,3.0561635494232178
14,119,,3.0079755783081055,,
15,127,,,,3.04359769821167
15,127,,2.9973433017730713,,
16,135,,,,3.033773899078369
16,135,,2.9882330894470215,,
17,143,,,,3.023498296737671
17,143,,2.980867385864258,,
18,149,,,2.97617244720459,
18,151,,,,3.0215840339660645
18,151,,2.97527813911438,,
19,159,,,,3.0200510025024414
19,159,,2.973560333251953,,
20,160,3.0200510025024414,,,
