epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.323004722595215
0,1,,4.017189979553223,
1,3,,,3.4522862434387207
1,3,,3.983802318572998,
2,5,,,3.384653091430664
2,5,,3.2709364891052246,
3,7,,,3.420452833175659
3,7,,3.2280850410461426,
4,9,,,3.3799498081207275
4,9,,3.2432186603546143,
5,11,,,3.3693108558654785
5,11,,3.2060165405273438,
6,13,,,3.377523422241211
6,13,,3.1981732845306396,
7,15,,,3.3798184394836426
7,15,,3.20333194732666,
8,17,,,3.372317314147949
8,17,,3.2038066387176514,
9,19,,,3.3616955280303955
9,19,,3.196829080581665,
10,21,,,3.355111598968506
10,21,,3.1890034675598145,
11,23,,,3.352268695831299
11,23,,3.1851601600646973,
12,25,,,3.3503682613372803
12,25,,3.1839537620544434,
13,27,,,3.3478598594665527
13,27,,3.183905839920044,
14,29,,,3.344980001449585
14,29,,3.1826603412628174,
15,31,,,3.342400550842285
15,31,,3.1807215213775635,
16,33,,,3.340630292892456
16,33,,3.178661823272705,
17,35,,,3.3395354747772217
17,35,,3.1775858402252197,
18,37,,,3.3390231132507324
18,37,,3.176732301712036,
19,39,,,3.338892698287964
19,39,,3.176316976547241,
20,40,3.338892698287964,,
