epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.168825149536133
0,1,,3.9490675926208496,
1,3,,,3.4018256664276123
1,3,,3.8123435974121094,
2,5,,,3.3795320987701416
2,5,,3.2395131587982178,
3,7,,,3.4031856060028076
3,7,,3.2196691036224365,
4,9,,,3.380059003829956
4,9,,3.224745273590088,
5,11,,,3.3728294372558594
5,11,,3.2007763385772705,
6,13,,,3.3785510063171387
6,13,,3.1954681873321533,
7,15,,,3.3761796951293945
7,15,,3.2006142139434814,
8,17,,,3.365574359893799
8,17,,3.1985137462615967,
9,19,,,3.3551719188690186
9,19,,3.1903672218322754,
10,21,,,3.3488616943359375
10,21,,3.18422532081604,
11,23,,,3.3449387550354004
11,23,,3.181244134902954,
12,25,,,3.340388536453247
12,25,,3.178823232650757,
13,27,,,3.348963499069214
13,27,,3.175318479537964,
14,29,,,3.3314504623413086
14,29,,3.1727230548858643,
15,31,,,3.33185076713562
15,31,,3.168410301208496,
16,33,,,3.3309295177459717
16,33,,3.1685824394226074,
17,35,,,3.329828977584839
17,35,,3.1678457260131836,
18,37,,,3.3291449546813965
18,37,,3.1666259765625,
19,39,,,3.3289377689361572
19,39,,3.1653337478637695,
20,40,3.3289377689361572,,
