method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
corr_integral,0,32,,3.3209071159362797,
corr_integral,0,64,,2.569322347640991,
corr_integral,0,128,,2.508690595626831,
corr_integral,10,32,,3.3176162242889404,
corr_integral,10,64,,2.5450422763824463,
corr_integral,10,128,,2.499769449234009,
corr_integral,20,32,,2.7011148929595947,
corr_integral,20,64,,2.6651408672332764,
corr_integral,20,128,,2.5157999992370605,
corr_integral,30,32,,3.3246424198150635,
corr_integral,30,64,,2.915341377258301,
corr_integral,30,128,,2.670607089996338,
corr_integral,50,32,,3.33056902885437,
corr_integral,50,64,,2.934007406234741,
corr_integral,50,128,,3.0200510025024414,
corr_integral,70,32,,3.33150577545166,
corr_integral,70,64,,3.1964123249053955,
corr_integral,70,128,,3.1971237659454346,
corr_integral,90,32,,3.375828504562378,
corr_integral,90,64,,3.328937768936157,
corr_integral,90,128,,3.338892698287964,
