epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,15,,,,3.339095115661621
0,15,,3.5280892848968506,,
1,31,,,,3.324359655380249
1,31,,3.3413033485412598,,
2,47,,,,3.3226630687713623
2,47,,3.315828561782837,,
3,49,,,3.320697784423828,
3,63,,,,3.322172164916992
3,63,,3.3144376277923584,,
4,79,,,,3.3218231201171875
4,79,,3.31381893157959,,
5,95,,,,3.3202154636383057
5,95,,3.3129360675811768,,
6,99,,,3.306145191192627,
6,111,,,,3.317366600036621
6,111,,3.3115360736846924,,
7,127,,,,3.30059552192688
7,127,,3.3057167530059814,,
8,143,,,,3.1682076454162598
8,143,,3.2567474842071533,,
9,149,,,3.116670608520508,
9,159,,,,3.014725685119629
9,159,,3.0993402004241943,,
10,175,,,,2.9751055240631104
10,175,,3.0021886825561523,,
11,191,,,,2.9489729404449463
11,191,,2.968177556991577,,
12,199,,,2.938918352127075,
12,207,,,,2.9129300117492676
12,207,,2.9401357173919678,,
13,223,,,,2.857168674468994
13,223,,2.9022183418273926,,
14,239,,,,2.7926199436187744
14,239,,2.8464043140411377,,
15,249,,,2.7909927368164062,
15,255,,,,2.749009370803833
15,255,,2.7953131198883057,,
16,271,,,,2.7230587005615234
16,271,,2.762932300567627,,
17,287,,,,2.711426258087158
17,287,,2.744593858718872,,
18,299,,,2.735801935195923,
18,303,,,,2.706228017807007
18,303,,2.7357561588287354,,
19,319,,,,2.7050344944000244
19,319,,2.7322189807891846,,
20,320,2.7050344944000244,,,
