epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,10,,,,3.338371992111206
0,10,,3.661379814147949,,
1,21,,,,3.3106131553649902
1,21,,3.3612987995147705,,
2,32,,,,3.2583694458007812
2,32,,3.3262765407562256,,
3,43,,,,3.0418267250061035
3,43,,3.178356409072876,,
4,49,,,3.0265069007873535,
4,54,,,,2.9661316871643066
4,54,,3.0258562564849854,,
5,65,,,,2.917335271835327
5,65,,2.9600894451141357,,
6,76,,,,2.8612060546875
6,76,,2.9138410091400146,,
7,87,,,,2.7683370113372803
7,87,,2.843465805053711,,
8,98,,,,2.6868155002593994
8,98,,2.7526941299438477,,
9,99,,,2.708561420440674,
9,109,,,,2.6376118659973145
9,109,,2.6886651515960693,,
10,120,,,,2.6033947467803955
10,120,,2.649853229522705,,
11,131,,,,2.5762860774993896
11,131,,2.620131015777588,,
12,142,,,,2.5581796169281006
12,142,,2.5980892181396484,,
13,149,,,2.5747451782226562,
13,153,,,,2.545691967010498
13,153,,2.580873727798462,,
14,164,,,,2.5337960720062256
14,164,,2.5694332122802734,,
15,175,,,,2.5269594192504883
15,175,,2.56059193611145,,
16,186,,,,2.523602247238159
16,186,,2.5546181201934814,,
17,197,,,,2.520566940307617
17,197,,2.5506253242492676,,
18,199,,,2.547380208969116,
18,208,,,,2.520111322402954
18,208,,2.5483481884002686,,
19,219,,,,2.5198049545288086
19,219,,2.547825813293457,,
20,220,2.5198049545288086,,,
