epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.022711277008057
0,1,,4.048337459564209,
1,3,,,3.516403913497925
1,3,,3.9470596313476562,
2,5,,,3.374497413635254
2,5,,3.5669124126434326,
3,7,,,3.348731279373169
3,7,,3.4518892765045166,
4,9,,,3.3726401329040527
4,9,,3.4384493827819824,
5,11,,,3.361558675765991
5,11,,3.45597505569458,
6,13,,,3.3419618606567383
6,13,,3.442741870880127,
7,15,,,3.337385654449463
7,15,,3.426945686340332,
8,17,,,3.341132879257202
8,17,,3.423564910888672,
9,19,,,3.3449666500091553
9,19,,3.425166606903076,
10,21,,,3.345825672149658
10,21,,3.4266464710235596,
11,23,,,3.3441288471221924
11,23,,3.4256975650787354,
12,25,,,3.341426134109497
12,25,,3.423128128051758,
13,26,3.341426134109497,,
