epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,5.399042129516602
0,1,,4.000493049621582,
1,3,,,3.642346143722534
1,3,,4.775254726409912,
2,5,,,3.390918016433716
2,5,,3.666529893875122,
3,7,,,3.405813455581665
3,7,,3.4705262184143066,
4,9,,,3.4177777767181396
4,9,,3.488528251647949,
5,11,,,3.3724348545074463
5,11,,3.4843661785125732,
6,13,,,3.3451783657073975
6,13,,3.4450531005859375,
7,15,,,3.339865207672119
7,15,,3.4263722896575928,
8,17,,,3.3408315181732178
8,17,,3.4265029430389404,
9,19,,,3.3374528884887695
9,19,,3.429642915725708,
10,21,,,3.325880527496338
10,21,,3.4252705574035645,
11,23,,,3.339803695678711
11,23,,3.410278558731079,
12,25,,,3.3183724880218506
12,25,,3.4115047454833984,
13,27,,,3.32078218460083
13,27,,3.40276837348938,
14,29,,,3.3206894397735596
14,29,,3.403987169265747,
15,31,,,3.3194522857666016
15,31,,3.4027459621429443,
16,33,,,3.317800998687744
16,33,,3.4010772705078125,
17,35,,,3.316338300704956
17,35,,3.399017333984375,
18,37,,,3.315458297729492
18,37,,3.3982698917388916,
19,39,,,3.315192222595215
19,39,,3.3968889713287354,
20,40,3.315192222595215,,
