epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,4,,,,3.364243268966675
0,4,,3.8802239894866943,,
1,9,,,,3.3403308391571045
1,9,,3.362879514694214,,
2,14,,,,3.3546841144561768
2,14,,3.3298041820526123,,
3,19,,,,3.321275234222412
3,19,,3.3281219005584717,,
4,24,,,,3.3159921169281006
4,24,,3.3124661445617676,,
5,29,,,,3.299147605895996
5,29,,3.3018710613250732,,
6,34,,,,3.2838058471679688
6,34,,3.289362907409668,,
7,39,,,,3.2360382080078125
7,39,,3.263324022293091,,
8,44,,,,3.1880178451538086
8,44,,3.2144949436187744,,
9,49,,,3.14839506149292,
9,49,,,,3.1379098892211914
9,49,,3.167766571044922,,
10,54,,,,3.0684454441070557
10,54,,3.1146888732910156,,
11,59,,,,3.002049207687378
11,59,,3.0458922386169434,,
12,64,,,,2.9497616291046143
12,64,,2.9920332431793213,,
13,69,,,,2.9174888134002686
13,69,,2.94183349609375,,
14,74,,,,2.8903887271881104
14,74,,2.9133028984069824,,
15,79,,,,2.8702378273010254
15,79,,2.890977144241333,,
16,84,,,,2.8590075969696045
16,84,,2.8763530254364014,,
17,89,,,,2.851365089416504
17,89,,2.8672800064086914,,
18,94,,,,2.8488550186157227
18,94,,2.8610684871673584,,
19,99,,,2.8658804893493652,
19,99,,,,2.848036766052246
19,99,,2.8592071533203125,,
20,100,2.848036766052246,,,
