epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,4,,,,3.369823455810547
0,4,,3.8553967475891113,,
1,9,,,,3.357168197631836
1,9,,3.3516359329223633,,
2,14,,,,3.340609073638916
2,14,,3.3301570415496826,,
3,19,,,,3.418818712234497
3,19,,3.3262202739715576,,
4,24,,,,3.3269991874694824
4,24,,3.503999948501587,,
5,29,,,,3.32473087310791
5,29,,3.316390037536621,,
6,34,,,,3.3237557411193848
6,34,,3.3157405853271484,,
7,39,,,,3.323941707611084
7,39,,3.31441068649292,,
8,44,,,,3.3233485221862793
8,44,,3.314108371734619,,
9,49,,,3.30572509765625,
9,49,,,,3.322908639907837
9,49,,3.31323504447937,,
10,54,,,,3.3220338821411133
10,54,,3.312652826309204,,
11,59,,,,3.3210015296936035
11,59,,3.312119960784912,,
12,64,,,,3.3198721408843994
12,64,,3.311232328414917,,
13,69,,,,3.3191237449645996
13,69,,3.310450792312622,,
14,74,,,,3.318436622619629
14,74,,3.309659242630005,,
15,79,,,,3.3177313804626465
15,79,,3.308879852294922,,
16,84,,,,3.3171274662017822
16,84,,3.308530330657959,,
17,89,,,,3.3167061805725098
17,89,,3.3080220222473145,,
18,94,,,,3.316514730453491
18,94,,3.307539701461792,,
19,99,,,3.3200180530548096,
19,99,,,,3.316452980041504
19,99,,3.307417631149292,,
20,100,3.316452980041504,,,
